scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000686,hdf5
rank,1,1,write_all_chunks,0.001488,hdf5
rank,1,1,read_chunk,0.000144,hdf5
rank,1,1,read_all_chunks,0.000146,hdf5
rank,1,2,write_chunk,0.001493,hdf5
rank,1,2,write_all_chunks,0.003449,hdf5
rank,1,2,read_chunk,0.001941,hdf5
rank,1,2,read_all_chunks,0.001943,hdf5
rank,1,4,write_chunk,0.001717,hdf5
rank,1,4,write_all_chunks,0.006581,hdf5
rank,1,4,read_chunk,0.002061,hdf5
rank,1,4,read_all_chunks,0.002063,hdf5
rank,1,8,write_chunk,0.002361,hdf5
rank,1,8,write_all_chunks,0.013491,hdf5
rank,1,8,read_chunk,0.002336,hdf5
rank,1,8,read_all_chunks,0.002338,hdf5
rank,1,16,write_chunk,0.003491,hdf5
rank,1,16,write_all_chunks,0.011268,hdf5
rank,1,16,read_chunk,0.003077,hdf5
rank,1,16,read_all_chunks,0.003081,hdf5
rank,1,32,write_chunk,0.004265,hdf5
rank,1,32,write_all_chunks,0.007530,hdf5
rank,1,32,read_chunk,0.003483,hdf5
rank,1,32,read_all_chunks,0.003486,hdf5
rank,1,64,write_chunk,0.005555,hdf5
rank,1,64,write_all_chunks,0.007302,hdf5
rank,1,64,read_chunk,0.005202,hdf5
rank,1,64,read_all_chunks,0.005206,hdf5
rank,1,128,write_chunk,0.008756,hdf5
rank,1,128,write_all_chunks,0.011878,hdf5
rank,1,128,read_chunk,0.008217,hdf5
rank,1,128,read_all_chunks,0.008221,hdf5
rank,1,256,write_chunk,0.013864,hdf5
rank,1,256,write_all_chunks,0.017630,hdf5
rank,1,256,read_chunk,0.012133,hdf5
rank,1,256,read_all_chunks,0.012137,hdf5
chunk,1,256,write_chunk,0.013771,hdf5
chunk,1,256,write_all_chunks,0.018116,hdf5
chunk,1,256,read_chunk,0.011803,hdf5
chunk,1,256,read_all_chunks,0.011806,hdf5
chunk,2,256,write_chunk,0.012544,hdf5
chunk,2,256,write_all_chunks,0.033938,hdf5
chunk,2,256,read_chunk,0.010810,hdf5
chunk,2,256,read_all_chunks,0.021626,hdf5
chunk,4,256,write_chunk,0.011830,hdf5
chunk,4,256,write_all_chunks,0.055520,hdf5
chunk,4,256,read_chunk,0.009027,hdf5
chunk,4,256,read_all_chunks,0.036116,hdf5
rank,1,1,write_chunk,0.112730,pdc
rank,1,1,write_all_chunks,0.112740,pdc
rank,1,1,read_chunk,0.018224,pdc
rank,1,1,read_all_chunks,0.018226,pdc
rank,1,2,write_chunk,0.112887,pdc
rank,1,2,write_all_chunks,0.112894,pdc
rank,1,2,read_chunk,0.018534,pdc
rank,1,2,read_all_chunks,0.018537,pdc
rank,1,4,write_chunk,0.097457,pdc
rank,1,4,write_all_chunks,0.097464,pdc
rank,1,4,read_chunk,0.018612,pdc
rank,1,4,read_all_chunks,0.018615,pdc
rank,1,8,write_chunk,0.181100,pdc
rank,1,8,write_all_chunks,0.181109,pdc
rank,1,8,read_chunk,0.018374,pdc
rank,1,8,read_all_chunks,0.018377,pdc
rank,1,16,write_chunk,0.203271,pdc
rank,1,16,write_all_chunks,0.203279,pdc
rank,1,16,read_chunk,0.032041,pdc
rank,1,16,read_all_chunks,0.032047,pdc
rank,1,32,write_chunk,0.181983,pdc
rank,1,32,write_all_chunks,0.181991,pdc
rank,1,32,read_chunk,0.115447,pdc
rank,1,32,read_all_chunks,0.115451,pdc
rank,1,64,write_chunk,0.316577,pdc
rank,1,64,write_all_chunks,0.316585,pdc
rank,1,64,read_chunk,0.033851,pdc
rank,1,64,read_all_chunks,0.033854,pdc
rank,1,128,write_chunk,0.298752,pdc
rank,1,128,write_all_chunks,0.298761,pdc
rank,1,128,read_chunk,0.035475,pdc
rank,1,128,read_all_chunks,0.035483,pdc
rank,1,256,write_chunk,0.422388,pdc
rank,1,256,write_all_chunks,0.422408,pdc
rank,1,256,read_chunk,0.035092,pdc
rank,1,256,read_all_chunks,0.035100,pdc
chunk,1,256,write_chunk,0.333886,pdc
chunk,1,256,write_all_chunks,0.333906,pdc
chunk,1,256,read_chunk,0.034512,pdc
chunk,1,256,read_all_chunks,0.034521,pdc
chunk,2,256,write_chunk,0.332418,pdc
chunk,2,256,write_all_chunks,0.664849,pdc
chunk,2,256,read_chunk,0.076052,pdc
chunk,2,256,read_all_chunks,0.152112,pdc
chunk,4,256,write_chunk,0.198821,pdc
chunk,4,256,write_all_chunks,0.795304,pdc
chunk,4,256,read_chunk,0.056105,pdc
chunk,4,256,read_all_chunks,0.224442,pdc
