scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,64,1,write_chunk,0.002283,pdc
rank,64,1,write_all_chunks,0.146227,pdc
rank,64,1,read_chunk,0.000699,pdc
rank,64,1,read_all_chunks,0.044808,pdc
rank,64,2,write_chunk,0.002311,pdc
rank,64,2,write_all_chunks,0.148016,pdc
rank,64,2,read_chunk,0.000706,pdc
rank,64,2,read_all_chunks,0.045304,pdc
rank,64,4,write_chunk,0.002237,pdc
rank,64,4,write_all_chunks,0.143239,pdc
rank,64,4,read_chunk,0.000701,pdc
rank,64,4,read_all_chunks,0.044949,pdc
rank,64,8,write_chunk,0.002072,pdc
rank,64,8,write_all_chunks,0.132672,pdc
rank,64,8,read_chunk,0.000757,pdc
rank,64,8,read_all_chunks,0.048521,pdc
rank,64,16,write_chunk,0.002507,pdc
rank,64,16,write_all_chunks,0.160589,pdc
rank,64,16,read_chunk,0.001204,pdc
rank,64,16,read_all_chunks,0.077217,pdc
rank,64,32,write_chunk,0.002358,pdc
rank,64,32,write_all_chunks,0.151060,pdc
rank,64,32,read_chunk,0.002511,pdc
rank,64,32,read_all_chunks,0.160827,pdc
rank,64,64,write_chunk,0.007047,pdc
rank,64,64,write_all_chunks,0.451106,pdc
rank,64,64,read_chunk,0.005906,pdc
rank,64,64,read_all_chunks,0.378080,pdc
rank,64,128,write_chunk,0.021225,pdc
rank,64,128,write_all_chunks,1.358559,pdc
rank,64,128,read_chunk,0.017013,pdc
rank,64,128,read_all_chunks,1.088982,pdc
rank,64,256,write_chunk,0.068292,pdc
rank,64,256,write_all_chunks,4.371000,pdc
rank,64,256,read_chunk,0.054410,pdc
rank,64,256,read_all_chunks,3.482382,pdc
chunk,1,256,write_chunk,0.322495,pdc
chunk,1,256,write_all_chunks,0.322676,pdc
chunk,1,256,read_chunk,0.016105,pdc
chunk,1,256,read_all_chunks,0.016111,pdc
chunk,2,256,write_chunk,0.219821,pdc
chunk,2,256,write_all_chunks,0.439705,pdc
chunk,2,256,read_chunk,0.018143,pdc
chunk,2,256,read_all_chunks,0.036304,pdc
chunk,4,256,write_chunk,0.139294,pdc
chunk,4,256,write_all_chunks,0.557263,pdc
chunk,4,256,read_chunk,0.016265,pdc
chunk,4,256,read_all_chunks,0.065076,pdc
rank,64,1,write_chunk,0.000195,hdf5
rank,64,1,write_all_chunks,0.018678,hdf5
rank,64,1,read_chunk,0.000056,hdf5
rank,64,1,read_all_chunks,0.003621,hdf5
rank,64,2,write_chunk,0.000212,hdf5
rank,64,2,write_all_chunks,0.029764,hdf5
rank,64,2,read_chunk,0.000707,hdf5
rank,64,2,read_all_chunks,0.045325,hdf5
rank,64,4,write_chunk,0.000461,hdf5
rank,64,4,write_all_chunks,0.049159,hdf5
rank,64,4,read_chunk,0.002417,hdf5
rank,64,4,read_all_chunks,0.154728,hdf5
rank,64,8,write_chunk,0.000799,hdf5
rank,64,8,write_all_chunks,0.086626,hdf5
rank,64,8,read_chunk,0.008000,hdf5
rank,64,8,read_all_chunks,0.512056,hdf5
rank,64,16,write_chunk,0.001687,hdf5
rank,64,16,write_all_chunks,0.164661,hdf5
rank,64,16,read_chunk,0.004592,hdf5
rank,64,16,read_all_chunks,0.293955,hdf5
rank,64,32,write_chunk,0.003010,hdf5
rank,64,32,write_all_chunks,0.281438,hdf5
rank,64,32,read_chunk,0.007872,hdf5
rank,64,32,read_all_chunks,0.503887,hdf5
rank,64,64,write_chunk,0.005831,hdf5
rank,64,64,write_all_chunks,0.549511,hdf5
rank,64,64,read_chunk,0.015149,hdf5
rank,64,64,read_all_chunks,0.969646,hdf5
rank,64,128,write_chunk,0.012214,hdf5
rank,64,128,write_all_chunks,1.090589,hdf5
rank,64,128,read_chunk,0.031502,hdf5
rank,64,128,read_all_chunks,2.016208,hdf5
rank,64,256,write_chunk,0.026845,hdf5
rank,64,256,write_all_chunks,2.312770,hdf5
rank,64,256,read_chunk,0.074683,hdf5
rank,64,256,read_all_chunks,4.779870,hdf5
chunk,1,256,write_chunk,0.022769,hdf5
chunk,1,256,write_all_chunks,0.031297,hdf5
chunk,1,256,read_chunk,0.031405,hdf5
chunk,1,256,read_all_chunks,0.031410,hdf5
chunk,2,256,write_chunk,0.039469,hdf5
chunk,2,256,write_all_chunks,0.088428,hdf5
chunk,2,256,read_chunk,0.028143,hdf5
chunk,2,256,read_all_chunks,0.056293,hdf5
chunk,4,256,write_chunk,0.054108,hdf5
chunk,4,256,write_all_chunks,0.229977,hdf5
chunk,4,256,read_chunk,0.057640,hdf5
chunk,4,256,read_all_chunks,0.230571,hdf5
