scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,64,1,write_chunk,0.062686,pdc
rank,64,1,write_all_chunks,4.012021,pdc
rank,64,1,read_chunk,0.069183,pdc
rank,64,1,read_all_chunks,4.427871,pdc
rank,64,2,write_chunk,0.070617,pdc
rank,64,2,write_all_chunks,4.519644,pdc
rank,64,2,read_chunk,0.063057,pdc
rank,64,2,read_all_chunks,4.035807,pdc
rank,64,4,write_chunk,0.073519,pdc
rank,64,4,write_all_chunks,4.705359,pdc
rank,64,4,read_chunk,0.066119,pdc
rank,64,4,read_all_chunks,4.231731,pdc
rank,64,8,write_chunk,0.073419,pdc
rank,64,8,write_all_chunks,4.698947,pdc
rank,64,8,read_chunk,0.067725,pdc
rank,64,8,read_all_chunks,4.334560,pdc
rank,64,16,write_chunk,0.034505,pdc
rank,64,16,write_all_chunks,2.208435,pdc
rank,64,16,read_chunk,0.035780,pdc
rank,64,16,read_all_chunks,2.290046,pdc
rank,64,32,write_chunk,0.061208,pdc
rank,64,32,write_all_chunks,3.917458,pdc
rank,64,32,read_chunk,0.059045,pdc
rank,64,32,read_all_chunks,3.779022,pdc
rank,64,64,write_chunk,0.045613,pdc
rank,64,64,write_all_chunks,2.919360,pdc
rank,64,64,read_chunk,0.040205,pdc
rank,64,64,read_all_chunks,2.573247,pdc
rank,64,128,write_chunk,0.066212,pdc
rank,64,128,write_all_chunks,4.237714,pdc
rank,64,128,read_chunk,0.061397,pdc
rank,64,128,read_all_chunks,3.929530,pdc
rank,64,256,write_chunk,0.058434,pdc
rank,64,256,write_all_chunks,3.739930,pdc
rank,64,256,read_chunk,0.053331,pdc
rank,64,256,read_all_chunks,3.413393,pdc
chunk,1,256,write_chunk,0.619903,pdc
chunk,1,256,write_all_chunks,0.620089,pdc
chunk,1,256,read_chunk,0.029128,pdc
chunk,1,256,read_all_chunks,0.029136,pdc
chunk,2,256,write_chunk,0.404935,pdc
chunk,2,256,write_all_chunks,0.809883,pdc
chunk,2,256,read_chunk,0.126398,pdc
chunk,2,256,read_all_chunks,0.252804,pdc
chunk,4,256,write_chunk,0.211260,pdc
chunk,4,256,write_all_chunks,0.845058,pdc
chunk,4,256,read_chunk,0.044863,pdc
chunk,4,256,read_all_chunks,0.179466,pdc
rank,64,1,write_chunk,0.000174,hdf5
rank,64,1,write_all_chunks,0.015933,hdf5
rank,64,1,read_chunk,0.000048,hdf5
rank,64,1,read_all_chunks,0.003123,hdf5
rank,64,2,write_chunk,0.000210,hdf5
rank,64,2,write_all_chunks,0.030028,hdf5
rank,64,2,read_chunk,0.000716,hdf5
rank,64,2,read_all_chunks,0.045869,hdf5
rank,64,4,write_chunk,0.000444,hdf5
rank,64,4,write_all_chunks,0.052779,hdf5
rank,64,4,read_chunk,0.002516,hdf5
rank,64,4,read_all_chunks,0.161077,hdf5
rank,64,8,write_chunk,0.000747,hdf5
rank,64,8,write_all_chunks,0.082338,hdf5
rank,64,8,read_chunk,0.008251,hdf5
rank,64,8,read_all_chunks,0.528115,hdf5
rank,64,16,write_chunk,0.001721,hdf5
rank,64,16,write_all_chunks,0.161662,hdf5
rank,64,16,read_chunk,0.004618,hdf5
rank,64,16,read_all_chunks,0.295639,hdf5
rank,64,32,write_chunk,0.003059,hdf5
rank,64,32,write_all_chunks,0.288269,hdf5
rank,64,32,read_chunk,0.007942,hdf5
rank,64,32,read_all_chunks,0.508390,hdf5
rank,64,64,write_chunk,0.005845,hdf5
rank,64,64,write_all_chunks,0.544988,hdf5
rank,64,64,read_chunk,0.015170,hdf5
rank,64,64,read_all_chunks,0.970960,hdf5
rank,64,128,write_chunk,0.012421,hdf5
rank,64,128,write_all_chunks,1.111004,hdf5
rank,64,128,read_chunk,0.031949,hdf5
rank,64,128,read_all_chunks,2.044838,hdf5
rank,64,256,write_chunk,0.026285,hdf5
rank,64,256,write_all_chunks,2.329296,hdf5
rank,64,256,read_chunk,0.075094,hdf5
rank,64,256,read_all_chunks,4.806163,hdf5
chunk,1,256,write_chunk,0.022613,hdf5
chunk,1,256,write_all_chunks,0.031612,hdf5
chunk,1,256,read_chunk,0.029579,hdf5
chunk,1,256,read_all_chunks,0.029584,hdf5
chunk,2,256,write_chunk,0.040139,hdf5
chunk,2,256,write_all_chunks,0.090056,hdf5
chunk,2,256,read_chunk,0.027948,hdf5
chunk,2,256,read_all_chunks,0.055902,hdf5
chunk,4,256,write_chunk,0.054235,hdf5
chunk,4,256,write_all_chunks,0.229357,hdf5
chunk,4,256,read_chunk,0.058983,hdf5
chunk,4,256,read_all_chunks,0.235946,hdf5
