scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.001876,hdf5
rank,1,1,write_all_chunks,0.003648,hdf5
rank,1,1,read_chunk,0.001099,hdf5
rank,1,1,read_all_chunks,0.001101,hdf5
rank,1,2,write_chunk,0.007193,hdf5
rank,1,2,write_all_chunks,0.011663,hdf5
rank,1,2,read_chunk,0.003461,hdf5
rank,1,2,read_all_chunks,0.003463,hdf5
rank,1,4,write_chunk,0.008248,hdf5
rank,1,4,write_all_chunks,0.016292,hdf5
rank,1,4,read_chunk,0.003997,hdf5
rank,1,4,read_all_chunks,0.004000,hdf5
rank,1,8,write_chunk,0.009062,hdf5
rank,1,8,write_all_chunks,0.024504,hdf5
rank,1,8,read_chunk,0.005472,hdf5
rank,1,8,read_all_chunks,0.005475,hdf5
rank,1,16,write_chunk,0.016266,hdf5
rank,1,16,write_all_chunks,0.029600,hdf5
rank,1,16,read_chunk,0.006734,hdf5
rank,1,16,read_all_chunks,0.006738,hdf5
rank,1,32,write_chunk,0.019306,hdf5
rank,1,32,write_all_chunks,0.035100,hdf5
rank,1,32,read_chunk,0.010492,hdf5
rank,1,32,read_all_chunks,0.010495,hdf5
rank,1,64,write_chunk,0.027423,hdf5
rank,1,64,write_all_chunks,0.030191,hdf5
rank,1,64,read_chunk,0.018251,hdf5
rank,1,64,read_all_chunks,0.018255,hdf5
rank,1,128,write_chunk,0.041954,hdf5
rank,1,128,write_all_chunks,0.046257,hdf5
rank,1,128,read_chunk,0.030779,hdf5
rank,1,128,read_all_chunks,0.030783,hdf5
rank,1,256,write_chunk,0.071535,hdf5
rank,1,256,write_all_chunks,0.076377,hdf5
rank,1,256,read_chunk,0.115731,hdf5
rank,1,256,read_all_chunks,0.115737,hdf5
chunk,1,256,write_chunk,0.071358,hdf5
chunk,1,256,write_all_chunks,0.075447,hdf5
chunk,1,256,read_chunk,0.052803,hdf5
chunk,1,256,read_all_chunks,0.052808,hdf5
chunk,2,256,write_chunk,0.072323,hdf5
chunk,2,256,write_all_chunks,0.152648,hdf5
chunk,2,256,read_chunk,0.062524,hdf5
chunk,2,256,read_all_chunks,0.125055,hdf5
chunk,4,256,write_chunk,0.069913,hdf5
chunk,4,256,write_all_chunks,0.289115,hdf5
chunk,4,256,read_chunk,0.058249,hdf5
chunk,4,256,read_all_chunks,0.233008,hdf5
rank,1,1,write_chunk,0.131346,pdc
rank,1,1,write_all_chunks,0.131355,pdc
rank,1,1,read_chunk,0.018692,pdc
rank,1,1,read_all_chunks,0.018695,pdc
rank,1,2,write_chunk,0.112386,pdc
rank,1,2,write_all_chunks,0.112395,pdc
rank,1,2,read_chunk,0.018748,pdc
rank,1,2,read_all_chunks,0.018751,pdc
rank,1,4,write_chunk,0.107040,pdc
rank,1,4,write_all_chunks,0.107052,pdc
rank,1,4,read_chunk,0.019264,pdc
rank,1,4,read_all_chunks,0.019268,pdc
rank,1,8,write_chunk,0.104002,pdc
rank,1,8,write_all_chunks,0.104011,pdc
rank,1,8,read_chunk,0.019471,pdc
rank,1,8,read_all_chunks,0.019475,pdc
rank,1,16,write_chunk,0.238152,pdc
rank,1,16,write_all_chunks,0.238161,pdc
rank,1,16,read_chunk,0.118750,pdc
rank,1,16,read_all_chunks,0.118755,pdc
rank,1,32,write_chunk,0.186694,pdc
rank,1,32,write_all_chunks,0.186704,pdc
rank,1,32,read_chunk,0.035026,pdc
rank,1,32,read_all_chunks,0.035030,pdc
rank,1,64,write_chunk,0.204423,pdc
rank,1,64,write_all_chunks,0.204437,pdc
rank,1,64,read_chunk,0.039262,pdc
rank,1,64,read_all_chunks,0.039268,pdc
rank,1,128,write_chunk,0.158094,pdc
rank,1,128,write_all_chunks,0.158112,pdc
rank,1,128,read_chunk,0.126854,pdc
rank,1,128,read_all_chunks,0.126860,pdc
rank,1,256,write_chunk,0.704686,pdc
rank,1,256,write_all_chunks,0.704871,pdc
rank,1,256,read_chunk,0.064376,pdc
rank,1,256,read_all_chunks,0.064381,pdc
chunk,1,256,write_chunk,0.658074,pdc
chunk,1,256,write_all_chunks,0.658095,pdc
chunk,1,256,read_chunk,0.086639,pdc
chunk,1,256,read_all_chunks,0.086646,pdc
chunk,2,256,write_chunk,0.404833,pdc
chunk,2,256,write_all_chunks,0.809691,pdc
chunk,2,256,read_chunk,0.109885,pdc
chunk,2,256,read_all_chunks,0.219783,pdc
chunk,4,256,write_chunk,0.230203,pdc
chunk,4,256,write_all_chunks,0.920842,pdc
chunk,4,256,read_chunk,0.046295,pdc
chunk,4,256,read_all_chunks,0.185205,pdc
