scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000427,hdf5
rank,1,1,write_all_chunks,0.009962,hdf5
rank,1,1,read_chunk,0.000149,hdf5
rank,1,1,read_all_chunks,0.000151,hdf5
rank,1,2,write_chunk,0.000825,hdf5
rank,1,2,write_all_chunks,0.005631,hdf5
rank,1,2,read_chunk,0.002164,hdf5
rank,1,2,read_all_chunks,0.002167,hdf5
rank,1,4,write_chunk,0.000787,hdf5
rank,1,4,write_all_chunks,0.008853,hdf5
rank,1,4,read_chunk,0.000562,hdf5
rank,1,4,read_all_chunks,0.000565,hdf5
rank,1,8,write_chunk,0.001334,hdf5
rank,1,8,write_all_chunks,0.013324,hdf5
rank,1,8,read_chunk,0.000874,hdf5
rank,1,8,read_all_chunks,0.000877,hdf5
rank,1,16,write_chunk,0.002322,hdf5
rank,1,16,write_all_chunks,0.011422,hdf5
rank,1,16,read_chunk,0.001548,hdf5
rank,1,16,read_all_chunks,0.001552,hdf5
rank,1,32,write_chunk,0.003803,hdf5
rank,1,32,write_all_chunks,0.010910,hdf5
rank,1,32,read_chunk,0.002849,hdf5
rank,1,32,read_all_chunks,0.002852,hdf5
rank,1,64,write_chunk,0.007955,hdf5
rank,1,64,write_all_chunks,0.014083,hdf5
rank,1,64,read_chunk,0.012434,hdf5
rank,1,64,read_all_chunks,0.012437,hdf5
rank,1,128,write_chunk,0.010701,hdf5
rank,1,128,write_all_chunks,0.017877,hdf5
rank,1,128,read_chunk,0.020418,hdf5
rank,1,128,read_all_chunks,0.020422,hdf5
rank,1,256,write_chunk,0.022192,hdf5
rank,1,256,write_all_chunks,0.030604,hdf5
rank,1,256,read_chunk,0.031109,hdf5
rank,1,256,read_all_chunks,0.031114,hdf5
chunk,1,256,write_chunk,0.023567,hdf5
chunk,1,256,write_all_chunks,0.032410,hdf5
chunk,1,256,read_chunk,0.029221,hdf5
chunk,1,256,read_all_chunks,0.029226,hdf5
chunk,2,256,write_chunk,0.037633,hdf5
chunk,2,256,write_all_chunks,0.084569,hdf5
chunk,2,256,read_chunk,0.028182,hdf5
chunk,2,256,read_all_chunks,0.056372,hdf5
chunk,4,256,write_chunk,0.051601,hdf5
chunk,4,256,write_all_chunks,0.219506,hdf5
chunk,4,256,read_chunk,0.055865,hdf5
chunk,4,256,read_all_chunks,0.223472,hdf5
rank,1,1,write_chunk,0.000509,pdc
rank,1,1,write_all_chunks,0.000516,pdc
rank,1,1,read_chunk,0.000406,pdc
rank,1,1,read_all_chunks,0.000407,pdc
rank,1,2,write_chunk,0.000523,pdc
rank,1,2,write_all_chunks,0.000528,pdc
rank,1,2,read_chunk,0.000401,pdc
rank,1,2,read_all_chunks,0.000403,pdc
rank,1,4,write_chunk,0.000537,pdc
rank,1,4,write_all_chunks,0.000542,pdc
rank,1,4,read_chunk,0.000475,pdc
rank,1,4,read_all_chunks,0.000477,pdc
rank,1,8,write_chunk,0.000815,pdc
rank,1,8,write_all_chunks,0.000822,pdc
rank,1,8,read_chunk,0.000755,pdc
rank,1,8,read_all_chunks,0.000757,pdc
rank,1,16,write_chunk,0.000685,pdc
rank,1,16,write_all_chunks,0.000692,pdc
rank,1,16,read_chunk,0.001343,pdc
rank,1,16,read_all_chunks,0.001347,pdc
rank,1,32,write_chunk,0.001413,pdc
rank,1,32,write_all_chunks,0.001420,pdc
rank,1,32,read_chunk,0.001978,pdc
rank,1,32,read_all_chunks,0.001984,pdc
rank,1,64,write_chunk,0.001234,pdc
rank,1,64,write_all_chunks,0.001242,pdc
rank,1,64,read_chunk,0.003550,pdc
rank,1,64,read_all_chunks,0.003554,pdc
rank,1,128,write_chunk,0.002321,pdc
rank,1,128,write_all_chunks,0.002329,pdc
rank,1,128,read_chunk,0.006580,pdc
rank,1,128,read_all_chunks,0.006584,pdc
rank,1,256,write_chunk,0.002779,pdc
rank,1,256,write_all_chunks,0.002863,pdc
rank,1,256,read_chunk,0.017141,pdc
rank,1,256,read_all_chunks,0.017148,pdc
chunk,1,256,write_chunk,0.002727,pdc
chunk,1,256,write_all_chunks,0.002814,pdc
chunk,1,256,read_chunk,0.015994,pdc
chunk,1,256,read_all_chunks,0.016001,pdc
chunk,2,256,write_chunk,0.003200,pdc
chunk,2,256,write_all_chunks,0.006484,pdc
chunk,2,256,read_chunk,0.016894,pdc
chunk,2,256,read_all_chunks,0.033797,pdc
chunk,4,256,write_chunk,0.002878,pdc
chunk,4,256,write_all_chunks,0.011587,pdc
chunk,4,256,read_chunk,0.017932,pdc
chunk,4,256,read_all_chunks,0.071741,pdc
