scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000431,hdf5
rank,1,1,write_all_chunks,0.001658,hdf5
rank,1,1,read_chunk,0.000134,hdf5
rank,1,1,read_all_chunks,0.000136,hdf5
rank,1,2,write_chunk,0.000612,hdf5
rank,1,2,write_all_chunks,0.004212,hdf5
rank,1,2,read_chunk,0.002083,hdf5
rank,1,2,read_all_chunks,0.002086,hdf5
rank,1,4,write_chunk,0.000787,hdf5
rank,1,4,write_all_chunks,0.007289,hdf5
rank,1,4,read_chunk,0.000568,hdf5
rank,1,4,read_all_chunks,0.000570,hdf5
rank,1,8,write_chunk,0.001112,hdf5
rank,1,8,write_all_chunks,0.013468,hdf5
rank,1,8,read_chunk,0.000998,hdf5
rank,1,8,read_all_chunks,0.001000,hdf5
rank,1,16,write_chunk,0.002316,hdf5
rank,1,16,write_all_chunks,0.012692,hdf5
rank,1,16,read_chunk,0.001821,hdf5
rank,1,16,read_all_chunks,0.001825,hdf5
rank,1,32,write_chunk,0.003532,hdf5
rank,1,32,write_all_chunks,0.010613,hdf5
rank,1,32,read_chunk,0.003114,hdf5
rank,1,32,read_all_chunks,0.003117,hdf5
rank,1,64,write_chunk,0.008006,hdf5
rank,1,64,write_all_chunks,0.013340,hdf5
rank,1,64,read_chunk,0.012663,hdf5
rank,1,64,read_all_chunks,0.012666,hdf5
rank,1,128,write_chunk,0.010270,hdf5
rank,1,128,write_all_chunks,0.016838,hdf5
rank,1,128,read_chunk,0.020975,hdf5
rank,1,128,read_all_chunks,0.020978,hdf5
rank,1,256,write_chunk,0.023119,hdf5
rank,1,256,write_all_chunks,0.032000,hdf5
rank,1,256,read_chunk,0.029980,hdf5
rank,1,256,read_all_chunks,0.029986,hdf5
chunk,1,256,write_chunk,0.021524,hdf5
chunk,1,256,write_all_chunks,0.031264,hdf5
chunk,1,256,read_chunk,0.030609,hdf5
chunk,1,256,read_all_chunks,0.030615,hdf5
chunk,2,256,write_chunk,0.037684,hdf5
chunk,2,256,write_all_chunks,0.085810,hdf5
chunk,2,256,read_chunk,0.027036,hdf5
chunk,2,256,read_all_chunks,0.054079,hdf5
chunk,4,256,write_chunk,0.052057,hdf5
chunk,4,256,write_all_chunks,0.222573,hdf5
chunk,4,256,read_chunk,0.055908,hdf5
chunk,4,256,read_all_chunks,0.223642,hdf5
rank,1,1,write_chunk,0.000277,pdc
rank,1,1,write_all_chunks,0.000284,pdc
rank,1,1,read_chunk,0.000153,pdc
rank,1,1,read_all_chunks,0.000155,pdc
rank,1,2,write_chunk,0.000262,pdc
rank,1,2,write_all_chunks,0.000270,pdc
rank,1,2,read_chunk,0.000252,pdc
rank,1,2,read_all_chunks,0.000258,pdc
rank,1,4,write_chunk,0.000309,pdc
rank,1,4,write_all_chunks,0.000316,pdc
rank,1,4,read_chunk,0.000202,pdc
rank,1,4,read_all_chunks,0.000204,pdc
rank,1,8,write_chunk,0.000284,pdc
rank,1,8,write_all_chunks,0.000289,pdc
rank,1,8,read_chunk,0.000847,pdc
rank,1,8,read_all_chunks,0.000850,pdc
rank,1,16,write_chunk,0.000358,pdc
rank,1,16,write_all_chunks,0.000364,pdc
rank,1,16,read_chunk,0.001765,pdc
rank,1,16,read_all_chunks,0.001768,pdc
rank,1,32,write_chunk,0.000704,pdc
rank,1,32,write_all_chunks,0.000711,pdc
rank,1,32,read_chunk,0.003182,pdc
rank,1,32,read_all_chunks,0.003186,pdc
rank,1,64,write_chunk,0.001016,pdc
rank,1,64,write_all_chunks,0.001033,pdc
rank,1,64,read_chunk,0.006278,pdc
rank,1,64,read_all_chunks,0.006280,pdc
rank,1,128,write_chunk,0.001838,pdc
rank,1,128,write_all_chunks,0.001846,pdc
rank,1,128,read_chunk,0.012342,pdc
rank,1,128,read_all_chunks,0.012347,pdc
rank,1,256,write_chunk,0.003436,pdc
rank,1,256,write_all_chunks,0.003519,pdc
rank,1,256,read_chunk,0.026474,pdc
rank,1,256,read_all_chunks,0.026480,pdc
chunk,1,256,write_chunk,0.003806,pdc
chunk,1,256,write_all_chunks,0.003892,pdc
chunk,1,256,read_chunk,0.026561,pdc
chunk,1,256,read_all_chunks,0.026567,pdc
chunk,2,256,write_chunk,0.003545,pdc
chunk,2,256,write_all_chunks,0.007173,pdc
chunk,2,256,read_chunk,0.027278,pdc
chunk,2,256,read_all_chunks,0.054565,pdc
chunk,4,256,write_chunk,0.003115,pdc
chunk,4,256,write_all_chunks,0.012540,pdc
chunk,4,256,read_chunk,0.026236,pdc
chunk,4,256,read_all_chunks,0.104957,pdc
