scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000428,hdf5
rank,1,1,write_all_chunks,0.004505,hdf5
rank,1,1,read_chunk,0.000139,hdf5
rank,1,1,read_all_chunks,0.000141,hdf5
rank,1,2,write_chunk,0.000612,hdf5
rank,1,2,write_all_chunks,0.004344,hdf5
rank,1,2,read_chunk,0.002278,hdf5
rank,1,2,read_all_chunks,0.002281,hdf5
rank,1,4,write_chunk,0.000786,hdf5
rank,1,4,write_all_chunks,0.006378,hdf5
rank,1,4,read_chunk,0.000541,hdf5
rank,1,4,read_all_chunks,0.000544,hdf5
rank,1,8,write_chunk,0.001103,hdf5
rank,1,8,write_all_chunks,0.016080,hdf5
rank,1,8,read_chunk,0.000919,hdf5
rank,1,8,read_all_chunks,0.000922,hdf5
rank,1,16,write_chunk,0.002289,hdf5
rank,1,16,write_all_chunks,0.011583,hdf5
rank,1,16,read_chunk,0.001421,hdf5
rank,1,16,read_all_chunks,0.001424,hdf5
rank,1,32,write_chunk,0.003546,hdf5
rank,1,32,write_all_chunks,0.010203,hdf5
rank,1,32,read_chunk,0.002618,hdf5
rank,1,32,read_all_chunks,0.002621,hdf5
rank,1,64,write_chunk,0.008190,hdf5
rank,1,64,write_all_chunks,0.014082,hdf5
rank,1,64,read_chunk,0.011693,hdf5
rank,1,64,read_all_chunks,0.011696,hdf5
rank,1,128,write_chunk,0.010912,hdf5
rank,1,128,write_all_chunks,0.018124,hdf5
rank,1,128,read_chunk,0.019398,hdf5
rank,1,128,read_all_chunks,0.019402,hdf5
rank,1,256,write_chunk,0.022267,hdf5
rank,1,256,write_all_chunks,0.031818,hdf5
rank,1,256,read_chunk,0.032214,hdf5
rank,1,256,read_all_chunks,0.032218,hdf5
chunk,1,256,write_chunk,0.021638,hdf5
chunk,1,256,write_all_chunks,0.030642,hdf5
chunk,1,256,read_chunk,0.029130,hdf5
chunk,1,256,read_all_chunks,0.029135,hdf5
chunk,2,256,write_chunk,0.037941,hdf5
chunk,2,256,write_all_chunks,0.086467,hdf5
chunk,2,256,read_chunk,0.028298,hdf5
chunk,2,256,read_all_chunks,0.056602,hdf5
chunk,4,256,write_chunk,0.053617,hdf5
chunk,4,256,write_all_chunks,0.227036,hdf5
chunk,4,256,read_chunk,0.056375,hdf5
chunk,4,256,read_all_chunks,0.225510,hdf5
rank,1,1,write_chunk,0.000553,pdc
rank,1,1,write_all_chunks,0.000560,pdc
rank,1,1,read_chunk,0.000431,pdc
rank,1,1,read_all_chunks,0.000434,pdc
rank,1,2,write_chunk,0.000566,pdc
rank,1,2,write_all_chunks,0.000572,pdc
rank,1,2,read_chunk,0.000403,pdc
rank,1,2,read_all_chunks,0.000405,pdc
rank,1,4,write_chunk,0.019937,pdc
rank,1,4,write_all_chunks,0.019943,pdc
rank,1,4,read_chunk,0.000704,pdc
rank,1,4,read_all_chunks,0.000706,pdc
rank,1,8,write_chunk,0.019918,pdc
rank,1,8,write_all_chunks,0.019924,pdc
rank,1,8,read_chunk,0.000831,pdc
rank,1,8,read_all_chunks,0.000834,pdc
rank,1,16,write_chunk,0.019809,pdc
rank,1,16,write_all_chunks,0.019816,pdc
rank,1,16,read_chunk,0.001266,pdc
rank,1,16,read_all_chunks,0.001271,pdc
rank,1,32,write_chunk,0.020383,pdc
rank,1,32,write_all_chunks,0.020391,pdc
rank,1,32,read_chunk,0.002366,pdc
rank,1,32,read_all_chunks,0.002375,pdc
rank,1,64,write_chunk,0.019227,pdc
rank,1,64,write_all_chunks,0.019234,pdc
rank,1,64,read_chunk,0.004060,pdc
rank,1,64,read_all_chunks,0.004064,pdc
rank,1,128,write_chunk,0.020262,pdc
rank,1,128,write_all_chunks,0.020269,pdc
rank,1,128,read_chunk,0.007260,pdc
rank,1,128,read_all_chunks,0.007264,pdc
rank,1,256,write_chunk,0.002932,pdc
rank,1,256,write_all_chunks,0.003016,pdc
rank,1,256,read_chunk,0.019034,pdc
rank,1,256,read_all_chunks,0.019038,pdc
chunk,1,256,write_chunk,0.017764,pdc
chunk,1,256,write_all_chunks,0.017823,pdc
chunk,1,256,read_chunk,0.016027,pdc
chunk,1,256,read_all_chunks,0.016033,pdc
chunk,2,256,write_chunk,0.008430,pdc
chunk,2,256,write_all_chunks,0.016944,pdc
chunk,2,256,read_chunk,0.017162,pdc
chunk,2,256,read_all_chunks,0.034330,pdc
chunk,4,256,write_chunk,0.045396,pdc
chunk,4,256,write_all_chunks,0.181676,pdc
chunk,4,256,read_chunk,0.021474,pdc
chunk,4,256,read_all_chunks,0.085911,pdc
