scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000446,hdf5
rank,1,1,write_all_chunks,0.030516,hdf5
rank,1,1,read_chunk,0.000146,hdf5
rank,1,1,read_all_chunks,0.000148,hdf5
rank,1,2,write_chunk,0.001885,hdf5
rank,1,2,write_all_chunks,0.006177,hdf5
rank,1,2,read_chunk,0.001916,hdf5
rank,1,2,read_all_chunks,0.001919,hdf5
rank,1,4,write_chunk,0.002302,hdf5
rank,1,4,write_all_chunks,0.006445,hdf5
rank,1,4,read_chunk,0.000525,hdf5
rank,1,4,read_all_chunks,0.000527,hdf5
rank,1,8,write_chunk,0.002208,hdf5
rank,1,8,write_all_chunks,0.014986,hdf5
rank,1,8,read_chunk,0.000868,hdf5
rank,1,8,read_all_chunks,0.000870,hdf5
rank,1,16,write_chunk,0.002305,hdf5
rank,1,16,write_all_chunks,0.010577,hdf5
rank,1,16,read_chunk,0.001337,hdf5
rank,1,16,read_all_chunks,0.001339,hdf5
rank,1,32,write_chunk,0.003567,hdf5
rank,1,32,write_all_chunks,0.009692,hdf5
rank,1,32,read_chunk,0.002676,hdf5
rank,1,32,read_all_chunks,0.002680,hdf5
rank,1,64,write_chunk,0.006681,hdf5
rank,1,64,write_all_chunks,0.010966,hdf5
rank,1,64,read_chunk,0.010669,hdf5
rank,1,64,read_all_chunks,0.010672,hdf5
rank,1,128,write_chunk,0.010061,hdf5
rank,1,128,write_all_chunks,0.016527,hdf5
rank,1,128,read_chunk,0.020004,hdf5
rank,1,128,read_all_chunks,0.020006,hdf5
rank,1,256,write_chunk,0.022085,hdf5
rank,1,256,write_all_chunks,0.031552,hdf5
rank,1,256,read_chunk,0.029279,hdf5
rank,1,256,read_all_chunks,0.029284,hdf5
chunk,1,256,write_chunk,0.021515,hdf5
chunk,1,256,write_all_chunks,0.030338,hdf5
chunk,1,256,read_chunk,0.028098,hdf5
chunk,1,256,read_all_chunks,0.028103,hdf5
chunk,2,256,write_chunk,0.036610,hdf5
chunk,2,256,write_all_chunks,0.082731,hdf5
chunk,2,256,read_chunk,0.028123,hdf5
chunk,2,256,read_all_chunks,0.056252,hdf5
chunk,4,256,write_chunk,0.050077,hdf5
chunk,4,256,write_all_chunks,0.211186,hdf5
chunk,4,256,read_chunk,0.056007,hdf5
chunk,4,256,read_all_chunks,0.224038,hdf5
rank,1,1,write_chunk,0.100207,pdc
rank,1,1,write_all_chunks,0.100215,pdc
rank,1,1,read_chunk,0.001400,pdc
rank,1,1,read_all_chunks,0.001401,pdc
rank,1,2,write_chunk,0.100262,pdc
rank,1,2,write_all_chunks,0.100269,pdc
rank,1,2,read_chunk,0.001249,pdc
rank,1,2,read_all_chunks,0.001251,pdc
rank,1,4,write_chunk,0.094234,pdc
rank,1,4,write_all_chunks,0.094242,pdc
rank,1,4,read_chunk,0.001215,pdc
rank,1,4,read_all_chunks,0.001218,pdc
rank,1,8,write_chunk,0.080586,pdc
rank,1,8,write_all_chunks,0.080594,pdc
rank,1,8,read_chunk,0.001201,pdc
rank,1,8,read_all_chunks,0.001203,pdc
rank,1,16,write_chunk,0.080435,pdc
rank,1,16,write_all_chunks,0.080442,pdc
rank,1,16,read_chunk,0.001937,pdc
rank,1,16,read_all_chunks,0.001941,pdc
rank,1,32,write_chunk,0.101720,pdc
rank,1,32,write_all_chunks,0.101728,pdc
rank,1,32,read_chunk,0.002634,pdc
rank,1,32,read_all_chunks,0.002638,pdc
rank,1,64,write_chunk,0.114477,pdc
rank,1,64,write_all_chunks,0.114485,pdc
rank,1,64,read_chunk,0.004900,pdc
rank,1,64,read_all_chunks,0.004904,pdc
rank,1,128,write_chunk,0.119370,pdc
rank,1,128,write_all_chunks,0.119379,pdc
rank,1,128,read_chunk,0.008002,pdc
rank,1,128,read_all_chunks,0.008008,pdc
rank,1,256,write_chunk,0.384039,pdc
rank,1,256,write_all_chunks,0.384223,pdc
rank,1,256,read_chunk,0.019557,pdc
rank,1,256,read_all_chunks,0.019564,pdc
chunk,1,256,write_chunk,0.274052,pdc
chunk,1,256,write_all_chunks,0.274209,pdc
chunk,1,256,read_chunk,0.018705,pdc
chunk,1,256,read_all_chunks,0.018718,pdc
chunk,2,256,write_chunk,0.188596,pdc
chunk,2,256,write_all_chunks,0.377350,pdc
chunk,2,256,read_chunk,0.018031,pdc
chunk,2,256,read_all_chunks,0.036076,pdc
chunk,4,256,write_chunk,0.073570,pdc
chunk,4,256,write_all_chunks,0.294364,pdc
chunk,4,256,read_chunk,0.017914,pdc
chunk,4,256,read_all_chunks,0.071679,pdc
