scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000413,hdf5
rank,1,1,write_all_chunks,0.011447,hdf5
rank,1,1,read_chunk,0.000131,hdf5
rank,1,1,read_all_chunks,0.000133,hdf5
rank,1,2,write_chunk,0.000621,hdf5
rank,1,2,write_all_chunks,0.004129,hdf5
rank,1,2,read_chunk,0.002156,hdf5
rank,1,2,read_all_chunks,0.002159,hdf5
rank,1,4,write_chunk,0.000783,hdf5
rank,1,4,write_all_chunks,0.006390,hdf5
rank,1,4,read_chunk,0.000552,hdf5
rank,1,4,read_all_chunks,0.000554,hdf5
rank,1,8,write_chunk,0.001341,hdf5
rank,1,8,write_all_chunks,0.011843,hdf5
rank,1,8,read_chunk,0.000836,hdf5
rank,1,8,read_all_chunks,0.000839,hdf5
rank,1,16,write_chunk,0.002281,hdf5
rank,1,16,write_all_chunks,0.011881,hdf5
rank,1,16,read_chunk,0.001276,hdf5
rank,1,16,read_all_chunks,0.001279,hdf5
rank,1,32,write_chunk,0.003551,hdf5
rank,1,32,write_all_chunks,0.009428,hdf5
rank,1,32,read_chunk,0.002269,hdf5
rank,1,32,read_all_chunks,0.002272,hdf5
rank,1,64,write_chunk,0.007095,hdf5
rank,1,64,write_all_chunks,0.011481,hdf5
rank,1,64,read_chunk,0.010614,hdf5
rank,1,64,read_all_chunks,0.010617,hdf5
rank,1,128,write_chunk,0.010131,hdf5
rank,1,128,write_all_chunks,0.016042,hdf5
rank,1,128,read_chunk,0.019705,hdf5
rank,1,128,read_all_chunks,0.019709,hdf5
rank,1,256,write_chunk,0.022401,hdf5
rank,1,256,write_all_chunks,0.030521,hdf5
rank,1,256,read_chunk,0.028452,hdf5
rank,1,256,read_all_chunks,0.028458,hdf5
chunk,1,256,write_chunk,0.023026,hdf5
chunk,1,256,write_all_chunks,0.031449,hdf5
chunk,1,256,read_chunk,0.029454,hdf5
chunk,1,256,read_all_chunks,0.029459,hdf5
chunk,2,256,write_chunk,0.036719,hdf5
chunk,2,256,write_all_chunks,0.080662,hdf5
chunk,2,256,read_chunk,0.024938,hdf5
chunk,2,256,read_all_chunks,0.049884,hdf5
chunk,4,256,write_chunk,0.051991,hdf5
chunk,4,256,write_all_chunks,0.220316,hdf5
chunk,4,256,read_chunk,0.056040,hdf5
chunk,4,256,read_all_chunks,0.224173,hdf5
rank,1,1,write_chunk,0.100745,pdc
rank,1,1,write_all_chunks,0.100755,pdc
rank,1,1,read_chunk,0.001072,pdc
rank,1,1,read_all_chunks,0.001074,pdc
rank,1,2,write_chunk,0.099808,pdc
rank,1,2,write_all_chunks,0.099815,pdc
rank,1,2,read_chunk,0.001284,pdc
rank,1,2,read_all_chunks,0.001287,pdc
rank,1,4,write_chunk,0.094815,pdc
rank,1,4,write_all_chunks,0.094822,pdc
rank,1,4,read_chunk,0.001246,pdc
rank,1,4,read_all_chunks,0.001248,pdc
rank,1,8,write_chunk,0.080665,pdc
rank,1,8,write_all_chunks,0.080672,pdc
rank,1,8,read_chunk,0.001297,pdc
rank,1,8,read_all_chunks,0.001299,pdc
rank,1,16,write_chunk,0.081364,pdc
rank,1,16,write_all_chunks,0.081372,pdc
rank,1,16,read_chunk,0.001817,pdc
rank,1,16,read_all_chunks,0.001820,pdc
rank,1,32,write_chunk,0.090944,pdc
rank,1,32,write_all_chunks,0.090952,pdc
rank,1,32,read_chunk,0.003023,pdc
rank,1,32,read_all_chunks,0.003028,pdc
rank,1,64,write_chunk,0.134970,pdc
rank,1,64,write_all_chunks,0.134978,pdc
rank,1,64,read_chunk,0.004944,pdc
rank,1,64,read_all_chunks,0.004947,pdc
rank,1,128,write_chunk,0.100489,pdc
rank,1,128,write_all_chunks,0.100496,pdc
rank,1,128,read_chunk,0.007987,pdc
rank,1,128,read_all_chunks,0.007993,pdc
rank,1,256,write_chunk,0.313934,pdc
rank,1,256,write_all_chunks,0.314091,pdc
rank,1,256,read_chunk,0.018042,pdc
rank,1,256,read_all_chunks,0.018049,pdc
chunk,1,256,write_chunk,0.350227,pdc
chunk,1,256,write_all_chunks,0.350408,pdc
chunk,1,256,read_chunk,0.018904,pdc
chunk,1,256,read_all_chunks,0.018912,pdc
chunk,2,256,write_chunk,0.168842,pdc
chunk,2,256,write_all_chunks,0.337770,pdc
chunk,2,256,read_chunk,0.018185,pdc
chunk,2,256,read_all_chunks,0.036392,pdc
chunk,4,256,write_chunk,0.196922,pdc
chunk,4,256,write_all_chunks,0.787823,pdc
chunk,4,256,read_chunk,0.017783,pdc
chunk,4,256,read_all_chunks,0.071145,pdc
