[0]workload_name,[1]chunks_per_rank,[2]num_ranks,[3]timer_tag,[4]elapsed_seconds,[5]chunk_size_bytes,[6]io_participation,[7]filter
PDC,4,1,write_chunk,0.000985,1048576,independent,raw
PDC,4,1,write_all_chunks,0.005075,1048576,independent,raw
PDC,4,1,read_chunk,0.000580,1048576,independent,raw
PDC,4,1,read_all_chunks,0.101900,1048576,independent,raw
PDC,4,2,write_chunk,0.000766,1048576,independent,raw
PDC,4,2,write_all_chunks,0.100852,1048576,independent,raw
PDC,4,2,read_chunk,0.000604,1048576,independent,raw
PDC,4,2,read_all_chunks,0.100711,1048576,independent,raw
PDC,4,4,write_chunk,0.000770,1048576,independent,raw
PDC,4,4,write_all_chunks,0.115545,1048576,independent,raw
PDC,4,4,read_chunk,0.000609,1048576,independent,raw
PDC,4,4,read_all_chunks,0.099924,1048576,independent,raw
PDC,4,8,write_chunk,0.000777,1048576,independent,raw
PDC,4,8,write_all_chunks,0.118371,1048576,independent,raw
PDC,4,8,read_chunk,0.000637,1048576,independent,raw
PDC,4,8,read_all_chunks,0.101775,1048576,independent,raw
PDC,4,16,write_chunk,0.000892,1048576,independent,raw
PDC,4,16,write_all_chunks,0.122761,1048576,independent,raw
PDC,4,16,read_chunk,0.000913,1048576,independent,raw
PDC,4,16,read_all_chunks,0.102142,1048576,independent,raw
PDC,4,32,write_chunk,0.000882,1048576,independent,raw
PDC,4,32,write_all_chunks,0.125453,1048576,independent,raw
PDC,4,32,read_chunk,0.000975,1048576,independent,raw
PDC,4,32,read_all_chunks,0.104124,1048576,independent,raw
PDC,4,64,write_chunk,0.000840,1048576,independent,raw
PDC,4,64,write_all_chunks,0.189715,1048576,independent,raw
PDC,4,64,read_chunk,0.001635,1048576,independent,raw
PDC,4,64,read_all_chunks,0.106893,1048576,independent,raw
PDC,4,128,write_chunk,0.000870,1048576,independent,raw
PDC,4,128,write_all_chunks,0.211119,1048576,independent,raw
PDC,4,128,read_chunk,0.002950,1048576,independent,raw
PDC,4,128,read_all_chunks,0.112115,1048576,independent,raw
PDC,4,256,write_chunk,0.000908,1048576,independent,raw
PDC,4,256,write_all_chunks,0.314626,1048576,independent,raw
PDC,4,256,read_chunk,0.007593,1048576,independent,raw
PDC,4,256,read_all_chunks,0.133957,1048576,independent,raw
PDC,4,512,write_chunk,0.001090,1048576,independent,raw
PDC,4,512,write_all_chunks,0.410584,1048576,independent,raw
PDC,4,512,read_chunk,0.026078,1048576,independent,raw
PDC,4,512,read_all_chunks,0.232498,1048576,independent,raw
PDC,4,1024,write_chunk,0.001598,1048576,independent,raw
PDC,4,1024,write_all_chunks,0.799590,1048576,independent,raw
PDC,4,1024,read_chunk,0.097045,1048576,independent,raw
PDC,4,1024,read_all_chunks,0.519204,1048576,independent,raw
PDC-ZFP,4,1,write_chunk,0.000782,1048576,independent,zfp_compress
PDC-ZFP,4,1,write_all_chunks,0.099643,1048576,independent,zfp_compress
PDC-ZFP,4,1,read_chunk,0.000585,1048576,independent,zfp_compress
PDC-ZFP,4,1,read_all_chunks,0.099922,1048576,independent,zfp_compress
PDC-ZFP,4,2,write_chunk,0.000763,1048576,independent,zfp_compress
PDC-ZFP,4,2,write_all_chunks,0.018908,1048576,independent,zfp_compress
PDC-ZFP,4,2,read_chunk,0.000590,1048576,independent,zfp_compress
PDC-ZFP,4,2,read_all_chunks,0.100378,1048576,independent,zfp_compress
PDC-ZFP,4,4,write_chunk,0.000769,1048576,independent,zfp_compress
PDC-ZFP,4,4,write_all_chunks,0.117358,1048576,independent,zfp_compress
PDC-ZFP,4,4,read_chunk,0.000610,1048576,independent,zfp_compress
PDC-ZFP,4,4,read_all_chunks,0.100711,1048576,independent,zfp_compress
PDC-ZFP,4,8,write_chunk,0.000793,1048576,independent,zfp_compress
PDC-ZFP,4,8,write_all_chunks,0.117661,1048576,independent,zfp_compress
PDC-ZFP,4,8,read_chunk,0.000656,1048576,independent,zfp_compress
PDC-ZFP,4,8,read_all_chunks,0.102445,1048576,independent,zfp_compress
PDC-ZFP,4,16,write_chunk,0.000794,1048576,independent,zfp_compress
PDC-ZFP,4,16,write_all_chunks,0.122299,1048576,independent,zfp_compress
PDC-ZFP,4,16,read_chunk,0.000892,1048576,independent,zfp_compress
PDC-ZFP,4,16,read_all_chunks,0.102813,1048576,independent,zfp_compress
PDC-ZFP,4,32,write_chunk,0.000866,1048576,independent,zfp_compress
PDC-ZFP,4,32,write_all_chunks,0.124958,1048576,independent,zfp_compress
PDC-ZFP,4,32,read_chunk,0.001015,1048576,independent,zfp_compress
PDC-ZFP,4,32,read_all_chunks,0.104109,1048576,independent,zfp_compress
PDC-ZFP,4,64,write_chunk,0.000839,1048576,independent,zfp_compress
PDC-ZFP,4,64,write_all_chunks,0.184630,1048576,independent,zfp_compress
PDC-ZFP,4,64,read_chunk,0.001560,1048576,independent,zfp_compress
PDC-ZFP,4,64,read_all_chunks,0.105899,1048576,independent,zfp_compress
PDC-ZFP,4,128,write_chunk,0.000866,1048576,independent,zfp_compress
PDC-ZFP,4,128,write_all_chunks,0.233338,1048576,independent,zfp_compress
PDC-ZFP,4,128,read_chunk,0.003030,1048576,independent,zfp_compress
PDC-ZFP,4,128,read_all_chunks,0.111684,1048576,independent,zfp_compress
