[0]workload_name,[1]chunks_per_rank,[2]num_ranks,[3]timer_tag,[4]elapsed_seconds,[5]chunk_size_bytes,[6]io_participation,[7]filter
PDC,4,1,write_chunk,0.000979,1048576,independent,raw
PDC,4,1,write_all_chunks,0.103061,1048576,independent,raw
PDC,4,1,read_chunk,0.000603,1048576,independent,raw
PDC,4,1,read_all_chunks,0.099911,1048576,independent,raw
PDC,4,2,write_chunk,0.000764,1048576,independent,raw
PDC,4,2,write_all_chunks,0.115706,1048576,independent,raw
PDC,4,2,read_chunk,0.000598,1048576,independent,raw
PDC,4,2,read_all_chunks,0.099915,1048576,independent,raw
PDC,4,4,write_chunk,0.000772,1048576,independent,raw
PDC,4,4,write_all_chunks,0.115684,1048576,independent,raw
PDC,4,4,read_chunk,0.000607,1048576,independent,raw
PDC,4,4,read_all_chunks,0.098919,1048576,independent,raw
PDC,4,8,write_chunk,0.000823,1048576,independent,raw
PDC,4,8,write_all_chunks,0.118327,1048576,independent,raw
PDC,4,8,read_chunk,0.000693,1048576,independent,raw
PDC,4,8,read_all_chunks,0.102218,1048576,independent,raw
PDC,4,16,write_chunk,0.000792,1048576,independent,raw
PDC,4,16,write_all_chunks,0.122331,1048576,independent,raw
PDC,4,16,read_chunk,0.001033,1048576,independent,raw
PDC,4,16,read_all_chunks,0.103924,1048576,independent,raw
PDC,4,32,write_chunk,0.000806,1048576,independent,raw
PDC,4,32,write_all_chunks,0.124859,1048576,independent,raw
PDC,4,32,read_chunk,0.000994,1048576,independent,raw
PDC,4,32,read_all_chunks,0.103850,1048576,independent,raw
PDC,4,64,write_chunk,0.000841,1048576,independent,raw
PDC,4,64,write_all_chunks,0.188482,1048576,independent,raw
PDC,4,64,read_chunk,0.001340,1048576,independent,raw
PDC,4,64,read_all_chunks,0.106111,1048576,independent,raw
PDC,4,128,write_chunk,0.000867,1048576,independent,raw
PDC,4,128,write_all_chunks,0.243142,1048576,independent,raw
PDC,4,128,read_chunk,0.003066,1048576,independent,raw
PDC,4,128,read_all_chunks,0.111916,1048576,independent,raw
PDC,4,256,write_chunk,0.000963,1048576,independent,raw
PDC,4,256,write_all_chunks,0.293085,1048576,independent,raw
PDC,4,256,read_chunk,0.007050,1048576,independent,raw
PDC,4,256,read_all_chunks,0.134828,1048576,independent,raw
PDC,4,512,write_chunk,0.001221,1048576,independent,raw
PDC,4,512,write_all_chunks,0.401161,1048576,independent,raw
PDC,4,512,read_chunk,0.022417,1048576,independent,raw
PDC,4,512,read_all_chunks,0.201100,1048576,independent,raw
PDC,4,1024,write_chunk,0.001449,1048576,independent,raw
PDC,4,1024,write_all_chunks,0.838146,1048576,independent,raw
PDC,4,1024,read_chunk,0.100525,1048576,independent,raw
PDC,4,1024,read_all_chunks,0.499625,1048576,independent,raw
PDC-ZFP,4,1,write_chunk,0.000799,1048576,independent,zfp_compress
PDC-ZFP,4,1,write_all_chunks,0.008933,1048576,independent,zfp_compress
PDC-ZFP,4,1,read_chunk,0.000588,1048576,independent,zfp_compress
PDC-ZFP,4,1,read_all_chunks,0.102181,1048576,independent,zfp_compress
PDC-ZFP,4,2,write_chunk,0.000783,1048576,independent,zfp_compress
PDC-ZFP,4,2,write_all_chunks,0.101216,1048576,independent,zfp_compress
PDC-ZFP,4,2,read_chunk,0.000599,1048576,independent,zfp_compress
PDC-ZFP,4,2,read_all_chunks,0.098860,1048576,independent,zfp_compress
PDC-ZFP,4,4,write_chunk,0.000779,1048576,independent,zfp_compress
PDC-ZFP,4,4,write_all_chunks,0.023718,1048576,independent,zfp_compress
PDC-ZFP,4,4,read_chunk,0.000591,1048576,independent,zfp_compress
PDC-ZFP,4,4,read_all_chunks,0.102391,1048576,independent,zfp_compress
PDC-ZFP,4,8,write_chunk,0.000791,1048576,independent,zfp_compress
PDC-ZFP,4,8,write_all_chunks,0.127263,1048576,independent,zfp_compress
PDC-ZFP,4,8,read_chunk,0.000650,1048576,independent,zfp_compress
PDC-ZFP,4,8,read_all_chunks,0.101625,1048576,independent,zfp_compress
PDC-ZFP,4,16,write_chunk,0.000792,1048576,independent,zfp_compress
PDC-ZFP,4,16,write_all_chunks,0.124977,1048576,independent,zfp_compress
PDC-ZFP,4,16,read_chunk,0.000734,1048576,independent,zfp_compress
PDC-ZFP,4,16,read_all_chunks,0.102605,1048576,independent,zfp_compress
PDC-ZFP,4,32,write_chunk,0.000927,1048576,independent,zfp_compress
PDC-ZFP,4,32,write_all_chunks,0.125237,1048576,independent,zfp_compress
PDC-ZFP,4,32,read_chunk,0.001028,1048576,independent,zfp_compress
PDC-ZFP,4,32,read_all_chunks,0.104266,1048576,independent,zfp_compress
PDC-ZFP,4,64,write_chunk,0.000856,1048576,independent,zfp_compress
PDC-ZFP,4,64,write_all_chunks,0.176043,1048576,independent,zfp_compress
PDC-ZFP,4,64,read_chunk,0.001566,1048576,independent,zfp_compress
PDC-ZFP,4,64,read_all_chunks,0.106453,1048576,independent,zfp_compress
PDC-ZFP,4,128,write_chunk,0.000865,1048576,independent,zfp_compress
PDC-ZFP,4,128,write_all_chunks,0.241144,1048576,independent,zfp_compress
PDC-ZFP,4,128,read_chunk,0.003482,1048576,independent,zfp_compress
PDC-ZFP,4,128,read_all_chunks,0.115545,1048576,independent,zfp_compress
PDC-ZFP,4,256,write_chunk,0.000933,1048576,independent,zfp_compress
PDC-ZFP,4,256,write_all_chunks,0.332296,1048576,independent,zfp_compress
PDC-ZFP,4,256,read_chunk,0.006744,1048576,independent,zfp_compress
PDC-ZFP,4,256,read_all_chunks,0.137465,1048576,independent,zfp_compress
PDC-ZFP,4,512,write_chunk,0.001149,1048576,independent,zfp_compress
PDC-ZFP,4,512,write_all_chunks,0.494479,1048576,independent,zfp_compress
PDC-ZFP,4,512,read_chunk,0.024942,1048576,independent,zfp_compress
PDC-ZFP,4,512,read_all_chunks,0.245237,1048576,independent,zfp_compress
PDC-ZFP,4,1024,write_chunk,0.001540,1048576,independent,zfp_compress
PDC-ZFP,4,1024,write_all_chunks,0.972917,1048576,independent,zfp_compress
PDC-ZFP,4,1024,read_chunk,0.104175,1048576,independent,zfp_compress
PDC-ZFP,4,1024,read_all_chunks,0.554172,1048576,independent,zfp_compress
HDF5,4,1,write_chunk,0.000384,1048576,independent,raw
HDF5,4,1,write_all_chunks,0.018717,1048576,independent,raw
HDF5,4,1,read_chunk,0.000171,1048576,independent,raw
HDF5,4,1,read_all_chunks,0.000703,1048576,independent,raw
HDF5,4,1,write_chunk,0.000529,1048576,collective,raw
HDF5,4,1,write_all_chunks,0.021259,1048576,collective,raw
HDF5,4,1,read_chunk,0.000247,1048576,collective,raw
HDF5,4,1,read_all_chunks,0.001029,1048576,collective,raw
HDF5,4,2,write_chunk,0.000119,1048576,independent,raw
HDF5,4,2,write_all_chunks,0.009939,1048576,independent,raw
HDF5,4,2,read_chunk,0.000528,1048576,independent,raw
HDF5,4,2,read_all_chunks,0.003195,1048576,independent,raw
HDF5,4,2,write_chunk,0.000421,1048576,collective,raw
HDF5,4,2,write_all_chunks,0.015687,1048576,collective,raw
HDF5,4,2,read_chunk,0.001513,1048576,collective,raw
HDF5,4,2,read_all_chunks,0.008385,1048576,collective,raw
HDF5,4,4,write_chunk,0.001962,1048576,independent,raw
HDF5,4,4,write_all_chunks,0.017661,1048576,independent,raw
HDF5,4,4,read_chunk,0.000228,1048576,independent,raw
HDF5,4,4,read_all_chunks,0.002768,1048576,independent,raw
HDF5,4,4,write_chunk,0.002567,1048576,collective,raw
HDF5,4,4,write_all_chunks,0.026196,1048576,collective,raw
HDF5,4,4,read_chunk,0.000874,1048576,collective,raw
HDF5,4,4,read_all_chunks,0.005392,1048576,collective,raw
HDF5,4,8,write_chunk,0.003333,1048576,independent,raw
HDF5,4,8,write_all_chunks,0.021935,1048576,independent,raw
HDF5,4,8,read_chunk,0.001666,1048576,independent,raw
HDF5,4,8,read_all_chunks,0.006712,1048576,independent,raw
HDF5,4,8,write_chunk,0.005710,1048576,collective,raw
HDF5,4,8,write_all_chunks,0.048482,1048576,collective,raw
HDF5,4,8,read_chunk,0.003177,1048576,collective,raw
HDF5,4,8,read_all_chunks,0.012795,1048576,collective,raw
HDF5,4,16,write_chunk,0.000141,1048576,independent,raw
HDF5,4,16,write_all_chunks,0.022922,1048576,independent,raw
HDF5,4,16,read_chunk,0.000219,1048576,independent,raw
HDF5,4,16,read_all_chunks,0.009340,1048576,independent,raw
HDF5,4,16,write_chunk,0.003586,1048576,collective,raw
HDF5,4,16,write_all_chunks,0.053696,1048576,collective,raw
HDF5,4,16,read_chunk,0.004211,1048576,collective,raw
HDF5,4,16,read_all_chunks,0.025357,1048576,collective,raw
HDF5,4,32,write_chunk,0.000160,1048576,independent,raw
HDF5,4,32,write_all_chunks,0.034098,1048576,independent,raw
HDF5,4,32,read_chunk,0.000586,1048576,independent,raw
HDF5,4,32,read_all_chunks,0.015856,1048576,independent,raw
HDF5,4,32,write_chunk,0.007160,1048576,collective,raw
HDF5,4,32,write_all_chunks,0.084405,1048576,collective,raw
HDF5,4,32,read_chunk,0.018971,1048576,collective,raw
HDF5,4,32,read_all_chunks,0.089445,1048576,collective,raw
HDF5,4,64,write_chunk,0.005803,1048576,independent,raw
HDF5,4,64,write_all_chunks,0.045514,1048576,independent,raw
HDF5,4,64,read_chunk,0.001532,1048576,independent,raw
HDF5,4,64,read_all_chunks,0.025778,1048576,independent,raw
HDF5,4,64,write_chunk,0.021835,1048576,collective,raw
HDF5,4,64,write_all_chunks,0.138404,1048576,collective,raw
HDF5,4,64,read_chunk,0.056752,1048576,collective,raw
HDF5,4,64,read_all_chunks,0.246729,1048576,collective,raw
HDF5,4,128,write_chunk,0.009406,1048576,independent,raw
HDF5,4,128,write_all_chunks,0.062394,1048576,independent,raw
HDF5,4,128,read_chunk,0.001153,1048576,independent,raw
HDF5,4,128,read_all_chunks,0.016662,1048576,independent,raw
HDF5,4,128,write_chunk,0.040940,1048576,collective,raw
HDF5,4,128,write_all_chunks,0.225775,1048576,collective,raw
HDF5,4,128,read_chunk,0.037756,1048576,collective,raw
HDF5,4,128,read_all_chunks,0.165338,1048576,collective,raw
HDF5,4,256,write_chunk,0.017024,1048576,independent,raw
HDF5,4,256,write_all_chunks,0.094883,1048576,independent,raw
HDF5,4,256,read_chunk,0.001696,1048576,independent,raw
HDF5,4,256,read_all_chunks,0.021404,1048576,independent,raw
HDF5,4,256,write_chunk,0.075764,1048576,collective,raw
HDF5,4,256,write_all_chunks,0.396513,1048576,collective,raw
HDF5,4,256,read_chunk,0.077676,1048576,collective,raw
HDF5,4,256,read_all_chunks,0.328083,1048576,collective,raw
HDF5,4,512,write_chunk,0.033980,1048576,independent,raw
HDF5,4,512,write_all_chunks,0.166227,1048576,independent,raw
HDF5,4,512,read_chunk,0.000924,1048576,independent,raw
HDF5,4,512,read_all_chunks,0.030414,1048576,independent,raw
HDF5,4,512,write_chunk,0.148281,1048576,collective,raw
HDF5,4,512,write_all_chunks,0.748345,1048576,collective,raw
HDF5,4,512,read_chunk,0.152102,1048576,collective,raw
HDF5,4,512,read_all_chunks,0.640144,1048576,collective,raw
HDF5,4,1024,write_chunk,0.064584,1048576,independent,raw
HDF5,4,1024,write_all_chunks,0.325530,1048576,independent,raw
HDF5,4,1024,read_chunk,0.009390,1048576,independent,raw
HDF5,4,1024,read_all_chunks,0.048565,1048576,independent,raw
HDF5,4,1024,write_chunk,0.304863,1048576,collective,raw
HDF5,4,1024,write_all_chunks,1.540583,1048576,collective,raw
HDF5,4,1024,read_chunk,0.300476,1048576,collective,raw
HDF5,4,1024,read_all_chunks,1.218821,1048576,collective,raw
HDF5-ZFP,4,1,write_chunk,0.000782,1048576,collective,zfp_compress
HDF5-ZFP,4,1,write_all_chunks,0.005376,1048576,collective,zfp_compress
HDF5-ZFP,4,1,read_chunk,0.000171,1048576,collective,zfp_compress
HDF5-ZFP,4,1,read_all_chunks,0.000705,1048576,collective,zfp_compress
HDF5-ZFP,4,2,write_chunk,0.001195,1048576,collective,zfp_compress
HDF5-ZFP,4,2,write_all_chunks,0.008647,1048576,collective,zfp_compress
HDF5-ZFP,4,2,read_chunk,0.000393,1048576,collective,zfp_compress
HDF5-ZFP,4,2,read_all_chunks,0.002756,1048576,collective,zfp_compress
HDF5-ZFP,4,4,write_chunk,0.001468,1048576,collective,zfp_compress
HDF5-ZFP,4,4,write_all_chunks,0.012698,1048576,collective,zfp_compress
HDF5-ZFP,4,4,read_chunk,0.000503,1048576,collective,zfp_compress
HDF5-ZFP,4,4,read_all_chunks,0.003226,1048576,collective,zfp_compress
HDF5-ZFP,4,8,write_chunk,0.001716,1048576,collective,zfp_compress
HDF5-ZFP,4,8,write_all_chunks,0.017380,1048576,collective,zfp_compress
HDF5-ZFP,4,8,read_chunk,0.000587,1048576,collective,zfp_compress
HDF5-ZFP,4,8,read_all_chunks,0.004250,1048576,collective,zfp_compress
HDF5-ZFP,4,16,write_chunk,0.007131,1048576,collective,zfp_compress
HDF5-ZFP,4,16,write_all_chunks,0.041126,1048576,collective,zfp_compress
HDF5-ZFP,4,16,read_chunk,0.000721,1048576,collective,zfp_compress
HDF5-ZFP,4,16,read_all_chunks,0.004489,1048576,collective,zfp_compress
HDF5-ZFP,4,32,write_chunk,0.007966,1048576,collective,zfp_compress
HDF5-ZFP,4,32,write_all_chunks,0.048435,1048576,collective,zfp_compress
HDF5-ZFP,4,32,read_chunk,0.002732,1048576,collective,zfp_compress
HDF5-ZFP,4,32,read_all_chunks,0.012642,1048576,collective,zfp_compress
HDF5-ZFP,4,64,write_chunk,0.003965,1048576,collective,zfp_compress
HDF5-ZFP,4,64,write_all_chunks,0.026727,1048576,collective,zfp_compress
HDF5-ZFP,4,64,read_chunk,0.003226,1048576,collective,zfp_compress
HDF5-ZFP,4,64,read_all_chunks,0.014741,1048576,collective,zfp_compress
HDF5-ZFP,4,128,write_chunk,0.006239,1048576,collective,zfp_compress
HDF5-ZFP,4,128,write_all_chunks,0.037938,1048576,collective,zfp_compress
HDF5-ZFP,4,128,read_chunk,0.006160,1048576,collective,zfp_compress
HDF5-ZFP,4,128,read_all_chunks,0.026701,1048576,collective,zfp_compress
HDF5-ZFP,4,256,write_chunk,0.010584,1048576,collective,zfp_compress
HDF5-ZFP,4,256,write_all_chunks,0.056230,1048576,collective,zfp_compress
HDF5-ZFP,4,256,read_chunk,0.008452,1048576,collective,zfp_compress
HDF5-ZFP,4,256,read_all_chunks,0.036719,1048576,collective,zfp_compress
HDF5-ZFP,4,512,write_chunk,0.015410,1048576,collective,zfp_compress
HDF5-ZFP,4,512,write_all_chunks,0.082810,1048576,collective,zfp_compress
HDF5-ZFP,4,512,read_chunk,0.015065,1048576,collective,zfp_compress
HDF5-ZFP,4,512,read_all_chunks,0.067766,1048576,collective,zfp_compress
HDF5-ZFP,4,1024,write_chunk,0.025539,1048576,collective,zfp_compress
HDF5-ZFP,4,1024,write_all_chunks,0.133632,1048576,collective,zfp_compress
HDF5-ZFP,4,1024,read_chunk,0.027046,1048576,collective,zfp_compress
HDF5-ZFP,4,1024,read_all_chunks,0.118889,1048576,collective,zfp_compress
