[0]workload_name,[1]chunks_per_rank,[2]num_ranks,[3]timer_tag,[4]elapsed_seconds,[5]chunk_size_bytes,[6]io_participation,[7]filter
PDC,4,1,write_chunk,0.001398,4194304,independent,raw
PDC,4,1,write_all_chunks,0.007863,4194304,independent,raw
PDC,4,1,read_chunk,0.000588,4194304,independent,raw
PDC,4,1,read_all_chunks,0.006574,4194304,independent,raw
PDC,4,2,write_chunk,0.001353,4194304,independent,raw
PDC,4,2,write_all_chunks,0.009531,4194304,independent,raw
PDC,4,2,read_chunk,0.000583,4194304,independent,raw
PDC,4,2,read_all_chunks,0.099431,4194304,independent,raw
PDC,4,4,write_chunk,0.001401,4194304,independent,raw
PDC,4,4,write_all_chunks,0.103798,4194304,independent,raw
PDC,4,4,read_chunk,0.000623,4194304,independent,raw
PDC,4,4,read_all_chunks,0.099786,4194304,independent,raw
PDC,4,8,write_chunk,0.001480,4194304,independent,raw
PDC,4,8,write_all_chunks,0.105510,4194304,independent,raw
PDC,4,8,read_chunk,0.000652,4194304,independent,raw
PDC,4,8,read_all_chunks,0.107220,4194304,independent,raw
PDC,4,16,write_chunk,0.001520,4194304,independent,raw
PDC,4,16,write_all_chunks,0.106444,4194304,independent,raw
PDC,4,16,read_chunk,0.001010,4194304,independent,raw
PDC,4,16,read_all_chunks,0.103559,4194304,independent,raw
PDC,4,32,write_chunk,0.003652,4194304,independent,raw
PDC,4,32,write_all_chunks,0.184141,4194304,independent,raw
PDC,4,32,read_chunk,0.005436,4194304,independent,raw
PDC,4,32,read_all_chunks,0.153211,4194304,independent,raw
PDC,4,64,write_chunk,0.001594,4194304,independent,raw
PDC,4,64,write_all_chunks,0.214886,4194304,independent,raw
PDC,4,64,read_chunk,0.006220,4194304,independent,raw
PDC,4,64,read_all_chunks,0.133925,4194304,independent,raw
PDC,4,128,write_chunk,0.009062,4194304,independent,raw
PDC,4,128,write_all_chunks,0.276905,4194304,independent,raw
PDC,4,128,read_chunk,0.005498,4194304,independent,raw
PDC,4,128,read_all_chunks,0.143162,4194304,independent,raw
PDC,4,256,write_chunk,0.001593,4194304,independent,raw
PDC,4,256,write_all_chunks,0.370678,4194304,independent,raw
PDC,4,256,read_chunk,0.006904,4194304,independent,raw
PDC,4,256,read_all_chunks,0.165377,4194304,independent,raw
PDC,4,512,write_chunk,0.002057,4194304,independent,raw
PDC,4,512,write_all_chunks,0.483680,4194304,independent,raw
PDC,4,512,read_chunk,0.026998,4194304,independent,raw
