[0]workload_name,[1]chunks_per_rank,[2]num_ranks,[3]timer_tag,[4]elapsed_seconds,[5]chunk_size_bytes,[6]io_participation,[7]filter
PDC,4,1,write_chunk,0.001468,4194304,independent,raw
PDC,4,1,write_all_chunks,0.104895,4194304,independent,raw
PDC,4,1,read_chunk,0.000598,4194304,independent,raw
PDC,4,1,read_all_chunks,0.006655,4194304,independent,raw
PDC,4,2,write_chunk,0.001408,4194304,independent,raw
PDC,4,2,write_all_chunks,0.104994,4194304,independent,raw
PDC,4,2,read_chunk,0.000604,4194304,independent,raw
PDC,4,2,read_all_chunks,0.008516,4194304,independent,raw
PDC,4,4,write_chunk,0.001473,4194304,independent,raw
PDC,4,4,write_all_chunks,0.105856,4194304,independent,raw
PDC,4,4,read_chunk,0.000624,4194304,independent,raw
PDC,4,4,read_all_chunks,0.102384,4194304,independent,raw
PDC,4,8,write_chunk,0.001501,4194304,independent,raw
PDC,4,8,write_all_chunks,0.106812,4194304,independent,raw
PDC,4,8,read_chunk,0.000660,4194304,independent,raw
PDC,4,8,read_all_chunks,0.114339,4194304,independent,raw
PDC,4,16,write_chunk,0.001418,4194304,independent,raw
PDC,4,16,write_all_chunks,0.109350,4194304,independent,raw
PDC,4,16,read_chunk,0.004493,4194304,independent,raw
PDC,4,16,read_all_chunks,0.116797,4194304,independent,raw
PDC,4,32,write_chunk,0.013122,4194304,independent,raw
PDC,4,32,write_all_chunks,0.166229,4194304,independent,raw
PDC,4,32,read_chunk,0.003807,4194304,independent,raw
PDC,4,32,read_all_chunks,0.202076,4194304,independent,raw
PDC,4,64,write_chunk,0.007514,4194304,independent,raw
PDC,4,64,write_all_chunks,0.230897,4194304,independent,raw
PDC,4,64,read_chunk,0.001374,4194304,independent,raw
PDC,4,64,read_all_chunks,0.148252,4194304,independent,raw
PDC,4,128,write_chunk,0.001876,4194304,independent,raw
PDC,4,128,write_all_chunks,0.283118,4194304,independent,raw
PDC,4,128,read_chunk,0.003018,4194304,independent,raw
PDC,4,128,read_all_chunks,0.140900,4194304,independent,raw
PDC,4,256,write_chunk,0.001665,4194304,independent,raw
PDC,4,256,write_all_chunks,0.375818,4194304,independent,raw
PDC,4,256,read_chunk,0.013185,4194304,independent,raw
PDC,4,256,read_all_chunks,0.189391,4194304,independent,raw
PDC,4,512,write_chunk,0.001819,4194304,independent,raw
PDC,4,512,write_all_chunks,0.474988,4194304,independent,raw
PDC,4,512,read_chunk,0.031126,4194304,independent,raw
PDC,4,512,read_all_chunks,0.306075,4194304,independent,raw
PDC,4,1024,write_chunk,0.001954,4194304,independent,raw
PDC,4,1024,write_all_chunks,0.744243,4194304,independent,raw
PDC,4,1024,read_chunk,0.099630,4194304,independent,raw
PDC,4,1024,read_all_chunks,0.612372,4194304,independent,raw
PDC,4,2048,write_chunk,0.002127,4194304,independent,raw
PDC,4,2048,write_all_chunks,1.665485,4194304,independent,raw
PDC,4,2048,read_chunk,0.371982,4194304,independent,raw
PDC,4,2048,read_all_chunks,1.639091,4194304,independent,raw
PDC,4,4096,write_chunk,0.002536,4194304,independent,raw
PDC,4,4096,write_all_chunks,4.981263,4194304,independent,raw
PDC,4,4096,read_chunk,1.366250,4194304,independent,raw
PDC,4,4096,read_all_chunks,5.736577,4194304,independent,raw
PDC,4,8192,write_chunk,0.003077,4194304,independent,raw
PDC,4,8192,write_all_chunks,17.849530,4194304,independent,raw
PDC,4,8192,read_chunk,5.536113,4194304,independent,raw
PDC,4,8192,read_all_chunks,22.473457,4194304,independent,raw
PDC-ZFP,4,1,write_chunk,0.001227,4194304,independent,zfp_compress
PDC-ZFP,4,1,write_all_chunks,0.102799,4194304,independent,zfp_compress
PDC-ZFP,4,1,read_chunk,0.000600,4194304,independent,zfp_compress
PDC-ZFP,4,1,read_all_chunks,0.006599,4194304,independent,zfp_compress
PDC-ZFP,4,2,write_chunk,0.001260,4194304,independent,zfp_compress
PDC-ZFP,4,2,write_all_chunks,0.104490,4194304,independent,zfp_compress
PDC-ZFP,4,2,read_chunk,0.000599,4194304,independent,zfp_compress
PDC-ZFP,4,2,read_all_chunks,0.007564,4194304,independent,zfp_compress
PDC-ZFP,4,4,write_chunk,0.001209,4194304,independent,zfp_compress
PDC-ZFP,4,4,write_all_chunks,0.104890,4194304,independent,zfp_compress
PDC-ZFP,4,4,read_chunk,0.000633,4194304,independent,zfp_compress
PDC-ZFP,4,4,read_all_chunks,0.102415,4194304,independent,zfp_compress
PDC-ZFP,4,8,write_chunk,0.001253,4194304,independent,zfp_compress
PDC-ZFP,4,8,write_all_chunks,0.104881,4194304,independent,zfp_compress
PDC-ZFP,4,8,read_chunk,0.000619,4194304,independent,zfp_compress
PDC-ZFP,4,8,read_all_chunks,0.111092,4194304,independent,zfp_compress
PDC-ZFP,4,16,write_chunk,0.001345,4194304,independent,zfp_compress
PDC-ZFP,4,16,write_all_chunks,0.106136,4194304,independent,zfp_compress
PDC-ZFP,4,16,read_chunk,0.005398,4194304,independent,zfp_compress
PDC-ZFP,4,16,read_all_chunks,0.119977,4194304,independent,zfp_compress
PDC-ZFP,4,32,write_chunk,0.003798,4194304,independent,zfp_compress
PDC-ZFP,4,32,write_all_chunks,0.114393,4194304,independent,zfp_compress
PDC-ZFP,4,32,read_chunk,0.000910,4194304,independent,zfp_compress
PDC-ZFP,4,32,read_all_chunks,0.152636,4194304,independent,zfp_compress
PDC-ZFP,4,64,write_chunk,0.001620,4194304,independent,zfp_compress
PDC-ZFP,4,64,write_all_chunks,0.235658,4194304,independent,zfp_compress
PDC-ZFP,4,64,read_chunk,0.005435,4194304,independent,zfp_compress
PDC-ZFP,4,64,read_all_chunks,0.131550,4194304,independent,zfp_compress
PDC-ZFP,4,128,write_chunk,0.001694,4194304,independent,zfp_compress
PDC-ZFP,4,128,write_all_chunks,0.284026,4194304,independent,zfp_compress
PDC-ZFP,4,128,read_chunk,0.008998,4194304,independent,zfp_compress
PDC-ZFP,4,128,read_all_chunks,0.155959,4194304,independent,zfp_compress
PDC-ZFP,4,256,write_chunk,0.002163,4194304,independent,zfp_compress
PDC-ZFP,4,256,write_all_chunks,0.362577,4194304,independent,zfp_compress
PDC-ZFP,4,256,read_chunk,0.014222,4194304,independent,zfp_compress
PDC-ZFP,4,256,read_all_chunks,0.211467,4194304,independent,zfp_compress
PDC-ZFP,4,512,write_chunk,0.001964,4194304,independent,zfp_compress
PDC-ZFP,4,512,write_all_chunks,0.513875,4194304,independent,zfp_compress
PDC-ZFP,4,512,read_chunk,0.025855,4194304,independent,zfp_compress
PDC-ZFP,4,512,read_all_chunks,0.278533,4194304,independent,zfp_compress
PDC-ZFP,4,1024,write_chunk,0.002020,4194304,independent,zfp_compress
PDC-ZFP,4,1024,write_all_chunks,0.853620,4194304,independent,zfp_compress
PDC-ZFP,4,1024,read_chunk,0.103445,4194304,independent,zfp_compress
PDC-ZFP,4,1024,read_all_chunks,0.582541,4194304,independent,zfp_compress
PDC-ZFP,4,2048,write_chunk,0.002171,4194304,independent,zfp_compress
PDC-ZFP,4,2048,write_all_chunks,1.623564,4194304,independent,zfp_compress
PDC-ZFP,4,2048,read_chunk,0.367812,4194304,independent,zfp_compress
PDC-ZFP,4,2048,read_all_chunks,1.667760,4194304,independent,zfp_compress
PDC-ZFP,4,4096,write_chunk,0.002609,4194304,independent,zfp_compress
PDC-ZFP,4,4096,write_all_chunks,5.101591,4194304,independent,zfp_compress
PDC-ZFP,4,4096,read_chunk,1.423874,4194304,independent,zfp_compress
PDC-ZFP,4,4096,read_all_chunks,6.227791,4194304,independent,zfp_compress
PDC-ZFP,4,8192,write_chunk,0.002874,4194304,independent,zfp_compress
PDC-ZFP,4,8192,write_all_chunks,18.257257,4194304,independent,zfp_compress
PDC-ZFP,4,8192,read_chunk,5.769307,4194304,independent,zfp_compress
PDC-ZFP,4,8192,read_all_chunks,23.440533,4194304,independent,zfp_compress
HDF5,4,1,write_chunk,0.000578,4194304,independent,raw
HDF5,4,1,write_all_chunks,0.009442,4194304,independent,raw
HDF5,4,1,read_chunk,0.000290,4194304,independent,raw
HDF5,4,1,read_all_chunks,0.001182,4194304,independent,raw
HDF5,4,1,write_chunk,0.000913,4194304,collective,raw
HDF5,4,1,write_all_chunks,0.013684,4194304,collective,raw
HDF5,4,1,read_chunk,0.000429,4194304,collective,raw
HDF5,4,1,read_all_chunks,0.001757,4194304,collective,raw
HDF5,4,2,write_chunk,0.002867,4194304,independent,raw
HDF5,4,2,write_all_chunks,0.017133,4194304,independent,raw
HDF5,4,2,read_chunk,0.000667,4194304,independent,raw
HDF5,4,2,read_all_chunks,0.004476,4194304,independent,raw
HDF5,4,2,write_chunk,0.004368,4194304,collective,raw
HDF5,4,2,write_all_chunks,0.032117,4194304,collective,raw
HDF5,4,2,read_chunk,0.001782,4194304,collective,raw
HDF5,4,2,read_all_chunks,0.008974,4194304,collective,raw
HDF5,4,4,write_chunk,0.003097,4194304,independent,raw
HDF5,4,4,write_all_chunks,0.021973,4194304,independent,raw
HDF5,4,4,read_chunk,0.002458,4194304,independent,raw
HDF5,4,4,read_all_chunks,0.009872,4194304,independent,raw
HDF5,4,4,write_chunk,0.005243,4194304,collective,raw
HDF5,4,4,write_all_chunks,0.044141,4194304,collective,raw
HDF5,4,4,read_chunk,0.004859,4194304,collective,raw
HDF5,4,4,read_all_chunks,0.019512,4194304,collective,raw
HDF5,4,8,write_chunk,0.005359,4194304,independent,raw
HDF5,4,8,write_all_chunks,0.033767,4194304,independent,raw
HDF5,4,8,read_chunk,0.003316,4194304,independent,raw
HDF5,4,8,read_all_chunks,0.015941,4194304,independent,raw
HDF5,4,8,write_chunk,0.009039,4194304,collective,raw
HDF5,4,8,write_all_chunks,0.070270,4194304,collective,raw
HDF5,4,8,read_chunk,0.010198,4194304,collective,raw
HDF5,4,8,read_all_chunks,0.043511,4194304,collective,raw
HDF5,4,16,write_chunk,0.006558,4194304,independent,raw
HDF5,4,16,write_all_chunks,0.052795,4194304,independent,raw
HDF5,4,16,read_chunk,0.005404,4194304,independent,raw
HDF5,4,16,read_all_chunks,0.025914,4194304,independent,raw
HDF5,4,16,write_chunk,0.013529,4194304,collective,raw
HDF5,4,16,write_all_chunks,0.113628,4194304,collective,raw
HDF5,4,16,read_chunk,0.027438,4194304,collective,raw
HDF5,4,16,read_all_chunks,0.114103,4194304,collective,raw
HDF5,4,32,write_chunk,0.011250,4194304,independent,raw
HDF5,4,32,write_all_chunks,0.060979,4194304,independent,raw
HDF5,4,32,read_chunk,0.002069,4194304,independent,raw
HDF5,4,32,read_all_chunks,0.033788,4194304,independent,raw
HDF5,4,32,write_chunk,0.025085,4194304,collective,raw
HDF5,4,32,write_all_chunks,0.160424,4194304,collective,raw
HDF5,4,32,read_chunk,0.021319,4194304,collective,raw
HDF5,4,32,read_all_chunks,0.111529,4194304,collective,raw
HDF5,4,64,write_chunk,0.020126,4194304,independent,raw
HDF5,4,64,write_all_chunks,0.101758,4194304,independent,raw
HDF5,4,64,read_chunk,0.002015,4194304,independent,raw
HDF5,4,64,read_all_chunks,0.021899,4194304,independent,raw
HDF5,4,64,write_chunk,0.047777,4194304,collective,raw
HDF5,4,64,write_all_chunks,0.285652,4194304,collective,raw
HDF5,4,64,read_chunk,0.038055,4194304,collective,raw
HDF5,4,64,read_all_chunks,0.170021,4194304,collective,raw
HDF5,4,128,write_chunk,0.033496,4194304,independent,raw
HDF5,4,128,write_all_chunks,0.188849,4194304,independent,raw
HDF5,4,128,read_chunk,0.003768,4194304,independent,raw
HDF5,4,128,read_all_chunks,0.034716,4194304,independent,raw
HDF5,4,128,write_chunk,0.087958,4194304,collective,raw
HDF5,4,128,write_all_chunks,0.520360,4194304,collective,raw
HDF5,4,128,read_chunk,0.077201,4194304,collective,raw
HDF5,4,128,read_all_chunks,0.345156,4194304,collective,raw
HDF5,4,256,write_chunk,0.053123,4194304,independent,raw
HDF5,4,256,write_all_chunks,0.272077,4194304,independent,raw
HDF5,4,256,read_chunk,0.003983,4194304,independent,raw
HDF5,4,256,read_all_chunks,0.072529,4194304,independent,raw
HDF5,4,256,write_chunk,0.161559,4194304,collective,raw
HDF5,4,256,write_all_chunks,0.932399,4194304,collective,raw
HDF5,4,256,read_chunk,0.156706,4194304,collective,raw
HDF5,4,256,read_all_chunks,0.702516,4194304,collective,raw
HDF5,4,512,write_chunk,0.096057,4194304,independent,raw
HDF5,4,512,write_all_chunks,0.491183,4194304,independent,raw
HDF5,4,512,read_chunk,0.005143,4194304,independent,raw
HDF5,4,512,read_all_chunks,0.105867,4194304,independent,raw
HDF5,4,512,write_chunk,0.364807,4194304,collective,raw
HDF5,4,512,write_all_chunks,1.963811,4194304,collective,raw
HDF5,4,512,read_chunk,0.393556,4194304,collective,raw
HDF5,4,512,read_all_chunks,1.679731,4194304,collective,raw
HDF5,4,1024,write_chunk,0.186421,4194304,independent,raw
HDF5,4,1024,write_all_chunks,0.903363,4194304,independent,raw
HDF5,4,1024,read_chunk,0.030834,4194304,independent,raw
HDF5,4,1024,read_all_chunks,0.189092,4194304,independent,raw
HDF5,4,1024,write_chunk,0.725448,4194304,collective,raw
HDF5,4,1024,write_all_chunks,3.782267,4194304,collective,raw
HDF5,4,1024,read_chunk,0.813107,4194304,collective,raw
HDF5,4,1024,read_all_chunks,3.333673,4194304,collective,raw
HDF5,4,2048,write_chunk,0.318751,4194304,independent,raw
HDF5,4,2048,write_all_chunks,1.835734,4194304,independent,raw
HDF5,4,2048,read_chunk,0.038526,4194304,independent,raw
HDF5,4,2048,read_all_chunks,0.269137,4194304,independent,raw
HDF5,4,2048,write_chunk,1.574624,4194304,collective,raw
HDF5,4,2048,write_all_chunks,8.246756,4194304,collective,raw
HDF5,4,2048,read_chunk,1.639919,4194304,collective,raw
HDF5,4,2048,read_all_chunks,6.700008,4194304,collective,raw
HDF5,4,4096,write_chunk,0.659676,4194304,independent,raw
HDF5,4,4096,write_all_chunks,3.753913,4194304,independent,raw
HDF5,4,4096,read_chunk,0.112212,4194304,independent,raw
HDF5,4,4096,read_all_chunks,0.516233,4194304,independent,raw
HDF5,4,4096,write_chunk,3.465271,4194304,collective,raw
HDF5,4,4096,write_all_chunks,17.722871,4194304,collective,raw
HDF5,4,4096,read_chunk,3.513443,4194304,collective,raw
HDF5,4,4096,read_all_chunks,14.158737,4194304,collective,raw
HDF5,4,8192,write_chunk,1.525240,4194304,independent,raw
HDF5,4,8192,write_all_chunks,7.700580,4194304,independent,raw
HDF5,4,8192,read_chunk,0.227188,4194304,independent,raw
HDF5,4,8192,read_all_chunks,1.376490,4194304,independent,raw
HDF5,4,8192,write_chunk,8.573813,4194304,collective,raw
HDF5,4,8192,write_all_chunks,40.984265,4194304,collective,raw
HDF5,4,8192,read_chunk,7.689950,4194304,collective,raw
HDF5,4,8192,read_all_chunks,31.298177,4194304,collective,raw
HDF5-ZFP,4,1,write_chunk,0.004374,4194304,collective,zfp_compress
HDF5-ZFP,4,1,write_all_chunks,0.038671,4194304,collective,zfp_compress
HDF5-ZFP,4,1,read_chunk,0.004033,4194304,collective,zfp_compress
HDF5-ZFP,4,1,read_all_chunks,0.016154,4194304,collective,zfp_compress
HDF5-ZFP,4,2,write_chunk,0.005551,4194304,collective,zfp_compress
HDF5-ZFP,4,2,write_all_chunks,0.033141,4194304,collective,zfp_compress
