[0]workload_name,[1]chunks_per_rank,[2]num_ranks,[3]timer_tag,[4]elapsed_seconds,[5]chunk_size_bytes,[6]io_participation,[7]filter
PDC,4,1,write_chunk,0.001374,4194304,independent,raw
PDC,4,1,write_all_chunks,0.007676,4194304,independent,raw
PDC,4,1,read_chunk,0.000581,4194304,independent,raw
PDC,4,1,read_all_chunks,0.006603,4194304,independent,raw
PDC,4,2,write_chunk,0.001341,4194304,independent,raw
PDC,4,2,write_all_chunks,0.101688,4194304,independent,raw
PDC,4,2,read_chunk,0.000595,4194304,independent,raw
PDC,4,2,read_all_chunks,0.102175,4194304,independent,raw
PDC,4,4,write_chunk,0.001383,4194304,independent,raw
PDC,4,4,write_all_chunks,0.105958,4194304,independent,raw
PDC,4,4,read_chunk,0.000613,4194304,independent,raw
PDC,4,4,read_all_chunks,0.099752,4194304,independent,raw
PDC,4,8,write_chunk,0.001381,4194304,independent,raw
PDC,4,8,write_all_chunks,0.104642,4194304,independent,raw
PDC,4,8,read_chunk,0.000614,4194304,independent,raw
PDC,4,8,read_all_chunks,0.102035,4194304,independent,raw
PDC,4,16,write_chunk,0.001629,4194304,independent,raw
PDC,4,16,write_all_chunks,0.107443,4194304,independent,raw
PDC,4,16,read_chunk,0.006935,4194304,independent,raw
PDC,4,16,read_all_chunks,0.103780,4194304,independent,raw
PDC,4,32,write_chunk,0.001835,4194304,independent,raw
PDC,4,32,write_all_chunks,0.174157,4194304,independent,raw
PDC,4,32,read_chunk,0.012136,4194304,independent,raw
PDC,4,32,read_all_chunks,0.145805,4194304,independent,raw
PDC,4,64,write_chunk,0.012339,4194304,independent,raw
PDC,4,64,write_all_chunks,0.235127,4194304,independent,raw
PDC,4,64,read_chunk,0.006675,4194304,independent,raw
PDC,4,64,read_all_chunks,0.140049,4194304,independent,raw
PDC,4,128,write_chunk,0.002343,4194304,independent,raw
PDC,4,128,write_all_chunks,0.290874,4194304,independent,raw
PDC,4,128,read_chunk,0.008248,4194304,independent,raw
PDC,4,128,read_all_chunks,0.154535,4194304,independent,raw
PDC,4,256,write_chunk,0.001529,4194304,independent,raw
PDC,4,256,write_all_chunks,0.418727,4194304,independent,raw
PDC,4,256,read_chunk,0.010643,4194304,independent,raw
PDC,4,256,read_all_chunks,0.198419,4194304,independent,raw
PDC,4,512,write_chunk,0.001804,4194304,independent,raw
PDC,4,512,write_all_chunks,0.479782,4194304,independent,raw
PDC,4,512,read_chunk,0.030442,4194304,independent,raw
PDC,4,512,read_all_chunks,0.269518,4194304,independent,raw
PDC,4,1024,write_chunk,0.001860,4194304,independent,raw
PDC,4,1024,write_all_chunks,0.780749,4194304,independent,raw
PDC,4,1024,read_chunk,0.100332,4194304,independent,raw
PDC,4,1024,read_all_chunks,0.604387,4194304,independent,raw
PDC,4,2048,write_chunk,0.002096,4194304,independent,raw
PDC,4,2048,write_all_chunks,1.661633,4194304,independent,raw
PDC,4,2048,read_chunk,0.368101,4194304,independent,raw
PDC,4,2048,read_all_chunks,1.702086,4194304,independent,raw
PDC,4,4096,write_chunk,0.002497,4194304,independent,raw
PDC,4,4096,write_all_chunks,4.909991,4194304,independent,raw
PDC,4,4096,read_chunk,1.375367,4194304,independent,raw
PDC,4,4096,read_all_chunks,5.724163,4194304,independent,raw
PDC,4,8192,write_chunk,0.002881,4194304,independent,raw
PDC,4,8192,write_all_chunks,18.159678,4194304,independent,raw
PDC,4,8192,read_chunk,5.683445,4194304,independent,raw
PDC,4,8192,read_all_chunks,22.891271,4194304,independent,raw
PDC-ZFP,4,1,write_chunk,0.001270,4194304,independent,zfp_compress
PDC-ZFP,4,1,write_all_chunks,0.104556,4194304,independent,zfp_compress
PDC-ZFP,4,1,read_chunk,0.000589,4194304,independent,zfp_compress
PDC-ZFP,4,1,read_all_chunks,0.099787,4194304,independent,zfp_compress
PDC-ZFP,4,2,write_chunk,0.001235,4194304,independent,zfp_compress
PDC-ZFP,4,2,write_all_chunks,0.102293,4194304,independent,zfp_compress
PDC-ZFP,4,2,read_chunk,0.000599,4194304,independent,zfp_compress
PDC-ZFP,4,2,read_all_chunks,0.102226,4194304,independent,zfp_compress
PDC-ZFP,4,4,write_chunk,0.001329,4194304,independent,zfp_compress
PDC-ZFP,4,4,write_all_chunks,0.104713,4194304,independent,zfp_compress
PDC-ZFP,4,4,read_chunk,0.000623,4194304,independent,zfp_compress
PDC-ZFP,4,4,read_all_chunks,0.101748,4194304,independent,zfp_compress
PDC-ZFP,4,8,write_chunk,0.001307,4194304,independent,zfp_compress
PDC-ZFP,4,8,write_all_chunks,0.104459,4194304,independent,zfp_compress
PDC-ZFP,4,8,read_chunk,0.001142,4194304,independent,zfp_compress
PDC-ZFP,4,8,read_all_chunks,0.101435,4194304,independent,zfp_compress
PDC-ZFP,4,16,write_chunk,0.001323,4194304,independent,zfp_compress
PDC-ZFP,4,16,write_all_chunks,0.106318,4194304,independent,zfp_compress
PDC-ZFP,4,16,read_chunk,0.003855,4194304,independent,zfp_compress
PDC-ZFP,4,16,read_all_chunks,0.115153,4194304,independent,zfp_compress
PDC-ZFP,4,32,write_chunk,0.002077,4194304,independent,zfp_compress
PDC-ZFP,4,32,write_all_chunks,0.110583,4194304,independent,zfp_compress
PDC-ZFP,4,32,read_chunk,0.010562,4194304,independent,zfp_compress
PDC-ZFP,4,32,read_all_chunks,0.144603,4194304,independent,zfp_compress
PDC-ZFP,4,64,write_chunk,0.001540,4194304,independent,zfp_compress
PDC-ZFP,4,64,write_all_chunks,0.239243,4194304,independent,zfp_compress
PDC-ZFP,4,64,read_chunk,0.005691,4194304,independent,zfp_compress
PDC-ZFP,4,64,read_all_chunks,0.147084,4194304,independent,zfp_compress
PDC-ZFP,4,128,write_chunk,0.001548,4194304,independent,zfp_compress
PDC-ZFP,4,128,write_all_chunks,0.263291,4194304,independent,zfp_compress
PDC-ZFP,4,128,read_chunk,0.005185,4194304,independent,zfp_compress
PDC-ZFP,4,128,read_all_chunks,0.158685,4194304,independent,zfp_compress
PDC-ZFP,4,256,write_chunk,0.001737,4194304,independent,zfp_compress
PDC-ZFP,4,256,write_all_chunks,0.360292,4194304,independent,zfp_compress
PDC-ZFP,4,256,read_chunk,0.014047,4194304,independent,zfp_compress
PDC-ZFP,4,256,read_all_chunks,0.196082,4194304,independent,zfp_compress
PDC-ZFP,4,512,write_chunk,0.001848,4194304,independent,zfp_compress
PDC-ZFP,4,512,write_all_chunks,0.447625,4194304,independent,zfp_compress
PDC-ZFP,4,512,read_chunk,0.030815,4194304,independent,zfp_compress
PDC-ZFP,4,512,read_all_chunks,0.268942,4194304,independent,zfp_compress
PDC-ZFP,4,1024,write_chunk,0.001913,4194304,independent,zfp_compress
PDC-ZFP,4,1024,write_all_chunks,0.808074,4194304,independent,zfp_compress
PDC-ZFP,4,1024,read_chunk,0.097500,4194304,independent,zfp_compress
PDC-ZFP,4,1024,read_all_chunks,0.592248,4194304,independent,zfp_compress
PDC-ZFP,4,2048,write_chunk,0.002003,4194304,independent,zfp_compress
PDC-ZFP,4,2048,write_all_chunks,1.646211,4194304,independent,zfp_compress
PDC-ZFP,4,2048,read_chunk,0.364763,4194304,independent,zfp_compress
PDC-ZFP,4,2048,read_all_chunks,1.635172,4194304,independent,zfp_compress
PDC-ZFP,4,4096,write_chunk,0.002237,4194304,independent,zfp_compress
PDC-ZFP,4,4096,write_all_chunks,5.057262,4194304,independent,zfp_compress
PDC-ZFP,4,4096,read_chunk,1.419893,4194304,independent,zfp_compress
PDC-ZFP,4,4096,read_all_chunks,6.073540,4194304,independent,zfp_compress
PDC-ZFP,4,8192,write_chunk,0.002900,4194304,independent,zfp_compress
PDC-ZFP,4,8192,write_all_chunks,18.533959,4194304,independent,zfp_compress
PDC-ZFP,4,8192,read_chunk,5.761379,4194304,independent,zfp_compress
PDC-ZFP,4,8192,read_all_chunks,23.398645,4194304,independent,zfp_compress
HDF5,4,1,write_chunk,0.000563,4194304,independent,raw
HDF5,4,1,write_all_chunks,0.022055,4194304,independent,raw
HDF5,4,1,read_chunk,0.000315,4194304,independent,raw
HDF5,4,1,read_all_chunks,0.001282,4194304,independent,raw
HDF5,4,1,write_chunk,0.000900,4194304,collective,raw
HDF5,4,1,write_all_chunks,0.026433,4194304,collective,raw
HDF5,4,1,read_chunk,0.000454,4194304,collective,raw
HDF5,4,1,read_all_chunks,0.001857,4194304,collective,raw
HDF5,4,2,write_chunk,0.003259,4194304,independent,raw
HDF5,4,2,write_all_chunks,0.018961,4194304,independent,raw
HDF5,4,2,read_chunk,0.000661,4194304,independent,raw
HDF5,4,2,read_all_chunks,0.003796,4194304,independent,raw
HDF5,4,2,write_chunk,0.005383,4194304,collective,raw
HDF5,4,2,write_all_chunks,0.036365,4194304,collective,raw
HDF5,4,2,read_chunk,0.001918,4194304,collective,raw
HDF5,4,2,read_all_chunks,0.008853,4194304,collective,raw
HDF5,4,4,write_chunk,0.003054,4194304,independent,raw
HDF5,4,4,write_all_chunks,0.025233,4194304,independent,raw
HDF5,4,4,read_chunk,0.002006,4194304,independent,raw
HDF5,4,4,read_all_chunks,0.008763,4194304,independent,raw
HDF5,4,4,write_chunk,0.005460,4194304,collective,raw
HDF5,4,4,write_all_chunks,0.047750,4194304,collective,raw
HDF5,4,4,read_chunk,0.004527,4194304,collective,raw
HDF5,4,4,read_all_chunks,0.018885,4194304,collective,raw
HDF5,4,8,write_chunk,0.003876,4194304,independent,raw
HDF5,4,8,write_all_chunks,0.034477,4194304,independent,raw
HDF5,4,8,read_chunk,0.003084,4194304,independent,raw
HDF5,4,8,read_all_chunks,0.013960,4194304,independent,raw
HDF5,4,8,write_chunk,0.007558,4194304,collective,raw
HDF5,4,8,write_all_chunks,0.068697,4194304,collective,raw
HDF5,4,8,read_chunk,0.009775,4194304,collective,raw
HDF5,4,8,read_all_chunks,0.040763,4194304,collective,raw
HDF5,4,16,write_chunk,0.006610,4194304,independent,raw
HDF5,4,16,write_all_chunks,0.045979,4194304,independent,raw
HDF5,4,16,read_chunk,0.004960,4194304,independent,raw
HDF5,4,16,read_all_chunks,0.028206,4194304,independent,raw
HDF5,4,16,write_chunk,0.013792,4194304,collective,raw
HDF5,4,16,write_all_chunks,0.103894,4194304,collective,raw
HDF5,4,16,read_chunk,0.025978,4194304,collective,raw
HDF5,4,16,read_all_chunks,0.112323,4194304,collective,raw
HDF5,4,32,write_chunk,0.008919,4194304,independent,raw
HDF5,4,32,write_all_chunks,0.066738,4194304,independent,raw
HDF5,4,32,read_chunk,0.001771,4194304,independent,raw
HDF5,4,32,read_all_chunks,0.017381,4194304,independent,raw
HDF5,4,32,write_chunk,0.023172,4194304,collective,raw
HDF5,4,32,write_all_chunks,0.166098,4194304,collective,raw
HDF5,4,32,read_chunk,0.023980,4194304,collective,raw
HDF5,4,32,read_all_chunks,0.107220,4194304,collective,raw
HDF5,4,64,write_chunk,0.017836,4194304,independent,raw
HDF5,4,64,write_all_chunks,0.151461,4194304,independent,raw
HDF5,4,64,read_chunk,0.001916,4194304,independent,raw
HDF5,4,64,read_all_chunks,0.025394,4194304,independent,raw
HDF5,4,64,write_chunk,0.046054,4194304,collective,raw
HDF5,4,64,write_all_chunks,0.337025,4194304,collective,raw
HDF5,4,64,read_chunk,0.039463,4194304,collective,raw
HDF5,4,64,read_all_chunks,0.177871,4194304,collective,raw
HDF5,4,128,write_chunk,0.032867,4194304,independent,raw
HDF5,4,128,write_all_chunks,0.206777,4194304,independent,raw
HDF5,4,128,read_chunk,0.004361,4194304,independent,raw
HDF5,4,128,read_all_chunks,0.044343,4194304,independent,raw
HDF5,4,128,write_chunk,0.088864,4194304,collective,raw
HDF5,4,128,write_all_chunks,0.554102,4194304,collective,raw
HDF5,4,128,read_chunk,0.078338,4194304,collective,raw
HDF5,4,128,read_all_chunks,0.347853,4194304,collective,raw
HDF5,4,256,write_chunk,0.053478,4194304,independent,raw
HDF5,4,256,write_all_chunks,0.268695,4194304,independent,raw
HDF5,4,256,read_chunk,0.006213,4194304,independent,raw
HDF5,4,256,read_all_chunks,0.078204,4194304,independent,raw
HDF5,4,256,write_chunk,0.166119,4194304,collective,raw
HDF5,4,256,write_all_chunks,0.906805,4194304,collective,raw
HDF5,4,256,read_chunk,0.156661,4194304,collective,raw
HDF5,4,256,read_all_chunks,0.685453,4194304,collective,raw
HDF5,4,512,write_chunk,0.090166,4194304,independent,raw
HDF5,4,512,write_all_chunks,0.500446,4194304,independent,raw
HDF5,4,512,read_chunk,0.005930,4194304,independent,raw
HDF5,4,512,read_all_chunks,0.104656,4194304,independent,raw
HDF5,4,512,write_chunk,0.364777,4194304,collective,raw
HDF5,4,512,write_all_chunks,2.012466,4194304,collective,raw
HDF5,4,512,read_chunk,0.396897,4194304,collective,raw
HDF5,4,512,read_all_chunks,1.684009,4194304,collective,raw
HDF5,4,1024,write_chunk,0.191866,4194304,independent,raw
HDF5,4,1024,write_all_chunks,0.905764,4194304,independent,raw
HDF5,4,1024,read_chunk,0.014202,4194304,independent,raw
HDF5,4,1024,read_all_chunks,0.182627,4194304,independent,raw
HDF5,4,1024,write_chunk,0.758300,4194304,collective,raw
HDF5,4,1024,write_all_chunks,3.821251,4194304,collective,raw
HDF5,4,1024,read_chunk,0.798516,4194304,collective,raw
HDF5,4,1024,read_all_chunks,3.339124,4194304,collective,raw
HDF5,4,2048,write_chunk,0.375038,4194304,independent,raw
HDF5,4,2048,write_all_chunks,1.912243,4194304,independent,raw
HDF5,4,2048,read_chunk,0.036603,4194304,independent,raw
HDF5,4,2048,read_all_chunks,0.255358,4194304,independent,raw
HDF5,4,2048,write_chunk,1.632337,4194304,collective,raw
HDF5,4,2048,write_all_chunks,8.378296,4194304,collective,raw
HDF5,4,2048,read_chunk,1.617508,4194304,collective,raw
HDF5,4,2048,read_all_chunks,6.596022,4194304,collective,raw
HDF5,4,4096,write_chunk,0.845253,4194304,independent,raw
HDF5,4,4096,write_all_chunks,3.826167,4194304,independent,raw
HDF5,4,4096,read_chunk,0.053813,4194304,independent,raw
HDF5,4,4096,read_all_chunks,0.575904,4194304,independent,raw
HDF5,4,4096,write_chunk,3.716906,4194304,collective,raw
HDF5,4,4096,write_all_chunks,17.925835,4194304,collective,raw
HDF5,4,4096,read_chunk,3.407836,4194304,collective,raw
HDF5,4,4096,read_all_chunks,14.028345,4194304,collective,raw
HDF5,4,8192,write_chunk,1.841491,4194304,independent,raw
HDF5,4,8192,write_all_chunks,8.038099,4194304,independent,raw
HDF5,4,8192,read_chunk,0.251623,4194304,independent,raw
HDF5,4,8192,read_all_chunks,1.440680,4194304,independent,raw
HDF5,4,8192,write_chunk,8.761645,4194304,collective,raw
HDF5,4,8192,write_all_chunks,41.178828,4194304,collective,raw
HDF5,4,8192,read_chunk,7.726910,4194304,collective,raw
