[0]workload_name,[1]chunks_per_rank,[2]num_ranks,[3]timer_tag,[4]elapsed_seconds,[5]chunk_size_bytes,[6]io_participation,[7]filter
PDC,4,1,write_chunk,0.001419,4194304,independent,raw
PDC,4,1,write_all_chunks,0.102178,4194304,independent,raw
PDC,4,1,read_chunk,0.000600,4194304,independent,raw
PDC,4,1,read_all_chunks,0.099747,4194304,independent,raw
PDC,4,2,write_chunk,0.001453,4194304,independent,raw
PDC,4,2,write_all_chunks,0.020543,4194304,independent,raw
PDC,4,2,read_chunk,0.000590,4194304,independent,raw
PDC,4,2,read_all_chunks,0.101167,4194304,independent,raw
PDC,4,4,write_chunk,0.001404,4194304,independent,raw
PDC,4,4,write_all_chunks,0.105330,4194304,independent,raw
PDC,4,4,read_chunk,0.000897,4194304,independent,raw
PDC,4,4,read_all_chunks,0.099787,4194304,independent,raw
PDC,4,8,write_chunk,0.001507,4194304,independent,raw
PDC,4,8,write_all_chunks,0.105489,4194304,independent,raw
PDC,4,8,read_chunk,0.000614,4194304,independent,raw
PDC,4,8,read_all_chunks,0.107782,4194304,independent,raw
PDC,4,16,write_chunk,0.001506,4194304,independent,raw
PDC,4,16,write_all_chunks,0.109851,4194304,independent,raw
PDC,4,16,read_chunk,0.001779,4194304,independent,raw
PDC,4,16,read_all_chunks,0.119342,4194304,independent,raw
PDC,4,32,write_chunk,0.001390,4194304,independent,raw
PDC,4,32,write_all_chunks,0.218539,4194304,independent,raw
PDC,4,32,read_chunk,0.014847,4194304,independent,raw
PDC,4,32,read_all_chunks,0.157187,4194304,independent,raw
PDC,4,64,write_chunk,0.017747,4194304,independent,raw
PDC,4,64,write_all_chunks,0.383495,4194304,independent,raw
PDC,4,64,read_chunk,0.001500,4194304,independent,raw
PDC,4,64,read_all_chunks,0.125988,4194304,independent,raw
PDC,4,128,write_chunk,0.011516,4194304,independent,raw
PDC,4,128,write_all_chunks,0.441976,4194304,independent,raw
PDC,4,128,read_chunk,0.005940,4194304,independent,raw
PDC,4,128,read_all_chunks,0.137907,4194304,independent,raw
PDC,4,256,write_chunk,0.001770,4194304,independent,raw
PDC,4,256,write_all_chunks,0.509982,4194304,independent,raw
PDC,4,256,read_chunk,0.016412,4194304,independent,raw
PDC,4,256,read_all_chunks,0.192252,4194304,independent,raw
PDC,4,512,write_chunk,0.001834,4194304,independent,raw
PDC,4,512,write_all_chunks,0.581367,4194304,independent,raw
PDC,4,512,read_chunk,0.025976,4194304,independent,raw
PDC,4,512,read_all_chunks,0.288130,4194304,independent,raw
PDC,4,1024,write_chunk,0.001985,4194304,independent,raw
PDC,4,1024,write_all_chunks,0.992699,4194304,independent,raw
PDC,4,1024,read_chunk,0.100733,4194304,independent,raw
PDC,4,1024,read_all_chunks,0.604328,4194304,independent,raw
PDC,4,2048,write_chunk,0.002151,4194304,independent,raw
PDC,4,2048,write_all_chunks,2.055829,4194304,independent,raw
PDC,4,2048,read_chunk,0.411594,4194304,independent,raw
PDC,4,2048,read_all_chunks,1.800696,4194304,independent,raw
PDC,4,4096,write_chunk,0.002490,4194304,independent,raw
PDC,4,4096,write_all_chunks,5.026264,4194304,independent,raw
PDC,4,4096,read_chunk,1.353214,4194304,independent,raw
PDC,4,4096,read_all_chunks,5.663776,4194304,independent,raw
PDC,4,8192,write_chunk,0.004542,4194304,independent,raw
PDC,4,8192,write_all_chunks,19.716717,4194304,independent,raw
PDC,4,8192,read_chunk,6.269343,4194304,independent,raw
PDC,4,8192,read_all_chunks,25.451952,4194304,independent,raw
PDC-ZFP,4,1,write_chunk,0.001256,4194304,independent,zfp_compress
PDC-ZFP,4,1,write_all_chunks,0.104373,4194304,independent,zfp_compress
PDC-ZFP,4,1,read_chunk,0.000600,4194304,independent,zfp_compress
PDC-ZFP,4,1,read_all_chunks,0.018216,4194304,independent,zfp_compress
PDC-ZFP,4,2,write_chunk,0.001304,4194304,independent,zfp_compress
PDC-ZFP,4,2,write_all_chunks,0.102694,4194304,independent,zfp_compress
PDC-ZFP,4,2,read_chunk,0.000604,4194304,independent,zfp_compress
PDC-ZFP,4,2,read_all_chunks,0.099761,4194304,independent,zfp_compress
PDC-ZFP,4,4,write_chunk,0.001285,4194304,independent,zfp_compress
PDC-ZFP,4,4,write_all_chunks,0.104814,4194304,independent,zfp_compress
PDC-ZFP,4,4,read_chunk,0.000593,4194304,independent,zfp_compress
PDC-ZFP,4,4,read_all_chunks,0.102705,4194304,independent,zfp_compress
PDC-ZFP,4,8,write_chunk,0.001294,4194304,independent,zfp_compress
PDC-ZFP,4,8,write_all_chunks,0.204160,4194304,independent,zfp_compress
PDC-ZFP,4,8,read_chunk,0.000655,4194304,independent,zfp_compress
PDC-ZFP,4,8,read_all_chunks,0.202781,4194304,independent,zfp_compress
PDC-ZFP,4,16,write_chunk,0.001384,4194304,independent,zfp_compress
PDC-ZFP,4,16,write_all_chunks,0.307073,4194304,independent,zfp_compress
PDC-ZFP,4,16,read_chunk,0.000761,4194304,independent,zfp_compress
PDC-ZFP,4,16,read_all_chunks,0.304244,4194304,independent,zfp_compress
PDC-ZFP,4,32,write_chunk,0.009928,4194304,independent,zfp_compress
PDC-ZFP,4,32,write_all_chunks,0.543083,4194304,independent,zfp_compress
PDC-ZFP,4,32,read_chunk,0.001219,4194304,independent,zfp_compress
PDC-ZFP,4,32,read_all_chunks,0.542360,4194304,independent,zfp_compress
PDC-ZFP,4,64,write_chunk,0.001567,4194304,independent,zfp_compress
PDC-ZFP,4,64,write_all_chunks,0.844227,4194304,independent,zfp_compress
PDC-ZFP,4,64,read_chunk,0.023573,4194304,independent,zfp_compress
PDC-ZFP,4,64,read_all_chunks,0.528458,4194304,independent,zfp_compress
PDC-ZFP,4,128,write_chunk,0.001698,4194304,independent,zfp_compress
PDC-ZFP,4,128,write_all_chunks,0.880751,4194304,independent,zfp_compress
PDC-ZFP,4,128,read_chunk,0.036714,4194304,independent,zfp_compress
PDC-ZFP,4,128,read_all_chunks,0.539422,4194304,independent,zfp_compress
PDC-ZFP,4,256,write_chunk,0.001736,4194304,independent,zfp_compress
PDC-ZFP,4,256,write_all_chunks,0.993983,4194304,independent,zfp_compress
PDC-ZFP,4,256,read_chunk,0.031681,4194304,independent,zfp_compress
PDC-ZFP,4,256,read_all_chunks,0.573214,4194304,independent,zfp_compress
PDC-ZFP,4,512,write_chunk,0.001935,4194304,independent,zfp_compress
PDC-ZFP,4,512,write_all_chunks,1.250649,4194304,independent,zfp_compress
PDC-ZFP,4,512,read_chunk,0.046178,4194304,independent,zfp_compress
PDC-ZFP,4,512,read_all_chunks,0.664790,4194304,independent,zfp_compress
PDC-ZFP,4,1024,write_chunk,0.001906,4194304,independent,zfp_compress
PDC-ZFP,4,1024,write_all_chunks,1.560455,4194304,independent,zfp_compress
PDC-ZFP,4,1024,read_chunk,0.131567,4194304,independent,zfp_compress
PDC-ZFP,4,1024,read_all_chunks,0.974425,4194304,independent,zfp_compress
PDC-ZFP,4,2048,write_chunk,0.002161,4194304,independent,zfp_compress
PDC-ZFP,4,2048,write_all_chunks,2.656498,4194304,independent,zfp_compress
PDC-ZFP,4,2048,read_chunk,0.427994,4194304,independent,zfp_compress
PDC-ZFP,4,2048,read_all_chunks,2.078287,4194304,independent,zfp_compress
PDC-ZFP,4,4096,write_chunk,0.002497,4194304,independent,zfp_compress
PDC-ZFP,4,4096,write_all_chunks,5.900782,4194304,independent,zfp_compress
PDC-ZFP,4,4096,read_chunk,1.412168,4194304,independent,zfp_compress
PDC-ZFP,4,4096,read_all_chunks,6.073767,4194304,independent,zfp_compress
PDC-ZFP,4,8192,write_chunk,0.003068,4194304,independent,zfp_compress
PDC-ZFP,4,8192,write_all_chunks,18.601357,4194304,independent,zfp_compress
PDC-ZFP,4,8192,read_chunk,5.594108,4194304,independent,zfp_compress
PDC-ZFP,4,8192,read_all_chunks,23.216666,4194304,independent,zfp_compress
HDF5,4,1,write_chunk,0.000566,4194304,independent,raw
HDF5,4,1,write_all_chunks,0.033802,4194304,independent,raw
HDF5,4,1,read_chunk,0.000333,4194304,independent,raw
HDF5,4,1,read_all_chunks,0.001353,4194304,independent,raw
HDF5,4,1,write_chunk,0.000907,4194304,collective,raw
HDF5,4,1,write_all_chunks,0.038066,4194304,collective,raw
HDF5,4,1,read_chunk,0.000472,4194304,collective,raw
HDF5,4,1,read_all_chunks,0.001933,4194304,collective,raw
HDF5,4,2,write_chunk,0.003769,4194304,independent,raw
HDF5,4,2,write_all_chunks,0.020333,4194304,independent,raw
HDF5,4,2,read_chunk,0.000743,4194304,independent,raw
HDF5,4,2,read_all_chunks,0.004052,4194304,independent,raw
HDF5,4,2,write_chunk,0.005459,4194304,collective,raw
HDF5,4,2,write_all_chunks,0.035799,4194304,collective,raw
HDF5,4,2,read_chunk,0.002713,4194304,collective,raw
HDF5,4,2,read_all_chunks,0.012984,4194304,collective,raw
HDF5,4,4,write_chunk,0.003217,4194304,independent,raw
HDF5,4,4,write_all_chunks,0.021432,4194304,independent,raw
HDF5,4,4,read_chunk,0.002433,4194304,independent,raw
HDF5,4,4,read_all_chunks,0.010397,4194304,independent,raw
HDF5,4,4,write_chunk,0.005372,4194304,collective,raw
HDF5,4,4,write_all_chunks,0.041396,4194304,collective,raw
HDF5,4,4,read_chunk,0.004787,4194304,collective,raw
HDF5,4,4,read_all_chunks,0.019850,4194304,collective,raw
HDF5,4,8,write_chunk,0.005661,4194304,independent,raw
HDF5,4,8,write_all_chunks,0.036996,4194304,independent,raw
