[0]workload_name,[1]chunks_per_rank,[2]num_ranks,[3]timer_tag,[4]elapsed_seconds,[5]chunk_size_bytes,[6]io_participation,[7]filter
PDC,4,1,write_chunk,0.000917,1048576,independent,raw
PDC,4,1,write_all_chunks,0.100957,1048576,independent,raw
PDC,4,1,read_chunk,0.000586,1048576,independent,raw
PDC,4,1,read_all_chunks,0.099923,1048576,independent,raw
PDC,4,2,write_chunk,0.000899,1048576,independent,raw
PDC,4,2,write_all_chunks,0.101300,1048576,independent,raw
PDC,4,2,read_chunk,0.000600,1048576,independent,raw
PDC,4,2,read_all_chunks,0.099150,1048576,independent,raw
PDC,4,4,write_chunk,0.000886,1048576,independent,raw
PDC,4,4,write_all_chunks,0.103637,1048576,independent,raw
PDC,4,4,read_chunk,0.000619,1048576,independent,raw
PDC,4,4,read_all_chunks,0.100364,1048576,independent,raw
PDC,4,8,write_chunk,0.000891,1048576,independent,raw
PDC,4,8,write_all_chunks,0.102254,1048576,independent,raw
PDC,4,8,read_chunk,0.001515,1048576,independent,raw
PDC,4,8,read_all_chunks,0.104966,1048576,independent,raw
PDC,4,16,write_chunk,0.001029,1048576,independent,raw
PDC,4,16,write_all_chunks,0.110060,1048576,independent,raw
PDC,4,16,read_chunk,0.000718,1048576,independent,raw
PDC,4,16,read_all_chunks,0.102766,1048576,independent,raw
PDC,4,32,write_chunk,0.004319,1048576,independent,raw
PDC,4,32,write_all_chunks,0.131376,1048576,independent,raw
PDC,4,32,read_chunk,0.004781,1048576,independent,raw
PDC,4,32,read_all_chunks,0.118768,1048576,independent,raw
PDC,4,64,write_chunk,0.001187,1048576,independent,raw
PDC,4,64,write_all_chunks,0.196874,1048576,independent,raw
PDC,4,64,read_chunk,0.002667,1048576,independent,raw
PDC,4,64,read_all_chunks,0.118022,1048576,independent,raw
PDC,4,128,write_chunk,0.003119,1048576,independent,raw
PDC,4,128,write_all_chunks,0.212052,1048576,independent,raw
PDC,4,128,read_chunk,0.005374,1048576,independent,raw
PDC,4,128,read_all_chunks,0.125397,1048576,independent,raw
PDC,4,256,write_chunk,0.001199,1048576,independent,raw
PDC,4,256,write_all_chunks,0.312318,1048576,independent,raw
PDC,4,256,read_chunk,0.009134,1048576,independent,raw
PDC,4,256,read_all_chunks,0.141784,1048576,independent,raw
PDC,4,512,write_chunk,0.001193,1048576,independent,raw
PDC,4,512,write_all_chunks,0.400769,1048576,independent,raw
PDC,4,512,read_chunk,0.025361,1048576,independent,raw
PDC,4,512,read_all_chunks,0.210158,1048576,independent,raw
PDC,4,1024,write_chunk,0.001319,1048576,independent,raw
PDC,4,1024,write_all_chunks,0.676826,1048576,independent,raw
PDC,4,1024,read_chunk,0.099171,1048576,independent,raw
PDC,4,1024,read_all_chunks,0.505226,1048576,independent,raw
PDC,4,2048,write_chunk,0.001643,1048576,independent,raw
PDC,4,2048,write_all_chunks,1.634314,1048576,independent,raw
PDC,4,2048,read_chunk,0.364562,1048576,independent,raw
PDC,4,2048,read_all_chunks,1.614828,1048576,independent,raw
PDC,4,4096,write_chunk,0.001986,1048576,independent,raw
PDC,4,4096,write_all_chunks,5.003738,1048576,independent,raw
PDC,4,4096,read_chunk,1.370534,1048576,independent,raw
PDC,4,4096,read_all_chunks,5.629394,1048576,independent,raw
PDC,4,8192,write_chunk,0.002411,1048576,independent,raw
PDC,4,8192,write_all_chunks,18.181629,1048576,independent,raw
PDC,4,8192,read_chunk,5.698933,1048576,independent,raw
PDC,4,8192,read_all_chunks,22.994512,1048576,independent,raw
