[0]workload_name,[1]chunks_per_rank,[2]num_ranks,[3]timer_tag,[4]elapsed_seconds,[5]chunk_size_bytes,[6]io_participation,[7]filter
PDC,4,1,write_chunk,0.001392,4194304,independent,raw
PDC,4,1,write_all_chunks,0.103851,4194304,independent,raw
PDC,4,1,read_chunk,0.000593,4194304,independent,raw
PDC,4,1,read_all_chunks,0.099781,4194304,independent,raw
PDC,4,2,write_chunk,0.001378,4194304,independent,raw
PDC,4,2,write_all_chunks,0.102028,4194304,independent,raw
PDC,4,2,read_chunk,0.000603,4194304,independent,raw
PDC,4,2,read_all_chunks,0.099778,4194304,independent,raw
PDC,4,4,write_chunk,0.001344,4194304,independent,raw
PDC,4,4,write_all_chunks,0.104934,4194304,independent,raw
PDC,4,4,read_chunk,0.000601,4194304,independent,raw
PDC,4,4,read_all_chunks,0.012315,4194304,independent,raw
PDC,4,8,write_chunk,0.001255,4194304,independent,raw
PDC,4,8,write_all_chunks,0.104112,4194304,independent,raw
PDC,4,8,read_chunk,0.000984,4194304,independent,raw
PDC,4,8,read_all_chunks,0.103763,4194304,independent,raw
PDC,4,16,write_chunk,0.001810,4194304,independent,raw
PDC,4,16,write_all_chunks,0.105246,4194304,independent,raw
PDC,4,16,read_chunk,0.004399,4194304,independent,raw
PDC,4,16,read_all_chunks,0.114519,4194304,independent,raw
PDC,4,32,write_chunk,0.003092,4194304,independent,raw
PDC,4,32,write_all_chunks,0.113297,4194304,independent,raw
PDC,4,32,read_chunk,0.002251,4194304,independent,raw
PDC,4,32,read_all_chunks,0.125180,4194304,independent,raw
PDC,4,64,write_chunk,0.001762,4194304,independent,raw
PDC,4,64,write_all_chunks,0.249868,4194304,independent,raw
PDC,4,64,read_chunk,0.005689,4194304,independent,raw
PDC,4,64,read_all_chunks,0.205558,4194304,independent,raw
PDC,4,128,write_chunk,0.001933,4194304,independent,raw
PDC,4,128,write_all_chunks,0.283519,4194304,independent,raw
PDC,4,128,read_chunk,0.008747,4194304,independent,raw
PDC,4,128,read_all_chunks,0.207083,4194304,independent,raw
PDC,4,256,write_chunk,0.001967,4194304,independent,raw
PDC,4,256,write_all_chunks,0.362103,4194304,independent,raw
PDC,4,256,read_chunk,0.007561,4194304,independent,raw
PDC,4,256,read_all_chunks,0.190188,4194304,independent,raw
PDC-ZFP,4,1,write_chunk,0.001253,4194304,independent,zfp_compress
PDC-ZFP,4,1,write_all_chunks,0.103334,4194304,independent,zfp_compress
PDC-ZFP,4,1,read_chunk,0.000590,4194304,independent,zfp_compress
PDC-ZFP,4,1,read_all_chunks,0.006714,4194304,independent,zfp_compress
PDC-ZFP,4,2,write_chunk,0.001243,4194304,independent,zfp_compress
PDC-ZFP,4,2,write_all_chunks,0.103743,4194304,independent,zfp_compress
PDC-ZFP,4,2,read_chunk,0.000592,4194304,independent,zfp_compress
PDC-ZFP,4,2,read_all_chunks,0.007676,4194304,independent,zfp_compress
PDC-ZFP,4,4,write_chunk,0.001264,4194304,independent,zfp_compress
PDC-ZFP,4,4,write_all_chunks,0.103241,4194304,independent,zfp_compress
PDC-ZFP,4,4,read_chunk,0.000603,4194304,independent,zfp_compress
PDC-ZFP,4,4,read_all_chunks,0.099779,4194304,independent,zfp_compress
PDC-ZFP,4,8,write_chunk,0.001315,4194304,independent,zfp_compress
PDC-ZFP,4,8,write_all_chunks,0.106946,4194304,independent,zfp_compress
PDC-ZFP,4,8,read_chunk,0.000631,4194304,independent,zfp_compress
PDC-ZFP,4,8,read_all_chunks,0.110341,4194304,independent,zfp_compress
PDC-ZFP,4,16,write_chunk,0.001576,4194304,independent,zfp_compress
PDC-ZFP,4,16,write_all_chunks,0.107302,4194304,independent,zfp_compress
PDC-ZFP,4,16,read_chunk,0.003723,4194304,independent,zfp_compress
PDC-ZFP,4,16,read_all_chunks,0.105410,4194304,independent,zfp_compress
PDC-ZFP,4,32,write_chunk,0.003699,4194304,independent,zfp_compress
PDC-ZFP,4,32,write_all_chunks,0.114108,4194304,independent,zfp_compress
PDC-ZFP,4,32,read_chunk,0.000902,4194304,independent,zfp_compress
PDC-ZFP,4,32,read_all_chunks,0.130545,4194304,independent,zfp_compress
PDC-ZFP,4,64,write_chunk,0.001870,4194304,independent,zfp_compress
PDC-ZFP,4,64,write_all_chunks,0.252999,4194304,independent,zfp_compress
PDC-ZFP,4,64,read_chunk,0.001912,4194304,independent,zfp_compress
PDC-ZFP,4,64,read_all_chunks,0.187721,4194304,independent,zfp_compress
PDC-ZFP,4,128,write_chunk,0.001906,4194304,independent,zfp_compress
PDC-ZFP,4,128,write_all_chunks,0.308598,4194304,independent,zfp_compress
PDC-ZFP,4,128,read_chunk,0.007717,4194304,independent,zfp_compress
PDC-ZFP,4,128,read_all_chunks,0.203749,4194304,independent,zfp_compress
PDC-ZFP,4,256,write_chunk,0.001619,4194304,independent,zfp_compress
PDC-ZFP,4,256,write_all_chunks,0.377364,4194304,independent,zfp_compress
PDC-ZFP,4,256,read_chunk,0.007339,4194304,independent,zfp_compress
PDC-ZFP,4,256,read_all_chunks,0.192047,4194304,independent,zfp_compress
HDF5,4,1,write_chunk,0.000569,4194304,independent,raw
HDF5,4,1,write_all_chunks,0.008115,4194304,independent,raw
HDF5,4,1,read_chunk,0.000296,4194304,independent,raw
HDF5,4,1,read_all_chunks,0.001205,4194304,independent,raw
HDF5,4,1,write_chunk,0.000909,4194304,collective,raw
HDF5,4,1,write_all_chunks,0.012118,4194304,collective,raw
HDF5,4,1,read_chunk,0.000449,4194304,collective,raw
HDF5,4,1,read_all_chunks,0.001840,4194304,collective,raw
