scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000431,hdf5
rank,1,1,write_all_chunks,0.001839,hdf5
rank,1,1,read_chunk,0.000136,hdf5
rank,1,1,read_all_chunks,0.000138,hdf5
rank,1,2,write_chunk,0.000636,hdf5
rank,1,2,write_all_chunks,0.003127,hdf5
rank,1,2,read_chunk,0.002155,hdf5
rank,1,2,read_all_chunks,0.002158,hdf5
rank,1,4,write_chunk,0.001071,hdf5
rank,1,4,write_all_chunks,0.006007,hdf5
rank,1,4,read_chunk,0.000726,hdf5
rank,1,4,read_all_chunks,0.000729,hdf5
rank,1,8,write_chunk,0.001123,hdf5
rank,1,8,write_all_chunks,0.011041,hdf5
rank,1,8,read_chunk,0.000796,hdf5
rank,1,8,read_all_chunks,0.000799,hdf5
rank,1,16,write_chunk,0.002352,hdf5
rank,1,16,write_all_chunks,0.010033,hdf5
rank,1,16,read_chunk,0.001319,hdf5
rank,1,16,read_all_chunks,0.001322,hdf5
rank,1,32,write_chunk,0.003559,hdf5
rank,1,32,write_all_chunks,0.009797,hdf5
rank,1,32,read_chunk,0.002689,hdf5
rank,1,32,read_all_chunks,0.002693,hdf5
rank,1,64,write_chunk,0.007488,hdf5
rank,1,64,write_all_chunks,0.012723,hdf5
rank,1,64,read_chunk,0.010790,hdf5
rank,1,64,read_all_chunks,0.010793,hdf5
rank,1,128,write_chunk,0.011188,hdf5
rank,1,128,write_all_chunks,0.017548,hdf5
rank,1,128,read_chunk,0.018784,hdf5
rank,1,128,read_all_chunks,0.018788,hdf5
rank,1,256,write_chunk,0.023963,hdf5
rank,1,256,write_all_chunks,0.032486,hdf5
rank,1,256,read_chunk,0.031450,hdf5
rank,1,256,read_all_chunks,0.031454,hdf5
chunk,1,256,write_chunk,0.022355,hdf5
chunk,1,256,write_all_chunks,0.030857,hdf5
chunk,1,256,read_chunk,0.030720,hdf5
chunk,1,256,read_all_chunks,0.030724,hdf5
chunk,2,256,write_chunk,0.038192,hdf5
chunk,2,256,write_all_chunks,0.085656,hdf5
chunk,2,256,read_chunk,0.027553,hdf5
chunk,2,256,read_all_chunks,0.055113,hdf5
chunk,4,256,write_chunk,0.052466,hdf5
chunk,4,256,write_all_chunks,0.221400,hdf5
chunk,4,256,read_chunk,0.056113,hdf5
chunk,4,256,read_all_chunks,0.224466,hdf5
rank,1,1,write_chunk,0.113759,pdc
rank,1,1,write_all_chunks,0.113769,pdc
rank,1,1,read_chunk,0.018304,pdc
rank,1,1,read_all_chunks,0.018307,pdc
rank,1,2,write_chunk,0.103150,pdc
rank,1,2,write_all_chunks,0.103157,pdc
rank,1,2,read_chunk,0.018304,pdc
rank,1,2,read_all_chunks,0.018307,pdc
rank,1,4,write_chunk,0.097454,pdc
rank,1,4,write_all_chunks,0.097462,pdc
rank,1,4,read_chunk,0.019037,pdc
rank,1,4,read_all_chunks,0.019040,pdc
rank,1,8,write_chunk,0.084585,pdc
rank,1,8,write_all_chunks,0.084593,pdc
rank,1,8,read_chunk,0.018792,pdc
rank,1,8,read_all_chunks,0.018796,pdc
rank,1,16,write_chunk,0.213055,pdc
rank,1,16,write_all_chunks,0.213063,pdc
rank,1,16,read_chunk,0.032402,pdc
rank,1,16,read_all_chunks,0.032406,pdc
rank,1,32,write_chunk,0.189533,pdc
rank,1,32,write_all_chunks,0.189542,pdc
rank,1,32,read_chunk,0.031817,pdc
rank,1,32,read_all_chunks,0.031821,pdc
rank,1,64,write_chunk,0.311471,pdc
rank,1,64,write_all_chunks,0.311481,pdc
rank,1,64,read_chunk,0.031386,pdc
rank,1,64,read_all_chunks,0.031392,pdc
rank,1,128,write_chunk,0.284415,pdc
rank,1,128,write_all_chunks,0.284423,pdc
rank,1,128,read_chunk,0.031293,pdc
rank,1,128,read_all_chunks,0.031301,pdc
rank,1,256,write_chunk,0.348458,pdc
rank,1,256,write_all_chunks,0.348477,pdc
rank,1,256,read_chunk,0.135064,pdc
rank,1,256,read_all_chunks,0.135073,pdc
chunk,1,256,write_chunk,0.456052,pdc
chunk,1,256,write_all_chunks,0.456070,pdc
chunk,1,256,read_chunk,0.034025,pdc
chunk,1,256,read_all_chunks,0.034029,pdc
chunk,2,256,write_chunk,0.324048,pdc
chunk,2,256,write_all_chunks,0.648112,pdc
chunk,2,256,read_chunk,0.033064,pdc
chunk,2,256,read_all_chunks,0.066135,pdc
chunk,4,256,write_chunk,0.222647,pdc
chunk,4,256,write_all_chunks,0.890606,pdc
chunk,4,256,read_chunk,0.032825,pdc
chunk,4,256,read_all_chunks,0.131323,pdc
