scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000190,hdf5
rank,1,1,write_all_chunks,0.001721,hdf5
rank,1,1,read_chunk,0.000072,hdf5
rank,1,1,read_all_chunks,0.000074,hdf5
rank,1,2,write_chunk,0.000177,hdf5
rank,1,2,write_all_chunks,0.007191,hdf5
rank,1,2,read_chunk,0.001091,hdf5
rank,1,2,read_all_chunks,0.001094,hdf5
rank,1,4,write_chunk,0.000181,hdf5
rank,1,4,write_all_chunks,0.020139,hdf5
rank,1,4,read_chunk,0.000120,hdf5
rank,1,4,read_all_chunks,0.000123,hdf5
rank,1,8,write_chunk,0.000200,hdf5
rank,1,8,write_all_chunks,0.021333,hdf5
rank,1,8,read_chunk,0.000139,hdf5
rank,1,8,read_all_chunks,0.000141,hdf5
rank,1,16,write_chunk,0.000234,hdf5
rank,1,16,write_all_chunks,0.019426,hdf5
rank,1,16,read_chunk,0.000106,hdf5
rank,1,16,read_all_chunks,0.000110,hdf5
rank,1,32,write_chunk,0.000355,hdf5
rank,1,32,write_all_chunks,0.018388,hdf5
rank,1,32,read_chunk,0.000114,hdf5
rank,1,32,read_all_chunks,0.000117,hdf5
rank,1,64,write_chunk,0.015919,hdf5
rank,1,64,write_all_chunks,0.022528,hdf5
rank,1,64,read_chunk,0.000099,hdf5
rank,1,64,read_all_chunks,0.000103,hdf5
rank,1,128,write_chunk,0.017377,hdf5
rank,1,128,write_all_chunks,0.034689,hdf5
rank,1,128,read_chunk,0.000292,hdf5
rank,1,128,read_all_chunks,0.000296,hdf5
rank,1,256,write_chunk,0.023883,hdf5
rank,1,256,write_all_chunks,0.045341,hdf5
rank,1,256,read_chunk,0.000477,hdf5
rank,1,256,read_all_chunks,0.000483,hdf5
chunk,1,256,write_chunk,0.021786,hdf5
chunk,1,256,write_all_chunks,0.045661,hdf5
chunk,1,256,read_chunk,0.000277,hdf5
chunk,1,256,read_all_chunks,0.000283,hdf5
chunk,2,256,write_chunk,0.015797,hdf5
chunk,2,256,write_all_chunks,0.056402,hdf5
chunk,2,256,read_chunk,0.003430,hdf5
chunk,2,256,read_all_chunks,0.006867,hdf5
chunk,4,256,write_chunk,0.011578,hdf5
chunk,4,256,write_all_chunks,0.080176,hdf5
chunk,4,256,read_chunk,0.001552,hdf5
chunk,4,256,read_all_chunks,0.006338,hdf5
rank,1,1,write_chunk,0.112378,pdc
rank,1,1,write_all_chunks,0.112387,pdc
rank,1,1,read_chunk,0.018712,pdc
rank,1,1,read_all_chunks,0.018715,pdc
rank,1,2,write_chunk,0.113644,pdc
rank,1,2,write_all_chunks,0.113651,pdc
rank,1,2,read_chunk,0.018789,pdc
rank,1,2,read_all_chunks,0.018792,pdc
rank,1,4,write_chunk,0.194913,pdc
rank,1,4,write_all_chunks,0.194921,pdc
rank,1,4,read_chunk,0.018722,pdc
rank,1,4,read_all_chunks,0.018725,pdc
rank,1,8,write_chunk,0.083160,pdc
rank,1,8,write_all_chunks,0.083167,pdc
rank,1,8,read_chunk,0.018287,pdc
rank,1,8,read_all_chunks,0.018290,pdc
rank,1,16,write_chunk,0.181038,pdc
rank,1,16,write_all_chunks,0.181046,pdc
rank,1,16,read_chunk,0.030323,pdc
rank,1,16,read_all_chunks,0.030326,pdc
rank,1,32,write_chunk,0.186188,pdc
rank,1,32,write_all_chunks,0.186196,pdc
rank,1,32,read_chunk,0.032332,pdc
rank,1,32,read_all_chunks,0.032335,pdc
rank,1,64,write_chunk,0.307556,pdc
rank,1,64,write_all_chunks,0.307564,pdc
rank,1,64,read_chunk,0.032040,pdc
rank,1,64,read_all_chunks,0.032046,pdc
rank,1,128,write_chunk,0.260400,pdc
rank,1,128,write_all_chunks,0.260408,pdc
rank,1,128,read_chunk,0.119361,pdc
rank,1,128,read_all_chunks,0.119365,pdc
rank,1,256,write_chunk,0.502018,pdc
rank,1,256,write_all_chunks,0.502034,pdc
rank,1,256,read_chunk,0.041566,pdc
rank,1,256,read_all_chunks,0.041586,pdc
chunk,1,256,write_chunk,0.421965,pdc
chunk,1,256,write_all_chunks,0.421984,pdc
chunk,1,256,read_chunk,0.033674,pdc
chunk,1,256,read_all_chunks,0.033680,pdc
chunk,2,256,write_chunk,0.322349,pdc
chunk,2,256,write_all_chunks,0.644712,pdc
chunk,2,256,read_chunk,0.033390,pdc
chunk,2,256,read_all_chunks,0.066788,pdc
chunk,4,256,write_chunk,0.214862,pdc
chunk,4,256,write_all_chunks,0.859468,pdc
chunk,4,256,read_chunk,0.054772,pdc
chunk,4,256,read_all_chunks,0.219111,pdc
