scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,64,1,write_chunk,0.002292,pdc
rank,64,1,write_all_chunks,0.146755,pdc
rank,64,1,read_chunk,0.000709,pdc
rank,64,1,read_all_chunks,0.045475,pdc
rank,64,2,write_chunk,0.002314,pdc
rank,64,2,write_all_chunks,0.148177,pdc
rank,64,2,read_chunk,0.000699,pdc
rank,64,2,read_all_chunks,0.044803,pdc
rank,64,4,write_chunk,0.002222,pdc
rank,64,4,write_all_chunks,0.142299,pdc
rank,64,4,read_chunk,0.000686,pdc
rank,64,4,read_all_chunks,0.043955,pdc
rank,64,8,write_chunk,0.002057,pdc
rank,64,8,write_all_chunks,0.131753,pdc
rank,64,8,read_chunk,0.000743,pdc
rank,64,8,read_all_chunks,0.047622,pdc
rank,64,16,write_chunk,0.002407,pdc
rank,64,16,write_all_chunks,0.154203,pdc
rank,64,16,read_chunk,0.001126,pdc
rank,64,16,read_all_chunks,0.072202,pdc
rank,64,32,write_chunk,0.002495,pdc
rank,64,32,write_all_chunks,0.159778,pdc
rank,64,32,read_chunk,0.002512,pdc
rank,64,32,read_all_chunks,0.160911,pdc
rank,64,64,write_chunk,0.008418,pdc
rank,64,64,write_all_chunks,0.538932,pdc
rank,64,64,read_chunk,0.005676,pdc
rank,64,64,read_all_chunks,0.363384,pdc
rank,64,128,write_chunk,0.016677,pdc
rank,64,128,write_all_chunks,1.067477,pdc
rank,64,128,read_chunk,0.016914,pdc
rank,64,128,read_all_chunks,1.082622,pdc
rank,64,256,write_chunk,0.069952,pdc
rank,64,256,write_all_chunks,4.477198,pdc
rank,64,256,read_chunk,0.053851,pdc
rank,64,256,read_all_chunks,3.446619,pdc
chunk,1,256,write_chunk,0.352847,pdc
chunk,1,256,write_all_chunks,0.353017,pdc
chunk,1,256,read_chunk,0.018002,pdc
chunk,1,256,read_all_chunks,0.018007,pdc
chunk,2,256,write_chunk,0.170789,pdc
chunk,2,256,write_all_chunks,0.341694,pdc
chunk,2,256,read_chunk,0.017317,pdc
chunk,2,256,read_all_chunks,0.034651,pdc
chunk,4,256,write_chunk,0.241398,pdc
chunk,4,256,write_all_chunks,0.965730,pdc
chunk,4,256,read_chunk,0.017813,pdc
chunk,4,256,read_all_chunks,0.071265,pdc
rank,64,1,write_chunk,0.000182,hdf5
rank,64,1,write_all_chunks,0.016944,hdf5
rank,64,1,read_chunk,0.000047,hdf5
rank,64,1,read_all_chunks,0.003055,hdf5
rank,64,2,write_chunk,0.000210,hdf5
rank,64,2,write_all_chunks,0.028796,hdf5
rank,64,2,read_chunk,0.000799,hdf5
rank,64,2,read_all_chunks,0.051169,hdf5
rank,64,4,write_chunk,0.000457,hdf5
rank,64,4,write_all_chunks,0.052043,hdf5
rank,64,4,read_chunk,0.002455,hdf5
rank,64,4,read_all_chunks,0.157201,hdf5
rank,64,8,write_chunk,0.000846,hdf5
rank,64,8,write_all_chunks,0.088931,hdf5
rank,64,8,read_chunk,0.008044,hdf5
rank,64,8,read_all_chunks,0.514868,hdf5
rank,64,16,write_chunk,0.001691,hdf5
rank,64,16,write_all_chunks,0.158288,hdf5
rank,64,16,read_chunk,0.004654,hdf5
rank,64,16,read_all_chunks,0.297976,hdf5
rank,64,32,write_chunk,0.003071,hdf5
rank,64,32,write_all_chunks,0.301764,hdf5
rank,64,32,read_chunk,0.007907,hdf5
rank,64,32,read_all_chunks,0.506165,hdf5
rank,64,64,write_chunk,0.005969,hdf5
rank,64,64,write_all_chunks,0.555375,hdf5
rank,64,64,read_chunk,0.014941,hdf5
rank,64,64,read_all_chunks,0.956336,hdf5
rank,64,128,write_chunk,0.012306,hdf5
rank,64,128,write_all_chunks,1.117650,hdf5
rank,64,128,read_chunk,0.031410,hdf5
rank,64,128,read_all_chunks,2.010333,hdf5
rank,64,256,write_chunk,0.027264,hdf5
rank,64,256,write_all_chunks,2.369480,hdf5
rank,64,256,read_chunk,0.074931,hdf5
rank,64,256,read_all_chunks,4.795714,hdf5
chunk,1,256,write_chunk,0.022689,hdf5
chunk,1,256,write_all_chunks,0.032035,hdf5
chunk,1,256,read_chunk,0.030128,hdf5
chunk,1,256,read_all_chunks,0.030133,hdf5
chunk,2,256,write_chunk,0.039693,hdf5
chunk,2,256,write_all_chunks,0.089313,hdf5
chunk,2,256,read_chunk,0.028423,hdf5
chunk,2,256,read_all_chunks,0.056854,hdf5
chunk,4,256,write_chunk,0.054049,hdf5
chunk,4,256,write_all_chunks,0.227887,hdf5
chunk,4,256,read_chunk,0.060469,hdf5
chunk,4,256,read_all_chunks,0.241890,hdf5
