scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,64,1,write_chunk,0.070700,pdc
rank,64,1,write_all_chunks,4.524967,pdc
rank,64,1,read_chunk,0.067683,pdc
rank,64,1,read_all_chunks,4.331869,pdc
rank,64,2,write_chunk,0.072086,pdc
rank,64,2,write_all_chunks,4.613677,pdc
rank,64,2,read_chunk,0.072222,pdc
rank,64,2,read_all_chunks,4.622354,pdc
rank,64,4,write_chunk,0.075082,pdc
rank,64,4,write_all_chunks,4.805372,pdc
rank,64,4,read_chunk,0.066139,pdc
rank,64,4,read_all_chunks,4.233022,pdc
rank,64,8,write_chunk,0.065558,pdc
rank,64,8,write_all_chunks,4.195827,pdc
rank,64,8,read_chunk,0.064516,pdc
rank,64,8,read_all_chunks,4.129125,pdc
rank,64,16,write_chunk,0.033984,pdc
rank,64,16,write_all_chunks,2.175149,pdc
rank,64,16,read_chunk,0.033592,pdc
rank,64,16,read_all_chunks,2.150007,pdc
rank,64,32,write_chunk,0.035611,pdc
rank,64,32,write_all_chunks,2.279280,pdc
rank,64,32,read_chunk,0.036136,pdc
rank,64,32,read_all_chunks,2.312847,pdc
rank,64,64,write_chunk,0.039965,pdc
rank,64,64,write_all_chunks,2.557898,pdc
rank,64,64,read_chunk,0.032993,pdc
rank,64,64,read_all_chunks,2.111711,pdc
rank,64,128,write_chunk,0.044462,pdc
rank,64,128,write_all_chunks,2.845725,pdc
rank,64,128,read_chunk,0.038441,pdc
rank,64,128,read_all_chunks,2.460393,pdc
rank,64,256,write_chunk,0.061971,pdc
rank,64,256,write_all_chunks,3.966307,pdc
rank,64,256,read_chunk,0.054721,pdc
rank,64,256,read_all_chunks,3.502354,pdc
chunk,1,256,write_chunk,0.290258,pdc
chunk,1,256,write_all_chunks,0.290276,pdc
chunk,1,256,read_chunk,0.125553,pdc
chunk,1,256,read_all_chunks,0.125560,pdc
chunk,2,256,write_chunk,0.298160,pdc
chunk,2,256,write_all_chunks,0.596437,pdc
chunk,2,256,read_chunk,0.030491,pdc
chunk,2,256,read_all_chunks,0.060991,pdc
chunk,4,256,write_chunk,0.211880,pdc
chunk,4,256,write_all_chunks,0.847538,pdc
chunk,4,256,read_chunk,0.045365,pdc
chunk,4,256,read_all_chunks,0.181480,pdc
rank,64,1,write_chunk,0.000156,hdf5
rank,64,1,write_all_chunks,0.014550,hdf5
rank,64,1,read_chunk,0.000046,hdf5
rank,64,1,read_all_chunks,0.003012,hdf5
rank,64,2,write_chunk,0.000214,hdf5
rank,64,2,write_all_chunks,0.033063,hdf5
rank,64,2,read_chunk,0.000760,hdf5
rank,64,2,read_all_chunks,0.048682,hdf5
rank,64,4,write_chunk,0.000434,hdf5
rank,64,4,write_all_chunks,0.048938,hdf5
rank,64,4,read_chunk,0.002445,hdf5
rank,64,4,read_all_chunks,0.156553,hdf5
rank,64,8,write_chunk,0.000736,hdf5
rank,64,8,write_all_chunks,0.078310,hdf5
rank,64,8,read_chunk,0.007873,hdf5
rank,64,8,read_all_chunks,0.503947,hdf5
rank,64,16,write_chunk,0.001710,hdf5
rank,64,16,write_all_chunks,0.163983,hdf5
rank,64,16,read_chunk,0.004543,hdf5
rank,64,16,read_all_chunks,0.290829,hdf5
rank,64,32,write_chunk,0.003029,hdf5
rank,64,32,write_all_chunks,0.297455,hdf5
rank,64,32,read_chunk,0.007772,hdf5
rank,64,32,read_all_chunks,0.497521,hdf5
rank,64,64,write_chunk,0.005843,hdf5
rank,64,64,write_all_chunks,0.545400,hdf5
rank,64,64,read_chunk,0.015200,hdf5
rank,64,64,read_all_chunks,0.972888,hdf5
rank,64,128,write_chunk,0.012324,hdf5
rank,64,128,write_all_chunks,1.112353,hdf5
rank,64,128,read_chunk,0.032204,hdf5
rank,64,128,read_all_chunks,2.061173,hdf5
rank,64,256,write_chunk,0.026073,hdf5
rank,64,256,write_all_chunks,2.283231,hdf5
rank,64,256,read_chunk,0.075005,hdf5
rank,64,256,read_all_chunks,4.800488,hdf5
chunk,1,256,write_chunk,0.022728,hdf5
chunk,1,256,write_all_chunks,0.031970,hdf5
chunk,1,256,read_chunk,0.028563,hdf5
chunk,1,256,read_all_chunks,0.028568,hdf5
chunk,2,256,write_chunk,0.039979,hdf5
chunk,2,256,write_all_chunks,0.089518,hdf5
chunk,2,256,read_chunk,0.028368,hdf5
chunk,2,256,read_all_chunks,0.056744,hdf5
chunk,4,256,write_chunk,0.054485,hdf5
chunk,4,256,write_all_chunks,0.232221,hdf5
chunk,4,256,read_chunk,0.057987,hdf5
chunk,4,256,read_all_chunks,0.231961,hdf5
