scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.029729,hdf5
rank,1,1,write_all_chunks,0.035513,hdf5
rank,1,1,read_chunk,0.007837,hdf5
rank,1,1,read_all_chunks,0.007843,hdf5
rank,1,2,write_chunk,0.054181,hdf5
rank,1,2,write_all_chunks,0.092729,hdf5
rank,1,2,read_chunk,0.161983,hdf5
rank,1,2,read_all_chunks,0.161991,hdf5
rank,1,4,write_chunk,0.108034,hdf5
rank,1,4,write_all_chunks,0.167817,hdf5
rank,1,4,read_chunk,0.098936,hdf5
rank,1,4,read_all_chunks,0.098942,hdf5
rank,1,8,write_chunk,0.216875,hdf5
rank,1,8,write_all_chunks,0.342629,hdf5
rank,1,8,read_chunk,0.193847,hdf5
rank,1,8,read_all_chunks,0.193855,hdf5
rank,1,16,write_chunk,0.519111,hdf5
rank,1,16,write_all_chunks,0.702800,hdf5
rank,1,16,read_chunk,0.402402,hdf5
rank,1,16,read_all_chunks,0.402408,hdf5
rank,1,32,write_chunk,1.040819,hdf5
rank,1,32,write_all_chunks,1.384019,hdf5
rank,1,32,read_chunk,0.742365,hdf5
rank,1,32,read_all_chunks,0.742371,hdf5
rank,1,64,write_chunk,2.042884,hdf5
rank,1,64,write_all_chunks,2.047461,hdf5
rank,1,64,read_chunk,2.042178,hdf5
rank,1,64,read_all_chunks,2.042183,hdf5
rank,1,128,write_chunk,4.056187,hdf5
rank,1,128,write_all_chunks,4.061546,hdf5
rank,1,128,read_chunk,4.000595,hdf5
rank,1,128,read_all_chunks,4.000601,hdf5
rank,1,256,write_chunk,8.186909,hdf5
rank,1,256,write_all_chunks,8.192152,hdf5
rank,1,256,read_chunk,8.043499,hdf5
rank,1,256,read_all_chunks,8.043506,hdf5
chunk,1,256,write_chunk,8.181748,hdf5
chunk,1,256,write_all_chunks,8.188312,hdf5
chunk,1,256,read_chunk,7.900292,hdf5
chunk,1,256,read_all_chunks,7.900298,hdf5
chunk,2,256,write_chunk,8.225348,hdf5
chunk,2,256,write_all_chunks,16.460784,hdf5
chunk,2,256,read_chunk,11.009873,hdf5
chunk,2,256,read_all_chunks,22.019792,hdf5
chunk,4,256,write_chunk,8.233096,hdf5
chunk,4,256,write_all_chunks,33.228937,hdf5
chunk,4,256,read_chunk,11.389880,hdf5
chunk,4,256,read_all_chunks,45.559534,hdf5
rank,1,1,write_chunk,0.229614,pdc
rank,1,1,write_all_chunks,0.229633,pdc
rank,1,1,read_chunk,0.127833,pdc
rank,1,1,read_all_chunks,0.127844,pdc
rank,1,2,write_chunk,0.220580,pdc
rank,1,2,write_all_chunks,0.220598,pdc
rank,1,2,read_chunk,0.131246,pdc
rank,1,2,read_all_chunks,0.131259,pdc
rank,1,4,write_chunk,0.116799,pdc
rank,1,4,write_all_chunks,0.116816,pdc
rank,1,4,read_chunk,0.130244,pdc
rank,1,4,read_all_chunks,0.130255,pdc
rank,1,8,write_chunk,0.200701,pdc
rank,1,8,write_all_chunks,0.200718,pdc
rank,1,8,read_chunk,0.138626,pdc
rank,1,8,read_all_chunks,0.138637,pdc
rank,1,16,write_chunk,0.199030,pdc
rank,1,16,write_all_chunks,0.199049,pdc
rank,1,16,read_chunk,0.189646,pdc
rank,1,16,read_all_chunks,0.189654,pdc
rank,1,32,write_chunk,0.207433,pdc
rank,1,32,write_all_chunks,0.207450,pdc
rank,1,32,read_chunk,0.203947,pdc
rank,1,32,read_all_chunks,0.203957,pdc
rank,1,64,write_chunk,0.370250,pdc
rank,1,64,write_all_chunks,0.370267,pdc
rank,1,64,read_chunk,0.303622,pdc
rank,1,64,read_all_chunks,0.303630,pdc
rank,1,128,write_chunk,0.657173,pdc
rank,1,128,write_all_chunks,0.657192,pdc
rank,1,128,read_chunk,0.483404,pdc
rank,1,128,read_all_chunks,0.483418,pdc
rank,1,256,write_chunk,1.081643,pdc
rank,1,256,write_all_chunks,1.081663,pdc
rank,1,256,read_chunk,0.860383,pdc
rank,1,256,read_all_chunks,0.860414,pdc
chunk,1,256,write_chunk,1.003618,pdc
chunk,1,256,write_all_chunks,1.003819,pdc
chunk,1,256,read_chunk,0.854886,pdc
chunk,1,256,read_all_chunks,0.854902,pdc
chunk,2,256,write_chunk,0.699051,pdc
chunk,2,256,write_all_chunks,1.398137,pdc
chunk,2,256,read_chunk,0.811201,pdc
chunk,2,256,read_all_chunks,1.622421,pdc
chunk,4,256,write_chunk,0.770561,pdc
chunk,4,256,write_all_chunks,3.082312,pdc
chunk,4,256,read_chunk,0.734377,pdc
chunk,4,256,read_all_chunks,2.937541,pdc
