scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.028538,hdf5
rank,1,1,write_all_chunks,0.038058,hdf5
rank,1,1,read_chunk,0.004624,hdf5
rank,1,1,read_all_chunks,0.004628,hdf5
rank,1,2,write_chunk,0.027081,hdf5
rank,1,2,write_all_chunks,0.110948,hdf5
rank,1,2,read_chunk,0.048694,hdf5
rank,1,2,read_all_chunks,0.048701,hdf5
rank,1,4,write_chunk,0.025988,hdf5
rank,1,4,write_all_chunks,0.233447,hdf5
rank,1,4,read_chunk,0.054925,hdf5
rank,1,4,read_all_chunks,0.054930,hdf5
rank,1,8,write_chunk,0.026214,hdf5
rank,1,8,write_all_chunks,0.344253,hdf5
rank,1,8,read_chunk,0.068627,hdf5
rank,1,8,read_all_chunks,0.068635,hdf5
rank,1,16,write_chunk,0.318323,hdf5
rank,1,16,write_all_chunks,0.386243,hdf5
rank,1,16,read_chunk,0.061939,hdf5
rank,1,16,read_all_chunks,0.061953,hdf5
rank,1,32,write_chunk,0.033283,hdf5
rank,1,32,write_all_chunks,0.681559,hdf5
rank,1,32,read_chunk,0.080854,hdf5
rank,1,32,read_all_chunks,0.080866,hdf5
rank,1,64,write_chunk,0.030003,hdf5
rank,1,64,write_all_chunks,1.154995,hdf5
rank,1,64,read_chunk,0.122814,hdf5
rank,1,64,read_all_chunks,0.122825,hdf5
rank,1,128,write_chunk,1.698892,hdf5
rank,1,128,write_all_chunks,2.190167,hdf5
rank,1,128,read_chunk,0.079683,hdf5
rank,1,128,read_all_chunks,0.079692,hdf5
rank,1,256,write_chunk,3.372589,hdf5
rank,1,256,write_all_chunks,3.651284,hdf5
rank,1,256,read_chunk,0.146212,hdf5
rank,1,256,read_all_chunks,0.146220,hdf5
chunk,1,256,write_chunk,3.646665,hdf5
chunk,1,256,write_all_chunks,3.765566,hdf5
chunk,1,256,read_chunk,0.174869,hdf5
chunk,1,256,read_all_chunks,0.174912,hdf5
chunk,2,256,write_chunk,3.195952,hdf5
chunk,2,256,write_all_chunks,6.841726,hdf5
chunk,2,256,read_chunk,0.375040,hdf5
chunk,2,256,read_all_chunks,0.750099,hdf5
chunk,4,256,write_chunk,2.966793,hdf5
chunk,4,256,write_all_chunks,13.719077,hdf5
chunk,4,256,read_chunk,0.253053,hdf5
chunk,4,256,read_all_chunks,1.012235,hdf5
rank,1,1,write_chunk,0.141224,pdc
rank,1,1,write_all_chunks,0.141244,pdc
rank,1,1,read_chunk,0.126274,pdc
rank,1,1,read_all_chunks,0.126283,pdc
rank,1,2,write_chunk,0.239598,pdc
rank,1,2,write_all_chunks,0.239615,pdc
rank,1,2,read_chunk,0.123751,pdc
rank,1,2,read_all_chunks,0.123762,pdc
rank,1,4,write_chunk,0.212744,pdc
rank,1,4,write_all_chunks,0.212761,pdc
rank,1,4,read_chunk,0.129443,pdc
rank,1,4,read_all_chunks,0.129453,pdc
rank,1,8,write_chunk,0.117564,pdc
rank,1,8,write_all_chunks,0.117581,pdc
rank,1,8,read_chunk,0.135910,pdc
rank,1,8,read_all_chunks,0.135921,pdc
rank,1,16,write_chunk,0.187822,pdc
rank,1,16,write_all_chunks,0.187840,pdc
rank,1,16,read_chunk,0.187387,pdc
rank,1,16,read_all_chunks,0.187398,pdc
rank,1,32,write_chunk,0.297067,pdc
rank,1,32,write_all_chunks,0.297084,pdc
rank,1,32,read_chunk,0.129036,pdc
rank,1,32,read_all_chunks,0.129050,pdc
rank,1,64,write_chunk,0.441443,pdc
rank,1,64,write_all_chunks,0.441462,pdc
rank,1,64,read_chunk,0.298772,pdc
rank,1,64,read_all_chunks,0.298782,pdc
rank,1,128,write_chunk,0.644759,pdc
rank,1,128,write_all_chunks,0.644777,pdc
rank,1,128,read_chunk,0.418147,pdc
rank,1,128,read_all_chunks,0.418169,pdc
rank,1,256,write_chunk,1.146812,pdc
rank,1,256,write_all_chunks,1.146837,pdc
rank,1,256,read_chunk,0.929200,pdc
rank,1,256,read_all_chunks,0.929210,pdc
chunk,1,256,write_chunk,0.979863,pdc
chunk,1,256,write_all_chunks,0.980058,pdc
chunk,1,256,read_chunk,0.860818,pdc
chunk,1,256,read_all_chunks,0.860832,pdc
chunk,2,256,write_chunk,0.931449,pdc
chunk,2,256,write_all_chunks,1.862938,pdc
chunk,2,256,read_chunk,0.802420,pdc
chunk,2,256,read_all_chunks,1.604868,pdc
chunk,4,256,write_chunk,0.667674,pdc
chunk,4,256,write_all_chunks,2.670748,pdc
chunk,4,256,read_chunk,0.789627,pdc
chunk,4,256,read_all_chunks,3.158545,pdc
