scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000441,hdf5
rank,1,1,write_all_chunks,0.001454,hdf5
rank,1,1,read_chunk,0.000137,hdf5
rank,1,1,read_all_chunks,0.000139,hdf5
rank,1,2,write_chunk,0.000643,hdf5
rank,1,2,write_all_chunks,0.004236,hdf5
rank,1,2,read_chunk,0.002095,hdf5
rank,1,2,read_all_chunks,0.002097,hdf5
rank,1,4,write_chunk,0.001115,hdf5
rank,1,4,write_all_chunks,0.005206,hdf5
rank,1,4,read_chunk,0.000553,hdf5
rank,1,4,read_all_chunks,0.000556,hdf5
rank,1,8,write_chunk,0.001114,hdf5
rank,1,8,write_all_chunks,0.011317,hdf5
rank,1,8,read_chunk,0.000851,hdf5
rank,1,8,read_all_chunks,0.000854,hdf5
rank,1,16,write_chunk,0.002806,hdf5
rank,1,16,write_all_chunks,0.011286,hdf5
rank,1,16,read_chunk,0.001330,hdf5
rank,1,16,read_all_chunks,0.001333,hdf5
rank,1,32,write_chunk,0.003533,hdf5
rank,1,32,write_all_chunks,0.009678,hdf5
rank,1,32,read_chunk,0.002652,hdf5
rank,1,32,read_all_chunks,0.002655,hdf5
rank,1,64,write_chunk,0.007383,hdf5
rank,1,64,write_all_chunks,0.012547,hdf5
rank,1,64,read_chunk,0.010317,hdf5
rank,1,64,read_all_chunks,0.010320,hdf5
rank,1,128,write_chunk,0.010704,hdf5
rank,1,128,write_all_chunks,0.016535,hdf5
rank,1,128,read_chunk,0.019087,hdf5
rank,1,128,read_all_chunks,0.019090,hdf5
rank,1,256,write_chunk,0.020875,hdf5
rank,1,256,write_all_chunks,0.028589,hdf5
rank,1,256,read_chunk,0.031753,hdf5
rank,1,256,read_all_chunks,0.031811,hdf5
chunk,1,256,write_chunk,0.024120,hdf5
chunk,1,256,write_all_chunks,0.031161,hdf5
chunk,1,256,read_chunk,0.029911,hdf5
chunk,1,256,read_all_chunks,0.029914,hdf5
chunk,2,256,write_chunk,0.038669,hdf5
chunk,2,256,write_all_chunks,0.086623,hdf5
chunk,2,256,read_chunk,0.027578,hdf5
chunk,2,256,read_all_chunks,0.055164,hdf5
chunk,4,256,write_chunk,0.050879,hdf5
chunk,4,256,write_all_chunks,0.215457,hdf5
chunk,4,256,read_chunk,0.059589,hdf5
chunk,4,256,read_all_chunks,0.238368,hdf5
rank,1,1,write_chunk,0.112087,pdc
rank,1,1,write_all_chunks,0.112097,pdc
rank,1,1,read_chunk,0.018177,pdc
rank,1,1,read_all_chunks,0.018179,pdc
rank,1,2,write_chunk,0.102073,pdc
rank,1,2,write_all_chunks,0.102082,pdc
rank,1,2,read_chunk,0.018268,pdc
rank,1,2,read_all_chunks,0.018271,pdc
rank,1,4,write_chunk,0.098467,pdc
rank,1,4,write_all_chunks,0.098474,pdc
rank,1,4,read_chunk,0.018193,pdc
rank,1,4,read_all_chunks,0.018196,pdc
rank,1,8,write_chunk,0.084286,pdc
rank,1,8,write_all_chunks,0.084294,pdc
rank,1,8,read_chunk,0.018424,pdc
rank,1,8,read_all_chunks,0.018432,pdc
rank,1,16,write_chunk,0.200976,pdc
rank,1,16,write_all_chunks,0.200984,pdc
rank,1,16,read_chunk,0.116673,pdc
rank,1,16,read_all_chunks,0.116677,pdc
rank,1,32,write_chunk,0.205897,pdc
rank,1,32,write_all_chunks,0.205906,pdc
rank,1,32,read_chunk,0.034166,pdc
rank,1,32,read_all_chunks,0.034169,pdc
rank,1,64,write_chunk,0.174124,pdc
rank,1,64,write_all_chunks,0.174133,pdc
rank,1,64,read_chunk,0.030592,pdc
rank,1,64,read_all_chunks,0.030595,pdc
rank,1,128,write_chunk,0.345391,pdc
rank,1,128,write_all_chunks,0.345403,pdc
rank,1,128,read_chunk,0.118431,pdc
rank,1,128,read_all_chunks,0.118435,pdc
rank,1,256,write_chunk,0.436708,pdc
rank,1,256,write_all_chunks,0.436723,pdc
rank,1,256,read_chunk,0.031766,pdc
rank,1,256,read_all_chunks,0.031771,pdc
chunk,1,256,write_chunk,0.426523,pdc
chunk,1,256,write_all_chunks,0.426684,pdc
chunk,1,256,read_chunk,0.032294,pdc
chunk,1,256,read_all_chunks,0.032299,pdc
chunk,2,256,write_chunk,0.382728,pdc
chunk,2,256,write_all_chunks,0.765468,pdc
chunk,2,256,read_chunk,0.033854,pdc
chunk,2,256,read_all_chunks,0.067715,pdc
chunk,4,256,write_chunk,0.205878,pdc
chunk,4,256,write_all_chunks,0.823530,pdc
chunk,4,256,read_chunk,0.053550,pdc
chunk,4,256,read_all_chunks,0.214212,pdc
