scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000692,hdf5
rank,1,1,write_all_chunks,0.001684,hdf5
rank,1,1,read_chunk,0.000143,hdf5
rank,1,1,read_all_chunks,0.000145,hdf5
rank,1,2,write_chunk,0.001276,hdf5
rank,1,2,write_all_chunks,0.003478,hdf5
rank,1,2,read_chunk,0.001665,hdf5
rank,1,2,read_all_chunks,0.001667,hdf5
rank,1,4,write_chunk,0.001740,hdf5
rank,1,4,write_all_chunks,0.006990,hdf5
rank,1,4,read_chunk,0.002182,hdf5
rank,1,4,read_all_chunks,0.002185,hdf5
rank,1,8,write_chunk,0.001903,hdf5
rank,1,8,write_all_chunks,0.012807,hdf5
rank,1,8,read_chunk,0.002106,hdf5
rank,1,8,read_all_chunks,0.002109,hdf5
rank,1,16,write_chunk,0.002975,hdf5
rank,1,16,write_all_chunks,0.010622,hdf5
rank,1,16,read_chunk,0.002741,hdf5
rank,1,16,read_all_chunks,0.002745,hdf5
rank,1,32,write_chunk,0.003911,hdf5
rank,1,32,write_all_chunks,0.007011,hdf5
rank,1,32,read_chunk,0.003463,hdf5
rank,1,32,read_all_chunks,0.003466,hdf5
rank,1,64,write_chunk,0.005575,hdf5
rank,1,64,write_all_chunks,0.007820,hdf5
rank,1,64,read_chunk,0.005631,hdf5
rank,1,64,read_all_chunks,0.005635,hdf5
rank,1,128,write_chunk,0.008881,hdf5
rank,1,128,write_all_chunks,0.011671,hdf5
rank,1,128,read_chunk,0.008295,hdf5
rank,1,128,read_all_chunks,0.008299,hdf5
rank,1,256,write_chunk,0.013878,hdf5
rank,1,256,write_all_chunks,0.018706,hdf5
rank,1,256,read_chunk,0.012971,hdf5
rank,1,256,read_all_chunks,0.012977,hdf5
chunk,1,256,write_chunk,0.013816,hdf5
chunk,1,256,write_all_chunks,0.018906,hdf5
chunk,1,256,read_chunk,0.012439,hdf5
chunk,1,256,read_all_chunks,0.012444,hdf5
chunk,2,256,write_chunk,0.012542,hdf5
chunk,2,256,write_all_chunks,0.034529,hdf5
chunk,2,256,read_chunk,0.010967,hdf5
chunk,2,256,read_all_chunks,0.021940,hdf5
chunk,4,256,write_chunk,0.011818,hdf5
chunk,4,256,write_all_chunks,0.056079,hdf5
chunk,4,256,read_chunk,0.008366,hdf5
chunk,4,256,read_all_chunks,0.033471,hdf5
rank,1,1,write_chunk,0.122130,pdc
rank,1,1,write_all_chunks,0.122140,pdc
rank,1,1,read_chunk,0.018255,pdc
rank,1,1,read_all_chunks,0.018258,pdc
rank,1,2,write_chunk,0.112795,pdc
rank,1,2,write_all_chunks,0.112803,pdc
rank,1,2,read_chunk,0.113425,pdc
rank,1,2,read_all_chunks,0.113427,pdc
rank,1,4,write_chunk,0.109086,pdc
rank,1,4,write_all_chunks,0.109094,pdc
rank,1,4,read_chunk,0.018875,pdc
rank,1,4,read_all_chunks,0.018878,pdc
rank,1,8,write_chunk,0.083240,pdc
rank,1,8,write_all_chunks,0.083249,pdc
rank,1,8,read_chunk,0.113417,pdc
rank,1,8,read_all_chunks,0.113420,pdc
rank,1,16,write_chunk,0.184100,pdc
rank,1,16,write_all_chunks,0.184108,pdc
rank,1,16,read_chunk,0.031777,pdc
rank,1,16,read_all_chunks,0.031781,pdc
rank,1,32,write_chunk,0.187182,pdc
rank,1,32,write_all_chunks,0.187191,pdc
rank,1,32,read_chunk,0.031877,pdc
rank,1,32,read_all_chunks,0.031884,pdc
rank,1,64,write_chunk,0.281783,pdc
rank,1,64,write_all_chunks,0.281793,pdc
rank,1,64,read_chunk,0.119912,pdc
rank,1,64,read_all_chunks,0.119915,pdc
rank,1,128,write_chunk,0.285064,pdc
rank,1,128,write_all_chunks,0.285073,pdc
rank,1,128,read_chunk,0.036689,pdc
rank,1,128,read_all_chunks,0.036694,pdc
rank,1,256,write_chunk,0.457539,pdc
rank,1,256,write_all_chunks,0.457560,pdc
rank,1,256,read_chunk,0.031925,pdc
rank,1,256,read_all_chunks,0.031929,pdc
chunk,1,256,write_chunk,0.641320,pdc
chunk,1,256,write_all_chunks,0.641339,pdc
chunk,1,256,read_chunk,0.034133,pdc
chunk,1,256,read_all_chunks,0.034137,pdc
chunk,2,256,write_chunk,0.244847,pdc
chunk,2,256,write_all_chunks,0.489708,pdc
chunk,2,256,read_chunk,0.076993,pdc
chunk,2,256,read_all_chunks,0.154003,pdc
chunk,4,256,write_chunk,0.200811,pdc
chunk,4,256,write_all_chunks,0.803259,pdc
chunk,4,256,read_chunk,0.033890,pdc
chunk,4,256,read_all_chunks,0.135583,pdc
