scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000184,hdf5
rank,1,1,write_all_chunks,0.008532,hdf5
rank,1,1,read_chunk,0.000072,hdf5
rank,1,1,read_all_chunks,0.000074,hdf5
rank,1,2,write_chunk,0.000183,hdf5
rank,1,2,write_all_chunks,0.012682,hdf5
rank,1,2,read_chunk,0.001050,hdf5
rank,1,2,read_all_chunks,0.001054,hdf5
rank,1,4,write_chunk,0.000186,hdf5
rank,1,4,write_all_chunks,0.015826,hdf5
rank,1,4,read_chunk,0.001459,hdf5
rank,1,4,read_all_chunks,0.001462,hdf5
rank,1,8,write_chunk,0.000198,hdf5
rank,1,8,write_all_chunks,0.019508,hdf5
rank,1,8,read_chunk,0.001794,hdf5
rank,1,8,read_all_chunks,0.001797,hdf5
rank,1,16,write_chunk,0.000231,hdf5
rank,1,16,write_all_chunks,0.019857,hdf5
rank,1,16,read_chunk,0.000151,hdf5
rank,1,16,read_all_chunks,0.000155,hdf5
rank,1,32,write_chunk,0.000276,hdf5
rank,1,32,write_all_chunks,0.018208,hdf5
rank,1,32,read_chunk,0.000128,hdf5
rank,1,32,read_all_chunks,0.000131,hdf5
rank,1,64,write_chunk,0.003561,hdf5
rank,1,64,write_all_chunks,0.026556,hdf5
rank,1,64,read_chunk,0.001836,hdf5
rank,1,64,read_all_chunks,0.001840,hdf5
rank,1,128,write_chunk,0.017094,hdf5
rank,1,128,write_all_chunks,0.033649,hdf5
rank,1,128,read_chunk,0.000494,hdf5
rank,1,128,read_all_chunks,0.000497,hdf5
rank,1,256,write_chunk,0.032631,hdf5
rank,1,256,write_all_chunks,0.050069,hdf5
rank,1,256,read_chunk,0.004339,hdf5
rank,1,256,read_all_chunks,0.004343,hdf5
chunk,1,256,write_chunk,0.036695,hdf5
chunk,1,256,write_all_chunks,0.052035,hdf5
chunk,1,256,read_chunk,0.006059,hdf5
chunk,1,256,read_all_chunks,0.006065,hdf5
chunk,2,256,write_chunk,0.018031,hdf5
chunk,2,256,write_all_chunks,0.051359,hdf5
chunk,2,256,read_chunk,0.000545,hdf5
chunk,2,256,read_all_chunks,0.001096,hdf5
chunk,4,256,write_chunk,0.015176,hdf5
chunk,4,256,write_all_chunks,0.086951,hdf5
chunk,4,256,read_chunk,0.002041,hdf5
chunk,4,256,read_all_chunks,0.008174,hdf5
rank,1,1,write_chunk,0.102447,pdc
rank,1,1,write_all_chunks,0.102457,pdc
rank,1,1,read_chunk,0.018873,pdc
rank,1,1,read_all_chunks,0.018877,pdc
rank,1,2,write_chunk,0.102979,pdc
rank,1,2,write_all_chunks,0.102987,pdc
rank,1,2,read_chunk,0.018248,pdc
rank,1,2,read_all_chunks,0.018250,pdc
rank,1,4,write_chunk,0.098931,pdc
rank,1,4,write_all_chunks,0.098939,pdc
rank,1,4,read_chunk,0.018369,pdc
rank,1,4,read_all_chunks,0.018373,pdc
rank,1,8,write_chunk,0.180105,pdc
rank,1,8,write_all_chunks,0.180113,pdc
rank,1,8,read_chunk,0.018227,pdc
rank,1,8,read_all_chunks,0.018232,pdc
rank,1,16,write_chunk,0.178684,pdc
rank,1,16,write_all_chunks,0.178693,pdc
rank,1,16,read_chunk,0.116619,pdc
rank,1,16,read_all_chunks,0.116626,pdc
rank,1,32,write_chunk,0.242074,pdc
rank,1,32,write_all_chunks,0.242084,pdc
rank,1,32,read_chunk,0.031959,pdc
rank,1,32,read_all_chunks,0.031962,pdc
rank,1,64,write_chunk,0.235126,pdc
rank,1,64,write_all_chunks,0.235134,pdc
rank,1,64,read_chunk,0.032072,pdc
rank,1,64,read_all_chunks,0.032078,pdc
rank,1,128,write_chunk,0.290423,pdc
rank,1,128,write_all_chunks,0.290432,pdc
rank,1,128,read_chunk,0.036080,pdc
rank,1,128,read_all_chunks,0.036084,pdc
rank,1,256,write_chunk,0.488105,pdc
rank,1,256,write_all_chunks,0.488125,pdc
rank,1,256,read_chunk,0.035754,pdc
rank,1,256,read_all_chunks,0.035761,pdc
chunk,1,256,write_chunk,0.295930,pdc
chunk,1,256,write_all_chunks,0.295947,pdc
chunk,1,256,read_chunk,0.035533,pdc
chunk,1,256,read_all_chunks,0.035539,pdc
chunk,2,256,write_chunk,0.392738,pdc
chunk,2,256,write_all_chunks,0.785489,pdc
chunk,2,256,read_chunk,0.033885,pdc
chunk,2,256,read_all_chunks,0.067784,pdc
chunk,4,256,write_chunk,0.201148,pdc
chunk,4,256,write_all_chunks,0.804608,pdc
chunk,4,256,read_chunk,0.052685,pdc
chunk,4,256,read_all_chunks,0.210756,pdc
