scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000421,hdf5
rank,1,1,write_all_chunks,0.016689,hdf5
rank,1,1,read_chunk,0.000138,hdf5
rank,1,1,read_all_chunks,0.000140,hdf5
rank,1,2,write_chunk,0.000625,hdf5
rank,1,2,write_all_chunks,0.005038,hdf5
rank,1,2,read_chunk,0.002142,hdf5
rank,1,2,read_all_chunks,0.002144,hdf5
rank,1,4,write_chunk,0.000904,hdf5
rank,1,4,write_all_chunks,0.007017,hdf5
rank,1,4,read_chunk,0.000548,hdf5
rank,1,4,read_all_chunks,0.000551,hdf5
rank,1,8,write_chunk,0.001105,hdf5
rank,1,8,write_all_chunks,0.012533,hdf5
rank,1,8,read_chunk,0.000846,hdf5
rank,1,8,read_all_chunks,0.000848,hdf5
rank,1,16,write_chunk,0.002289,hdf5
rank,1,16,write_all_chunks,0.011059,hdf5
rank,1,16,read_chunk,0.001837,hdf5
rank,1,16,read_all_chunks,0.001840,hdf5
rank,1,32,write_chunk,0.003536,hdf5
rank,1,32,write_all_chunks,0.010047,hdf5
rank,1,32,read_chunk,0.003378,hdf5
rank,1,32,read_all_chunks,0.003383,hdf5
rank,1,64,write_chunk,0.008085,hdf5
rank,1,64,write_all_chunks,0.013715,hdf5
rank,1,64,read_chunk,0.010496,hdf5
rank,1,64,read_all_chunks,0.010499,hdf5
rank,1,128,write_chunk,0.010420,hdf5
rank,1,128,write_all_chunks,0.017230,hdf5
rank,1,128,read_chunk,0.020081,hdf5
rank,1,128,read_all_chunks,0.020084,hdf5
rank,1,256,write_chunk,0.021782,hdf5
rank,1,256,write_all_chunks,0.030376,hdf5
rank,1,256,read_chunk,0.029947,hdf5
rank,1,256,read_all_chunks,0.029951,hdf5
chunk,1,256,write_chunk,0.023055,hdf5
chunk,1,256,write_all_chunks,0.031780,hdf5
chunk,1,256,read_chunk,0.029274,hdf5
chunk,1,256,read_all_chunks,0.029279,hdf5
chunk,2,256,write_chunk,0.038328,hdf5
chunk,2,256,write_all_chunks,0.086120,hdf5
chunk,2,256,read_chunk,0.026352,hdf5
chunk,2,256,read_all_chunks,0.052712,hdf5
chunk,4,256,write_chunk,0.051205,hdf5
chunk,4,256,write_all_chunks,0.218059,hdf5
chunk,4,256,read_chunk,0.056590,hdf5
chunk,4,256,read_all_chunks,0.226373,hdf5
rank,1,1,write_chunk,0.000554,pdc
rank,1,1,write_all_chunks,0.000562,pdc
rank,1,1,read_chunk,0.000375,pdc
rank,1,1,read_all_chunks,0.000377,pdc
rank,1,2,write_chunk,0.000552,pdc
rank,1,2,write_all_chunks,0.000557,pdc
rank,1,2,read_chunk,0.000422,pdc
rank,1,2,read_all_chunks,0.000424,pdc
rank,1,4,write_chunk,0.000555,pdc
rank,1,4,write_all_chunks,0.000560,pdc
rank,1,4,read_chunk,0.000626,pdc
rank,1,4,read_all_chunks,0.000629,pdc
rank,1,8,write_chunk,0.000821,pdc
rank,1,8,write_all_chunks,0.000827,pdc
rank,1,8,read_chunk,0.000733,pdc
rank,1,8,read_all_chunks,0.000736,pdc
rank,1,16,write_chunk,0.000675,pdc
rank,1,16,write_all_chunks,0.000683,pdc
rank,1,16,read_chunk,0.001257,pdc
rank,1,16,read_all_chunks,0.001262,pdc
rank,1,32,write_chunk,0.001346,pdc
rank,1,32,write_all_chunks,0.001354,pdc
rank,1,32,read_chunk,0.001989,pdc
rank,1,32,read_all_chunks,0.001992,pdc
rank,1,64,write_chunk,0.001187,pdc
rank,1,64,write_all_chunks,0.001195,pdc
rank,1,64,read_chunk,0.003764,pdc
rank,1,64,read_all_chunks,0.003768,pdc
rank,1,128,write_chunk,0.001394,pdc
rank,1,128,write_all_chunks,0.001401,pdc
rank,1,128,read_chunk,0.006668,pdc
rank,1,128,read_all_chunks,0.006671,pdc
rank,1,256,write_chunk,0.002561,pdc
rank,1,256,write_all_chunks,0.002642,pdc
rank,1,256,read_chunk,0.015878,pdc
rank,1,256,read_all_chunks,0.015885,pdc
chunk,1,256,write_chunk,0.003057,pdc
chunk,1,256,write_all_chunks,0.003136,pdc
chunk,1,256,read_chunk,0.016191,pdc
chunk,1,256,read_all_chunks,0.016198,pdc
chunk,2,256,write_chunk,0.003321,pdc
chunk,2,256,write_all_chunks,0.006729,pdc
chunk,2,256,read_chunk,0.016125,pdc
chunk,2,256,read_all_chunks,0.032258,pdc
chunk,4,256,write_chunk,0.002883,pdc
chunk,4,256,write_all_chunks,0.011617,pdc
chunk,4,256,read_chunk,0.017975,pdc
chunk,4,256,read_all_chunks,0.071912,pdc
