scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000427,hdf5
rank,1,1,write_all_chunks,0.011370,hdf5
rank,1,1,read_chunk,0.000142,hdf5
rank,1,1,read_all_chunks,0.000143,hdf5
rank,1,2,write_chunk,0.000604,hdf5
rank,1,2,write_all_chunks,0.004669,hdf5
rank,1,2,read_chunk,0.002224,hdf5
rank,1,2,read_all_chunks,0.002227,hdf5
rank,1,4,write_chunk,0.000795,hdf5
rank,1,4,write_all_chunks,0.006907,hdf5
rank,1,4,read_chunk,0.000552,hdf5
rank,1,4,read_all_chunks,0.000554,hdf5
rank,1,8,write_chunk,0.001105,hdf5
rank,1,8,write_all_chunks,0.015340,hdf5
rank,1,8,read_chunk,0.000844,hdf5
rank,1,8,read_all_chunks,0.000846,hdf5
rank,1,16,write_chunk,0.002568,hdf5
rank,1,16,write_all_chunks,0.012140,hdf5
rank,1,16,read_chunk,0.001368,hdf5
rank,1,16,read_all_chunks,0.001371,hdf5
rank,1,32,write_chunk,0.003497,hdf5
rank,1,32,write_all_chunks,0.009077,hdf5
rank,1,32,read_chunk,0.002505,hdf5
rank,1,32,read_all_chunks,0.002508,hdf5
rank,1,64,write_chunk,0.007949,hdf5
rank,1,64,write_all_chunks,0.014433,hdf5
rank,1,64,read_chunk,0.010747,hdf5
rank,1,64,read_all_chunks,0.010750,hdf5
rank,1,128,write_chunk,0.010931,hdf5
rank,1,128,write_all_chunks,0.017284,hdf5
rank,1,128,read_chunk,0.019945,hdf5
rank,1,128,read_all_chunks,0.019948,hdf5
rank,1,256,write_chunk,0.021604,hdf5
rank,1,256,write_all_chunks,0.030642,hdf5
rank,1,256,read_chunk,0.027878,hdf5
rank,1,256,read_all_chunks,0.027884,hdf5
chunk,1,256,write_chunk,0.023308,hdf5
chunk,1,256,write_all_chunks,0.032267,hdf5
chunk,1,256,read_chunk,0.031543,hdf5
chunk,1,256,read_all_chunks,0.031547,hdf5
chunk,2,256,write_chunk,0.038670,hdf5
chunk,2,256,write_all_chunks,0.089966,hdf5
chunk,2,256,read_chunk,0.027608,hdf5
chunk,2,256,read_all_chunks,0.055224,hdf5
chunk,4,256,write_chunk,0.051253,hdf5
chunk,4,256,write_all_chunks,0.218197,hdf5
chunk,4,256,read_chunk,0.056578,hdf5
chunk,4,256,read_all_chunks,0.226323,hdf5
rank,1,1,write_chunk,0.000290,pdc
rank,1,1,write_all_chunks,0.000297,pdc
rank,1,1,read_chunk,0.000161,pdc
rank,1,1,read_all_chunks,0.000163,pdc
rank,1,2,write_chunk,0.000272,pdc
rank,1,2,write_all_chunks,0.000278,pdc
rank,1,2,read_chunk,0.000205,pdc
rank,1,2,read_all_chunks,0.000207,pdc
rank,1,4,write_chunk,0.000311,pdc
rank,1,4,write_all_chunks,0.000317,pdc
rank,1,4,read_chunk,0.000460,pdc
rank,1,4,read_all_chunks,0.000462,pdc
rank,1,8,write_chunk,0.000295,pdc
rank,1,8,write_all_chunks,0.000300,pdc
rank,1,8,read_chunk,0.000647,pdc
rank,1,8,read_all_chunks,0.000649,pdc
rank,1,16,write_chunk,0.000364,pdc
rank,1,16,write_all_chunks,0.000371,pdc
rank,1,16,read_chunk,0.001648,pdc
rank,1,16,read_all_chunks,0.001651,pdc
rank,1,32,write_chunk,0.000666,pdc
rank,1,32,write_all_chunks,0.000674,pdc
rank,1,32,read_chunk,0.003217,pdc
rank,1,32,read_all_chunks,0.003220,pdc
rank,1,64,write_chunk,0.001245,pdc
rank,1,64,write_all_chunks,0.001253,pdc
rank,1,64,read_chunk,0.006169,pdc
rank,1,64,read_all_chunks,0.006172,pdc
rank,1,128,write_chunk,0.001751,pdc
rank,1,128,write_all_chunks,0.001759,pdc
rank,1,128,read_chunk,0.012262,pdc
rank,1,128,read_all_chunks,0.012267,pdc
rank,1,256,write_chunk,0.003571,pdc
rank,1,256,write_all_chunks,0.003657,pdc
rank,1,256,read_chunk,0.026152,pdc
rank,1,256,read_all_chunks,0.026158,pdc
chunk,1,256,write_chunk,0.003580,pdc
chunk,1,256,write_all_chunks,0.003666,pdc
chunk,1,256,read_chunk,0.025854,pdc
chunk,1,256,read_all_chunks,0.025861,pdc
chunk,2,256,write_chunk,0.003502,pdc
chunk,2,256,write_all_chunks,0.007086,pdc
chunk,2,256,read_chunk,0.027978,pdc
chunk,2,256,read_all_chunks,0.055965,pdc
chunk,4,256,write_chunk,0.003053,pdc
chunk,4,256,write_all_chunks,0.012293,pdc
chunk,4,256,read_chunk,0.026456,pdc
chunk,4,256,read_all_chunks,0.105842,pdc
