scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds,io_impl
rank,1,1,write_chunk,0.000429,hdf5
rank,1,1,write_all_chunks,0.004243,hdf5
rank,1,1,read_chunk,0.000141,hdf5
rank,1,1,read_all_chunks,0.000143,hdf5
rank,1,2,write_chunk,0.000622,hdf5
rank,1,2,write_all_chunks,0.004870,hdf5
rank,1,2,read_chunk,0.002081,hdf5
rank,1,2,read_all_chunks,0.002084,hdf5
rank,1,4,write_chunk,0.000802,hdf5
rank,1,4,write_all_chunks,0.007005,hdf5
rank,1,4,read_chunk,0.000552,hdf5
rank,1,4,read_all_chunks,0.000555,hdf5
rank,1,8,write_chunk,0.001134,hdf5
rank,1,8,write_all_chunks,0.013910,hdf5
rank,1,8,read_chunk,0.000926,hdf5
rank,1,8,read_all_chunks,0.000929,hdf5
rank,1,16,write_chunk,0.002343,hdf5
rank,1,16,write_all_chunks,0.010693,hdf5
rank,1,16,read_chunk,0.001408,hdf5
rank,1,16,read_all_chunks,0.001411,hdf5
rank,1,32,write_chunk,0.003539,hdf5
rank,1,32,write_all_chunks,0.010319,hdf5
rank,1,32,read_chunk,0.003094,hdf5
rank,1,32,read_all_chunks,0.003096,hdf5
rank,1,64,write_chunk,0.007805,hdf5
rank,1,64,write_all_chunks,0.012583,hdf5
rank,1,64,read_chunk,0.011883,hdf5
rank,1,64,read_all_chunks,0.011886,hdf5
rank,1,128,write_chunk,0.010228,hdf5
rank,1,128,write_all_chunks,0.017262,hdf5
rank,1,128,read_chunk,0.018128,hdf5
rank,1,128,read_all_chunks,0.018132,hdf5
rank,1,256,write_chunk,0.021929,hdf5
rank,1,256,write_all_chunks,0.029727,hdf5
rank,1,256,read_chunk,0.028837,hdf5
rank,1,256,read_all_chunks,0.028841,hdf5
chunk,1,256,write_chunk,0.023374,hdf5
chunk,1,256,write_all_chunks,0.031683,hdf5
chunk,1,256,read_chunk,0.030440,hdf5
chunk,1,256,read_all_chunks,0.030444,hdf5
chunk,2,256,write_chunk,0.038078,hdf5
chunk,2,256,write_all_chunks,0.085424,hdf5
chunk,2,256,read_chunk,0.027356,hdf5
chunk,2,256,read_all_chunks,0.054719,hdf5
chunk,4,256,write_chunk,0.051664,hdf5
chunk,4,256,write_all_chunks,0.220755,hdf5
chunk,4,256,read_chunk,0.055194,hdf5
chunk,4,256,read_all_chunks,0.220789,hdf5
rank,1,1,write_chunk,0.000578,pdc
rank,1,1,write_all_chunks,0.000585,pdc
rank,1,1,read_chunk,0.000367,pdc
rank,1,1,read_all_chunks,0.000368,pdc
rank,1,2,write_chunk,0.000566,pdc
rank,1,2,write_all_chunks,0.000572,pdc
rank,1,2,read_chunk,0.000420,pdc
rank,1,2,read_all_chunks,0.000422,pdc
rank,1,4,write_chunk,0.019961,pdc
rank,1,4,write_all_chunks,0.019968,pdc
rank,1,4,read_chunk,0.000634,pdc
rank,1,4,read_all_chunks,0.000636,pdc
rank,1,8,write_chunk,0.020014,pdc
rank,1,8,write_all_chunks,0.020020,pdc
rank,1,8,read_chunk,0.001377,pdc
rank,1,8,read_all_chunks,0.001379,pdc
rank,1,16,write_chunk,0.020030,pdc
rank,1,16,write_all_chunks,0.020037,pdc
rank,1,16,read_chunk,0.001066,pdc
rank,1,16,read_all_chunks,0.001069,pdc
rank,1,32,write_chunk,0.020354,pdc
rank,1,32,write_all_chunks,0.020361,pdc
rank,1,32,read_chunk,0.002253,pdc
rank,1,32,read_all_chunks,0.002257,pdc
rank,1,64,write_chunk,0.001583,pdc
rank,1,64,write_all_chunks,0.001590,pdc
rank,1,64,read_chunk,0.003875,pdc
rank,1,64,read_all_chunks,0.003879,pdc
rank,1,128,write_chunk,0.001798,pdc
rank,1,128,write_all_chunks,0.001806,pdc
rank,1,128,read_chunk,0.009948,pdc
rank,1,128,read_all_chunks,0.009952,pdc
rank,1,256,write_chunk,0.022173,pdc
rank,1,256,write_all_chunks,0.022300,pdc
rank,1,256,read_chunk,0.016802,pdc
rank,1,256,read_all_chunks,0.016806,pdc
chunk,1,256,write_chunk,0.015948,pdc
chunk,1,256,write_all_chunks,0.016034,pdc
chunk,1,256,read_chunk,0.015970,pdc
chunk,1,256,read_all_chunks,0.015976,pdc
chunk,2,256,write_chunk,0.125078,pdc
chunk,2,256,write_all_chunks,0.250167,pdc
chunk,2,256,read_chunk,0.021675,pdc
chunk,2,256,read_all_chunks,0.043360,pdc
chunk,4,256,write_chunk,0.080109,pdc
chunk,4,256,write_all_chunks,0.320527,pdc
chunk,4,256,read_chunk,0.019742,pdc
chunk,4,256,read_all_chunks,0.078982,pdc
