scale_type,chunks_per_rank,num_ranks,timer_tag,elapsed_seconds
rank,32,1,h5_write_chunk,0.082431
rank,32,1,h5_write_all_chunks,2.983587
rank,32,1,h5_read_chunk,0.068356
rank,32,1,h5_read_all_chunks,2.188170
rank,32,2,h5_write_chunk,0.424426
rank,32,2,h5_write_all_chunks,13.865653
rank,32,2,h5_read_chunk,0.140316
rank,32,2,h5_read_all_chunks,4.491217
rank,32,4,h5_write_chunk,0.497857
rank,32,4,h5_write_all_chunks,16.204299
rank,32,4,h5_read_chunk,0.214778
rank,32,4,h5_read_all_chunks,6.874348
rank,32,8,h5_write_chunk,0.553822
rank,32,8,h5_write_all_chunks,18.195729
rank,32,8,h5_read_chunk,0.260747
rank,32,8,h5_read_all_chunks,8.345594
rank,32,16,h5_write_chunk,1.736483
rank,32,16,h5_write_all_chunks,56.254520
rank,32,16,h5_read_chunk,0.778747
rank,32,16,h5_read_all_chunks,24.945164
chunk,1,16,h5_write_chunk,1.465414
chunk,1,16,h5_write_all_chunks,1.630569
chunk,1,16,h5_read_chunk,0.354939
chunk,1,16,h5_read_all_chunks,0.355061
chunk,2,16,h5_write_chunk,1.370373
chunk,2,16,h5_write_all_chunks,3.030503
chunk,2,16,h5_read_chunk,0.468158
chunk,2,16,h5_read_all_chunks,0.936443
chunk,4,16,h5_write_chunk,1.446821
chunk,4,16,h5_write_all_chunks,6.347345
chunk,4,16,h5_read_chunk,0.715807
chunk,4,16,h5_read_all_chunks,2.863683
chunk,8,16,h5_write_chunk,1.429477
chunk,8,16,h5_write_all_chunks,11.957290
chunk,8,16,h5_read_chunk,0.624006
chunk,8,16,h5_read_all_chunks,4.992973
chunk,16,16,h5_write_chunk,1.674679
chunk,16,16,h5_write_all_chunks,27.112810
chunk,16,16,h5_read_chunk,0.726523
chunk,16,16,h5_read_all_chunks,12.272979
chunk,32,16,h5_write_chunk,1.650101
chunk,32,16,h5_write_all_chunks,53.403366
chunk,32,16,h5_read_chunk,0.786394
chunk,32,16,h5_read_all_chunks,25.214273
